metric	seed0_value	fresh_mean	fresh_std	seed0_minus_fresh_mean	fresh_min	fresh_max	seed0_percentile_among_all
transition_improvement	0.005662	0.012686321967457375	0.008446150703275718	-0.007024321967457375	0.00042434233155	0.0217564782854278	0.4
delta_cosine	0.397963	0.46490329127840113	0.0564195513312639	-0.06694029127840112	0.4018851082029823	0.5404280277268804	0.2
condition_recall_at_1	0.481481	0.2962962962962963	0.02618914004394622	0.1851847037037037	0.2592592592592592	0.3333333333333333	1.0
condition_median_rank	2.0	3.0	1.224744871391589	-1.0	2.0	5.0	0.6
delta_prediction_effective_rank	10.283477	10.236391740560958	0.4851620621178797	0.04708525943904185	9.632914633777684	10.888689749023888	0.6
delta_magnitude_ratio	0.774437	0.7509447853987241	0.1040568685903625	0.02349221460127593	0.5918627929859949	0.8778340372856198	0.6
