baseline	transition_improvement	delta_cosine	recall_at_1	median_rank	delta_rank	magnitude_ratio
source_only	0.007292707159617141	0.4078914741957141	0.2222222222222222	3.0	9.941981399454747	0.7407144485430317
source_plus_action	0.005661906516194076	0.39796251669473043	0.48148148148148145	2.0	10.283476977293052	0.7744371112179363
action_only	-0.021508798470111817	-0.02962439157384325	0.4074074074074074	3.0	1.8320649500155655	0.506254438168712
