baseline	mean_transition_improvement	min_transition_improvement	negative_action_groups	mean_delta_cosine	mean_recall_at_1
source_only	0.028434077636519884	-0.020760771807881766	1	0.5292124564407105	0.75
source_plus_action	0.02831607867752169	-0.018999318877425946	2	0.5235912135268517	0.736111111111111
action_only	0.0026182251125675456	-0.03514698692351756	4	0.2591922607080754	0.7222222222222222
