left_out_perturbation_id	baseline	rows	transition_improvement	delta_cosine	recall_at_1	median_rank
1	source_only	9	0.02322542135716747	0.46693641436441424	0.8888888888888888	1.0
1	action_only	9	0.011522067617512202	0.378449234727047	0.8888888888888888	1.0
1	source_plus_action	9	0.023028965137528685	0.48590465293160473	0.8888888888888888	1.0
2	source_only	9	0.001703275774169424	0.43063946311878065	0.3333333333333333	3.0
2	action_only	9	-0.01324579617227823	0.0959906498362132	0.6666666666666666	1.0
2	source_plus_action	9	-0.006793939518271268	0.39200953537420535	0.3333333333333333	3.0
3	source_only	9	0.05294566058187841	0.7252394218759859	0.8888888888888888	1.0
3	action_only	9	0.028129394957793083	0.5879003974625944	0.6666666666666666	1.0
3	source_plus_action	9	0.05799531482670972	0.717307876498913	0.6666666666666666	1.0
4	source_only	9	0.04927070895318819	0.6454011039458792	1.0	1.0
4	action_only	9	0.015451677007859346	0.4067556757407644	0.8888888888888888	1.0
4	source_plus_action	9	0.05159785686543264	0.6456696326496965	1.0	1.0
5	source_only	9	0.020819800742506826	0.47628827047065836	0.6666666666666666	1.0
5	action_only	9	-0.005576543596589458	0.1644086934379155	0.5555555555555556	1.0
5	source_plus_action	9	0.01845665132929523	0.48037401211633907	0.7777777777777778	1.0
6	source_only	9	0.04436283609534229	0.6516081514299515	1.0	1.0
6	action_only	9	-0.0033611567046843735	0.17267379715783304	0.8888888888888888	1.0
6	source_plus_action	9	0.04312902570158434	0.6155503279254639	1.0	1.0
7	source_only	9	0.05590568939578823	0.6715686582372862	0.6666666666666666	1.0
7	action_only	9	0.023173144714445353	0.48926848848124815	0.7777777777777778	1.0
7	source_plus_action	9	0.05811407395532012	0.679365341052053	0.7777777777777778	1.0
8	source_only	9	-0.020760771807881766	0.16601816808272793	0.5555555555555556	1.0
8	action_only	9	-0.03514698692351756	-0.2219088511790125	0.4444444444444444	2.0
8	source_plus_action	9	-0.018999318877425946	0.1725483296665374	0.4444444444444444	2.0
