policy	benchmark	seed	loss	transition_loss	rna_to_image_loss	image_to_rna_loss	target_anchor_loss	source_anchor_loss	transition_anchor_loss	pca_delta_direction_loss	teacher_delta_direction_loss	source_improvement_hinge	action_negative_loss	magnitude_loss	variance_loss	delta_variance_loss	relational_loss	target_anchor_cosine	source_anchor_cosine	transition_anchor_cosine	delta_cosine_train	active_delta_std_dims	steps	device_used
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	0.1564459651708603	0.060359805822372437	0.00659959064796567	0.019450834020972252	0.01961643248796463	0.010080870240926743	0.027699414640665054	0.04127234220504761	0.12324082851409912	0.0	0.012500000186264515	0.42011773586273193	0.05296514555811882	0.0	0.007033686153590679	0.9842779636383057	0.9941209554672241	0.9760432839393616	0.9587276577949524	24.0	120.0	cpu
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	0.23868270218372345	0.092531718313694	0.009540705010294914	0.0373440682888031	0.04074085131287575	0.012989427894353867	0.02653469704091549	0.06420201063156128	0.26684820652008057	0.0	0.01406249962747097	0.2968694567680359	0.046995144337415695	0.0	0.007373049855232239	0.9631441831588745	0.9909572601318359	0.9771429300308228	0.9357979893684387	24.0	120.0	cpu
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	0.20607182383537292	0.07700331509113312	0.007085095159709454	0.02201993018388748	0.03469127044081688	0.009096549823880196	0.028861405327916145	0.05702614784240723	0.23564279079437256	0.0	0.01718750037252903	0.23293368518352509	0.041294164955616	0.0	0.019962366670370102	0.9688256978988647	0.9942532777786255	0.9743154048919678	0.9429738521575928	24.0	120.0	cpu
random_perturbation	synth_program_aligned_random_holdout_lite	34	0.15708214044570923	0.05861750245094299	0.007299714721739292	0.023327931761741638	0.027851691469550133	0.010689809918403625	0.02934354543685913	0.04029238224029541	0.11416888236999512	0.0	0.00937500037252903	0.4359796941280365	0.03786943480372429	0.0	0.006247146520763636	0.9771849513053894	0.9932582974433899	0.9745033979415894	0.9597076177597046	24.0	120.0	cpu
random_perturbation	synth_program_aligned_random_holdout_lite	35	0.25334498286247253	0.0922817811369896	0.010879202745854855	0.04084978997707367	0.031511880457401276	0.012076176702976227	0.02746119350194931	0.0703819990158081	0.31546086072921753	0.0	0.01718750037252903	0.2833710312843323	0.0357053205370903	0.0	0.010332864709198475	0.9718623757362366	0.9908556342124939	0.9758198261260986	0.9296180009841919	24.0	120.0	cpu
random_perturbation	synth_program_aligned_random_holdout_lite	36	0.22898098826408386	0.07551120966672897	0.00933706946671009	0.021179940551519394	0.041170645505189896	0.01225148793309927	0.042903829365968704	0.06617975234985352	0.26145118474960327	0.0	0.015625	0.20600548386573792	0.03766116499900818	0.0	0.029952725395560265	0.9630488157272339	0.9909242987632751	0.9610010385513306	0.9338202476501465	24.0	120.0	cpu
stratified_program	synth_program_aligned_stratified_holdout_lite	34	0.16162700951099396	0.06335924565792084	0.007131661754101515	0.02252831682562828	0.022883957251906395	0.00964799802750349	0.027485543861985207	0.04243212938308716	0.1208794116973877	0.0	0.00937500037252903	0.4622850716114044	0.04493216797709465	0.0	0.00684970011934638	0.981592059135437	0.9944936037063599	0.9762172698974609	0.9575678706169128	24.0	120.0	cpu
stratified_program	synth_program_aligned_stratified_holdout_lite	35	0.23291857540607452	0.09065155684947968	0.008663580752909184	0.039368126541376114	0.033964239060878754	0.013025617226958275	0.028527207672595978	0.06726294755935669	0.24487680196762085	0.0	0.00937500037252903	0.3075900971889496	0.03401444852352142	0.0	0.009048713371157646	0.9699300527572632	0.9902102947235107	0.9748443365097046	0.9327370524406433	24.0	120.0	cpu
stratified_program	synth_program_aligned_stratified_holdout_lite	36	0.21826894581317902	0.0801420733332634	0.008518963120877743	0.026570869609713554	0.0348949134349823	0.010380256921052933	0.04216441512107849	0.054067134857177734	0.23994094133377075	0.0	0.01250000111758709	0.2155926525592804	0.0396047979593277	0.0	0.03505022078752518	0.9689779281616211	0.9929733276367188	0.9614472389221191	0.9459328651428223	24.0	120.0	cpu
