seed	selected_condition_recall_at_1	selected_condition_recall_at_1_min	selected_perturbation_recall_at_1	selected_condition_median_rank	full_gallery_endpoint_condition_recall_at_1	selected_source_neighborhood_fraction_mean	selected_delta_score_weight_mean	selected_delta_score_weight_nonzero_rate
1	0.4186507936507936	0.2962962962962963	0.4484126984126985	1.9285714285714286	0.27645502645502645	0.3333333333333333	0.7383928571428571	1.0
2	0.4636243386243386	0.3333333333333333	0.4662698412698413	1.75	0.32936507936507936	0.3333333333333333	0.4678571428571429	1.0
3	0.38359788359788355	0.25925925925925924	0.40145502645502645	2.1607142857142856	0.31944444444444436	0.34523809523809523	0.2267857142857143	0.9107142857142857
4	0.43783068783068785	0.25925925925925924	0.45370370370370366	1.7857142857142858	0.332010582010582	0.3363095238095238	0.5294642857142857	1.0
