delta_score_weight	mean_condition_recall_at_1	min_condition_recall_at_1	mean_condition_median_rank	mean_perturbation_recall_at_1	seed
0.5	0.3716931216931217	0.2222222222222222	2.1785714285714284	0.4279100529100529	1
0.35	0.3697089947089947	0.2222222222222222	2.142857142857143	0.419973544973545	1
0.65	0.3637566137566138	0.2222222222222222	2.267857142857143	0.4265873015873015	1
0.2	0.3611111111111111	0.2222222222222222	2.1964285714285716	0.3994708994708995	1
0.8	0.3505291005291005	0.18518518518518517	2.375	0.4272486772486772	1
0.1	0.3472222222222222	0.2222222222222222	2.25	0.3822751322751322	1
1.0	0.328042328042328	0.18518518518518517	2.5	0.4173280423280423	1
0.05	0.3253968253968254	0.18518518518518517	2.4464285714285716	0.37037037037037035	1
0.0	0.27645502645502645	0.18518518518518517	3.4642857142857144	0.33664021164021163	1
0.1	0.44841269841269843	0.2962962962962963	1.8392857142857142	0.46164021164021163	2
0.2	0.4431216931216931	0.2962962962962963	1.9107142857142858	0.47288359788359785	2
0.05	0.421957671957672	0.2962962962962963	1.9642857142857142	0.43650793650793646	2
0.35	0.4212962962962963	0.25925925925925924	1.9642857142857142	0.45965608465608465	2
0.5	0.3961640211640211	0.18518518518518517	2.0714285714285716	0.44576719576719576	2
0.65	0.38029100529100524	0.1111111111111111	2.1964285714285716	0.4398148148148148	2
0.8	0.37037037037037035	0.1111111111111111	2.3392857142857144	0.4398148148148148	2
1.0	0.35317460317460314	0.1111111111111111	2.4464285714285716	0.4272486772486772	2
0.0	0.32936507936507936	0.14814814814814814	2.8214285714285716	0.36441798941798936	2
0.1	0.3716931216931217	0.25925925925925924	2.5	0.40343915343915343	3
0.05	0.3604497354497354	0.25925925925925924	2.482142857142857	0.40277777777777773	3
0.2	0.35714285714285715	0.2222222222222222	2.5892857142857144	0.3822751322751322	3
0.35	0.3373015873015873	0.2222222222222222	2.857142857142857	0.3763227513227513	3
0.0	0.3194444444444445	0.18518518518518517	2.6964285714285716	0.3776455026455026	3
0.5	0.3095238095238095	0.2222222222222222	3.482142857142857	0.3664021164021164	3
0.65	0.29298941798941797	0.2222222222222222	3.857142857142857	0.3697089947089947	3
0.8	0.2738095238095238	0.18518518518518517	4.232142857142857	0.375	3
1.0	0.251984126984127	0.14814814814814814	4.589285714285714	0.3743386243386243	3
0.35	0.4325396825396825	0.2222222222222222	1.8571428571428572	0.4523809523809524	4
0.2	0.42857142857142855	0.25925925925925924	1.875	0.4345238095238095	4
0.5	0.421957671957672	0.25925925925925924	1.9107142857142858	0.4497354497354497	4
0.1	0.41666666666666663	0.2222222222222222	1.9464285714285714	0.4206349206349206	4
0.65	0.4126984126984127	0.25925925925925924	1.9464285714285714	0.449074074074074	4
0.8	0.4060846560846561	0.2222222222222222	2.0	0.4497354497354497	4
1.0	0.3902116402116402	0.18518518518518517	2.0892857142857144	0.45105820105820105	4
0.05	0.3763227513227513	0.2222222222222222	2.0535714285714284	0.3822751322751322	4
0.0	0.332010582010582	0.18518518518518517	2.3035714285714284	0.3472222222222222	4
