label	latent_space	effective_rank	mean_norm	std_norm	cell_line_eta_squared	batch_eta_squared	perturbation_eta_squared	cell_line_centroid_accuracy	batch_centroid_accuracy	perturbation_centroid_accuracy	same_cell_pairwise_cosine_gap	top_third_same_cell_line_purity	top_third_same_cell_line_coverage	seed
fresh_seed1	z_bio_teacher	9.413086614460488	0.9999999999628416	3.418749084608265e-08	0.7550141843979086	0.038605471285602454	0.011722189985933168	0.9166666666666666	0.4166666666666667	0.19444444444444445	0.214838235701861	0.7899029982363316	0.7899029982363316	1
fresh_seed1	z_bio_online	9.811000890984504	0.9999999955781145	3.472397285081511e-08	0.6675017256568256	0.0539497101421767	0.014958610856461775	0.9166666666666666	0.4166666666666667	0.19444444444444445	0.09020173303209911	0.7849059376837155	0.7849059376837155	1
fresh_seed1	z_tech_teacher	3.8877341993043224	1.5444572512238894	0.14866595354520187	0.6699632094499788	0.07907991431159454	0.015522710672688343	0.8472222222222222	0.4166666666666667	0.18055555555555555	0.07241423410572911	0.6491769547325104	0.6491769547325104	1
fresh_seed1	z_bio_plus_z_tech	11.875958587602904	1.4142135623730954	2.642859423360307e-16	0.7325500721243287	0.05324130442583762	0.012127705795813949	0.9722222222222222	0.4027777777777778	0.18055555555555555	0.1436262349037949	0.7766754850088183	0.7766754850088183	1
fresh_seed2	z_bio_teacher	9.247901791573282	0.9999999965378336	3.673452545988088e-08	0.7766627097895816	0.04046727562043306	0.015777774044912877	1.0	0.4305555555555556	0.2222222222222222	0.15885331783333345	0.8725014697236919	0.8725014697236919	2
fresh_seed2	z_bio_online	8.225752122070288	0.9999999959305809	3.886740975586229e-08	0.8236089485789495	0.04173495078489354	0.009878628191134772	1.0	0.5277777777777778	0.16666666666666666	0.13530102194898963	0.8713256907701352	0.8713256907701352	2
fresh_seed2	z_tech_teacher	3.9338897204946166	1.3045006512363249	0.1445109098024475	0.6007428448837021	0.10333295327056931	0.021112679566911124	0.875	0.5416666666666666	0.125	0.041327354082149936	0.6592445620223398	0.6592445620223398	2
fresh_seed2	z_bio_plus_z_tech	11.899293368945024	1.4142135623730954	2.6814433536895164e-16	0.7259381655016462	0.06045268764441044	0.01885623778680392	0.9861111111111112	0.5	0.2222222222222222	0.10009033595774164	0.8985155790711347	0.8985155790711347	2
fresh_seed3	z_bio_teacher	10.68564721326043	0.9999999967207037	4.1042071518441375e-08	0.6199107601110563	0.04851928646983495	0.020944116505710646	0.9861111111111112	0.4861111111111111	0.2361111111111111	0.07922622903314858	0.8270870076425633	0.8270870076425633	3
fresh_seed3	z_bio_online	9.892189129637929	1.000000007322915	3.2361267753178484e-08	0.7052630367806322	0.03637062857101794	0.01603435152007852	0.9583333333333334	0.4305555555555556	0.2638888888888889	0.06034349350966861	0.7774838330393886	0.7774838330393886	3
fresh_seed3	z_tech_teacher	3.6098348724919815	1.5891443246331285	0.12565902122947364	0.7864790607053234	0.04733561821632781	0.006816286974630194	0.9444444444444444	0.4166666666666667	0.16666666666666666	0.12924210301768602	0.7528659611992945	0.7528659611992945	3
fresh_seed3	z_bio_plus_z_tech	11.978046545621252	1.4142135623730954	2.830524433501838e-16	0.7265062097685709	0.0372009570933704	0.011953337480773964	1.0	0.6388888888888888	0.2361111111111111	0.10423416602541746	0.8284097589653145	0.8284097589653144	3
fresh_seed4	z_bio_teacher	9.517132438992789	0.9999999985152672	3.781363254601553e-08	0.8050493343925983	0.019752418285722627	0.009893249645315558	1.0	0.5555555555555556	0.1388888888888889	0.36046939048004645	0.9442239858906526	0.9442239858906526	4
fresh_seed4	z_bio_online	9.328177151945846	0.9999999957428322	3.1859203723048324e-08	0.8082205353193016	0.02235933293344858	0.009948060858223511	1.0	0.6111111111111112	0.1388888888888889	0.205022463728308	0.9614197530864198	0.9614197530864198	4
fresh_seed4	z_tech_teacher	4.129507835011876	1.8097023369987286	0.40758477583140695	0.765389055329688	0.043345179110638975	0.00964813597140863	0.9861111111111112	0.4444444444444444	0.1527777777777778	0.11933370344737193	0.8706643151087595	0.8706643151087595	4
fresh_seed4	z_bio_plus_z_tech	12.202844514554306	1.4142135623730954	2.7194799110210365e-16	0.7754359263007833	0.028527219341843348	0.01054660970523429	1.0	0.5138888888888888	0.2222222222222222	0.23990154696370913	0.9617871840094062	0.9617871840094062	4
