cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
0.25	0.0	1000000000.0	True	0.0	0	0.6134445343613452	0.9658461727019557	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.005	-5.911959677791501	True	0.0	2	0.6134445343613452	0.9658461727019557	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.005	-5.9119586777915005	True	0.027777777777777776	2	0.6134459221606172	0.9658506003093348	0.4861111111111111	1.3877992720567889e-06	4.427607379065002e-06	0.0	0.0	0.0	0.0
0.25	0.005	-5.723447333729558	True	0.05555555555555555	2	0.6134468869050156	0.9658520489380192	0.4861111111111111	2.3525436704252556e-06	5.876236063517837e-06	0.0	0.0	0.0	0.0
0.25	0.005	-5.3346325749531625	True	0.1111111111111111	2	0.6134502119130639	0.9658566166898841	0.4861111111111111	5.677551718763496e-06	1.0443987928376863e-05	0.0	0.0	0.0	0.0
0.25	0.005	-5.27294597841697	True	0.16666666666666666	2	0.6134538815529962	0.9658649449846296	0.4861111111111111	9.34719165102127e-06	1.8772282673884533e-05	0.0	0.0	0.0	0.0
0.25	0.005	-5.104801838799719	True	0.2222222222222222	2	0.6134600846028712	0.9658819668475296	0.4861111111111111	1.555024152599671e-05	3.579414557386418e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.990284146007024	True	0.25	2	0.6134620342381817	0.9658840112305052	0.4861111111111111	1.749987683652421e-05	3.78385285494387e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.797845976202472	True	0.3055555555555556	2	0.6134665655456587	0.9658925401109113	0.4861111111111111	2.203118431354234e-05	4.636740895558322e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.749001230630465	True	0.3611111111111111	2	0.6134698698071243	0.9658986967033767	0.4861111111111111	2.5335445779095522e-05	5.252400142097269e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.605354356777517	True	0.4166666666666667	2	0.6134744895262287	0.9659065916104603	0.4861111111111111	2.995516488357719e-05	6.04189085046114e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.5226147141371476	True	0.4444444444444444	2	0.6134763598778387	0.9659087683086773	0.4861111111111111	3.182551649349996e-05	6.259560672161602e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.427072779541889	True	0.5	2	0.6134800763220346	0.9659142847642698	0.4861111111111111	3.554196068944471e-05	6.811206231405187e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.300770784203999	True	0.5555555555555556	2	0.613487826113611	0.9659197394727573	0.4861111111111111	4.329175226580606e-05	7.356677080161411e-05	0.0	0.0	0.0	0.0
0.25	0.005	-4.153842344439755	True	0.6111111111111112	2	0.6134972036876533	0.9659367658756628	0.4861111111111111	5.266932630809684e-05	9.059317370707642e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.9281360894044095	True	0.6666666666666666	2	0.6135054601443337	0.9659500175419944	0.4861111111111111	6.0925782988552335e-05	0.00010384484003866934	0.0	0.0	0.0	0.0
0.25	0.005	-3.7357538843992377	True	0.6944444444444444	2	0.6135091674239114	0.9659553467447657	0.4861111111111111	6.46330625662106e-05	0.00010917404280996745	0.0	0.0	0.0	0.0
0.25	0.005	-3.5813926368045625	True	0.75	2	0.6135151444443347	0.9659603717313965	0.4861111111111111	7.061008298958615e-05	0.00011419902944076465	0.0	0.0	0.0	0.0
0.25	0.005	-3.3761318151532267	True	0.8055555555555556	2	0.6135239060299268	0.9659702560699004	0.4861111111111111	7.937166858162925e-05	0.00012408336794467179	0.0	0.0	0.0	0.0
0.25	0.005	-3.220850812491755	True	0.8611111111111112	2	0.6135371965002016	0.9659815773268927	0.4861111111111111	9.266213885639196e-05	0.00013540462493699668	0.0	0.0	0.0	0.0
0.25	0.005	-3.0835008538058353	True	0.8888888888888888	2	0.6135467195281762	0.96598949870158	0.4861111111111111	0.00010218516683102585	0.0001433259996242997	0.0	0.0	0.0	0.0
0.25	0.005	-0.7865712453648087	True	0.9444444444444444	2	0.6135634419043883	0.9660015385791638	0.4861111111111111	0.00011890754304311191	0.00015536587720810235	0.0	0.0	0.0	0.0
0.25	0.005	0.0	False	1.0	2	0.6135979843671959	0.9660164400748551	0.4861111111111111	0.00015345000585076374	0.00017026737289937977	0.0	0.0	1.0	0.0
0.25	0.005	1e-06	False	1.0	2	0.6135979843671959	0.9660164400748551	0.4861111111111111	0.00015345000585076374	0.00017026737289937977	0.0	0.0	1.0	0.0
0.25	0.01	-4.601936951264034	True	0.0	8	0.6134445343613452	0.9658461727019557	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.01	-4.601935951264034	True	0.027777777777777776	8	0.6134483369803472	0.96585007946533	0.4861111111111111	3.8026190020135076e-06	3.906763374250666e-06	0.0	0.0	0.0	0.0
0.25	0.01	-3.41127719573955	True	0.05555555555555555	8	0.6134527079993035	0.9658527018265575	0.4861111111111111	8.17363795835302e-06	6.529124601750702e-06	0.0	0.0	0.0	0.0
0.25	0.01	-3.218559176670056	True	0.1111111111111111	8	0.6134751618635971	0.9658627611422728	0.4861111111111111	3.062750225191202e-05	1.658844031704465e-05	0.0	0.0	0.0	0.0
0.25	0.01	-3.0958867527573433	True	0.16666666666666666	8	0.6134969342092416	0.9658874194004472	0.4861111111111111	5.239984789640051e-05	4.124669849148166e-05	0.0	0.0	0.0	0.0
0.25	0.01	-2.9331878657516026	True	0.2222222222222222	8	0.6135082270298128	0.9658991730805317	0.4861111111111111	6.369266846761867e-05	5.300037857602913e-05	0.0	0.0	0.0	0.0
0.25	0.01	-2.8324309088063324	True	0.25	8	0.6135220525180494	0.9659124500684383	0.4861111111111111	7.751815670420381e-05	6.627736648256999e-05	0.0	0.0	0.0	0.0
0.25	0.01	-2.6273861233735936	True	0.3055555555555556	8	0.6135514265507305	0.9659401428572423	0.4861111111111111	0.00010689218938531031	9.397015528656016e-05	0.0	0.0	0.0	0.0
0.25	0.01	-2.254479436509301	True	0.3611111111111111	8	0.6135680225913672	0.9659647288211863	0.4861111111111111	0.00012348823002206188	0.00011855611923061726	0.0	0.0	0.0	0.0
0.25	0.01	-2.2023876696872033	True	0.4166666666666667	8	0.6135768006295308	0.9659837111666312	0.4861111111111111	0.00013226626818563236	0.00013753846467545738	0.0	0.0	0.0	0.0
0.25	0.01	-1.9761591741874167	True	0.4444444444444444	8	0.6135806887327829	0.9659870042649632	0.4861111111111111	0.00013615437143776887	0.0001408315630074819	0.0	0.0	0.0	0.0
0.25	0.01	-1.9274816900347087	True	0.5	8	0.6135904261938774	0.9660039029490586	0.4861111111111111	0.00014589183253221893	0.00015773024710286077	0.0	0.0	0.0	0.0
