perturbation_id	rows	transition_improvement	delta_cosine	recall_at_1	median_rank
9	9	-0.05389685182575331	-0.12418887098464342	0.2222222222222222	2.0
10	9	-0.00677564318289128	0.18654971345687316	0.6666666666666666	1.0
11	9	0.02027929890988299	0.49476255084632026	0.8888888888888888	1.0
