run	step	total	rna_mask	image_mask	rna_jepa	image_jepa	align	mmd	sliced_wasserstein	rna_perturbation_cls	image_perturbation_cls	rna_batch_adv	image_batch_adv	cycle	response_bottleneck	rna_shared_variance	image_shared_variance	rna_shared_covariance	image_shared_covariance	shared_cross_correlation	rna_shared_min_std	image_shared_min_std	rna_shared_mean_std	image_shared_mean_std	rna_rank	image_rank	collapse_flag	student_teacher_cosine_mean	student_teacher_cosine_std
full_attention	0	8.791021347045898	8.78350830078125	12.199484825134277	0.9910319447517395	1.271631121635437	2.07208514213562	1.160240888595581	1.6923820972442627	1.3881019353866577	1.3949583768844604	0.6872745752334595	0.7064481377601624	0.012382272630929947	0.0335734486579895	0.8819398283958435	0.9137897491455078	12.024738311767578	6.9371442794799805	6.129029273986816	0.0372009202837944	0.042789388447999954	0.11754589527845383	0.08555345982313156	8.0	8.0	False	0.9679544568061829	0.023081423714756966
full_attention	1	7.179498195648193	4.854407787322998	8.41617202758789	0.9399763345718384	1.2245211601257324	2.112767219543457	1.1162574291229248	1.4312584400177002	1.3661377429962158	1.3648455142974854	0.6748358607292175	0.643426239490509	0.012112373486161232	0.03198394924402237	0.86945641040802	0.8975671529769897	9.105635643005371	7.177731513977051	6.704855442047119	0.06608644872903824	0.03256997466087341	0.13012754917144775	0.10186711698770523	8.0	8.0	False	0.9668788909912109	0.012955836951732635
full_attention	2	6.643770694732666	4.999676704406738	6.055934429168701	0.892553985118866	1.1596671342849731	2.1027512550354004	1.1523079872131348	2.3773674964904785	1.4274147748947144	1.4264591932296753	0.723842978477478	0.7297833561897278	0.011858133599162102	0.03090205229818821	0.9081534147262573	0.893665611743927	7.993748664855957	7.809417247772217	6.0847883224487305	0.04114615172147751	0.055254559963941574	0.09122750908136368	0.10582724213600159	8.0	8.0	False	0.9489004611968994	0.010482802987098694
full_attention	3	5.915741920471191	3.93367075920105	4.095423698425293	0.8730112910270691	1.0919915437698364	2.0898008346557617	1.0851491689682007	1.6741974353790283	1.3773480653762817	1.3755741119384766	0.740959644317627	0.7094506025314331	0.011577311903238297	0.02885167859494686	0.8819442987442017	0.8770791292190552	11.27048110961914	10.845440864562988	4.867980480194092	0.06222057715058327	0.04869050905108452	0.1175752580165863	0.12245430797338486	8.0	8.0	False	0.9042727947235107	0.021761078387498856
full_attention	4	5.47666597366333	3.357646942138672	2.8812031745910645	0.8567467331886292	1.0285311937332153	2.086560010910034	1.1033364534378052	1.7221965789794922	1.3987051248550415	1.3982127904891968	0.6744437217712402	0.6701602935791016	0.011322960257530212	0.028614139184355736	0.8805948495864868	0.9104966521263123	7.554149627685547	8.019756317138672	5.410041332244873	0.05884160101413727	0.0451187901198864	0.11894786357879639	0.08887667208909988	8.0	8.0	False	0.873502254486084	0.02386283501982689
full_attention	5	5.155270099639893	3.217261791229248	2.0470426082611084	0.8371144533157349	0.9303039908409119	2.0877609252929688	1.063297152519226	1.296691656112671	1.3984594345092773	1.3999836444854736	0.7013754844665527	0.6743602156639099	0.01108513679355383	0.028049884364008904	0.8812041878700256	0.8901904225349426	10.202515602111816	9.32398796081543	4.782647132873535	0.0526190809905529	0.04407752305269241	0.11832761764526367	0.1092858612537384	8.0	8.0	False	0.8097230195999146	0.0350131019949913
full_attention	6	4.942472457885742	3.1181552410125732	1.583539605140686	0.8002828359603882	0.8525503277778625	2.0947887897491455	1.0958434343338013	1.6509443521499634	1.3890531063079834	1.37356436252594	0.7102189660072327	0.6836234927177429	0.01074912864714861	0.03107466548681259	0.9096619486808777	0.9004600644111633	8.59417724609375	8.179128646850586	5.259809494018555	0.04516576603055	0.03900536894798279	0.08973139524459839	0.09894104301929474	8.0	8.0	False	0.7680405378341675	0.028873799368739128
full_attention	7	4.89631986618042	3.60897159576416	1.4215642213821411	0.7701635956764221	0.7937598824501038	2.0736777782440186	1.03564453125	1.615028738975525	1.3855388164520264	1.3934787511825562	0.749334454536438	0.6950756311416626	0.010612313635647297	0.03188565373420715	0.8953194618225098	0.884600818157196	9.798690795898438	11.23487663269043	3.998774528503418	0.04921026900410652	0.0429486483335495	0.10413356125354767	0.11488880217075348	8.0	8.0	False	0.7496997714042664	0.04032471776008606
full_attention	8	4.712297439575195	3.2919023036956787	1.3251848220825195	0.7372428178787231	0.7250057458877563	2.0843379497528076	1.0519461631774902	1.4250571727752686	1.326220154762268	1.3446482419967651	0.6912856101989746	0.6570421457290649	0.010267509147524834	0.0342712476849556	0.9089752435684204	0.8971487283706665	9.566228866577148	7.545618057250977	4.916072368621826	0.047520652413368225	0.04889867827296257	0.0904109999537468	0.10231668502092361	8.0	8.0	False	0.7209922671318054	0.030644292011857033
full_attention	9	4.609888553619385	3.321786642074585	1.2494544982910156	0.7146143913269043	0.6601370573043823	2.0812268257141113	1.0361851453781128	0.9334472417831421	1.4172722101211548	1.4058302640914917	0.7044054865837097	0.6633126735687256	0.009964640252292156	0.03505853936076164	0.9206496477127075	0.8917241096496582	7.082655429840088	7.688263416290283	5.58420991897583	0.04106182977557182	0.05497268959879875	0.07865660637617111	0.10776396840810776	8.0	8.0	False	0.7202712297439575	0.03409741818904877
