run	step	total	rna_encoder	image_encoder	rna_projection	image_projection	rna_bag_aggregator	image_bag_aggregator	jepa_predictors	state_response_heads	perturbation_encoder	adversaries	counterfactual_heads	decoders	other
full_attention	0	8.791021347045898	18.436979590940336	13.510768098586853	0.17562327012920673	0.2767516369963043	0.15652051227249103	0.1802985070500091	2.019335867233524	0.005144330315608369	3.680550616804965e-05	0.009805693180803744	0.0019639777411022095	0.0	0.0
full_attention	1	7.179498195648193	7.535058553483652	11.223538483687543	0.28209159783947696	0.3180920200092054	0.20784505377244328	0.20679083402196052	2.0673574152456697	0.007053583180916268	2.438985238438276e-05	0.03232559394172089	0.0019385208637823122	0.0	0.0
full_attention	2	6.643770694732666	5.608711626356003	8.85871255465331	0.25389270759754407	0.40689450637880703	0.19744757551991676	0.23273546806779005	2.1152311037161593	0.013879457989127061	2.337954825741957e-05	0.04559768321896159	0.0019142564799049142	0.0	0.0
full_attention	3	5.915741920471191	3.3411075155685372	6.844418153310428	0.21404822461851203	0.2988633854458592	0.2010804224474066	0.2010846440031193	2.1774365629448633	0.010495045424048803	3.710918817388006e-05	0.043248915773008136	0.0018866465143740172	0.0	0.0
full_attention	4	5.47666597366333	2.198691774666389	5.270205314454597	0.21950416458784397	0.29904850228674745	0.19002716790069682	0.18823879202004185	2.208909517418125	0.008404453439788934	4.220477864614889e-05	0.02610042790834239	0.001861758358666953	0.0	0.0
full_attention	5	5.155270099639893	1.9001952981039922	4.3025259642035625	0.23509667871698198	0.34533955500852825	0.21114317633192572	0.185849399948053	2.230762028977961	0.008698138855264926	4.229787529983154e-05	0.024394774448785933	0.001837462567273361	0.0	0.0
full_attention	6	4.942472457885742	1.7075750594194474	3.407978522728823	0.18486221660056704	0.19819627658553232	0.18870934286158	0.16958879446391503	2.241766439653909	0.008384962121109108	7.454265164993913e-05	0.0222795187251497	0.0018056422728439652	0.0	0.0
full_attention	7	4.89631986618042	1.6447804139460744	2.835928455942085	0.23397938876793478	0.3329982430848696	0.22939556530489863	0.2178799574404826	2.2472566634245292	0.008515254253215313	3.733203398933528e-05	0.034396646933642104	0.0017888239867224225	0.0	0.0
full_attention	8	4.712297439575195	1.0860326555707023	2.8301916643377583	0.15083009192105878	0.23991620440426348	0.15328669800024455	0.1552885985223177	2.171110886543584	0.022628260935066098	6.633464953697329e-05	0.051709290818564534	0.0017539333322833205	0.0	0.0
full_attention	9	4.609888553619385	0.8336316692847114	2.3569119682423634	0.17381390016817166	0.25063960981547867	0.16193632909901526	0.14960393237957204	2.1095422067743295	0.01377763362997596	9.749941252112617e-05	0.04318149793847743	0.0017250122744016042	0.0	0.0
full_attention	10	4.478790760040283	0.8472192288317857	2.6159847865774366	0.17677068298164778	0.2452058753246619	0.1605899025542029	0.17316558141079647	2.073591605534955	0.013863876102826305	0.0002211624418726315	0.05856767357983242	0.0016549664721075368	0.0	0.0
full_attention	11	4.36363410949707	0.6385900894279437	2.1484818930093352	0.16083742919284044	0.20934991869396952	0.12734584389415876	0.13065949107236016	2.0149648234846906	0.011937503481145882	0.00016188763163169418	0.03466765834409376	0.001645287543617153	0.0	0.0
full_attention	12	4.356149196624756	0.7237747077326228	2.0108781905428557	0.22205426232241765	0.22432731293509123	0.15974000063369298	0.1759915456748263	1.9190519813197238	0.01334541500037951	0.0001606065878883793	0.07837948532487393	0.0016229728353062182	0.0	0.0
full_attention	13	4.243269443511963	0.5393017309143	1.9567548412152826	0.21704505121088413	0.3892077466680374	0.20748943683938748	0.19191801862286692	1.7863186881612636	0.016142223223396892	0.00023602335987910053	0.049420215451275624	0.0015339175415719228	0.0	0.0
full_attention	14	4.197035789489746	0.5427705866528245	1.6341973812493031	0.20887678852218175	0.3334502298443081	0.19058716727471922	0.22259640212570592	1.7079862425135541	0.01243844670004818	0.0002617701101579478	0.0436369362913413	0.0014740594096075703	0.0	0.0
full_attention	15	4.044549942016602	0.4684024673523527	1.319135423592584	0.19433329088877707	0.21169312674211216	0.1539492472807498	0.1613179212272607	1.5894778142259656	0.01578674754025623	0.00021487577270357626	0.06359243554953538	0.0014441844262626147	0.0	0.0
full_attention	16	4.0335516929626465	0.5429924808030676	1.1645331727863222	0.20036269143091978	0.23018465746132594	0.15983636357352396	0.16956290358082063	1.4614999911892386	0.014410440467649173	0.00017645816937276996	0.045994784344688795	0.0013735743535870433	0.0	0.0
full_attention	17	4.016119003295898	0.5544289212005823	1.0080854338334018	0.20262613831263143	0.26262811479582554	0.168773951221056	0.17488119695613913	1.3791049775343398	0.012776729532168483	0.0002726237122985631	0.03634098766810867	0.0013215087326450535	0.0	0.0
full_attention	18	3.973494291305542	0.39136928579118785	0.9546750216754027	0.145205082629524	0.18833177000475235	0.1479668714599628	0.15588927008019424	1.2814380493266995	0.016077030757602053	0.0005108155095542194	0.05802004949511643	0.0013249601563707935	0.0	0.0
full_attention	19	3.89031982421875	0.5292548112723766	1.0713246504080753	0.1439222498528615	0.20194558825628348	0.15045423418460444	0.16354090353904474	1.1767868907779118	0.03064589085308916	0.00023857256623934224	0.062191600629475055	0.0012116221454559642	0.0	0.0
full_attention	20	3.8373494148254395	0.5535847063495832	1.1384630272831322	0.1581216651350325	0.2576461005983357	0.17002446019515205	0.1904090263228135	1.0907148064955403	0.026384426209385622	0.0004950770793931579	0.05104995297223816	0.0011505624911592278	0.0	0.0
full_attention	21	3.846869468688965	0.46395944712149456	1.0137784187048844	0.16564540016658139	0.21983131104427836	0.17610567776883598	0.1905044607552599	0.9960808807836047	0.018438933621012156	0.00025529724958739674	0.049651204617971234	0.001032359796389458	0.0	0.0
full_attention	22	3.8912971019744873	0.9987059574661092	0.9866686968902467	0.19978592277236887	0.24347863766285227	0.19245757446125705	0.20702274137722515	0.9242251679280099	0.0283604801326552	0.00030723440699499275	0.05327206461313613	0.0010525431116402582	0.0	0.0
full_attention	23	3.743835210800171	0.3445018668439288	0.8643044553895891	0.13113978655103858	0.2770555976531654	0.17422416195713247	0.18783775939810962	0.8367644039808766	0.019451506956159447	0.0002383149515432714	0.06380529089122489	0.0008788716111591309	0.0	0.0
full_attention	24	3.664053440093994	0.46788883502045203	0.7454679647820042	0.20248808130593995	0.23758121174243235	0.1897787992041544	0.19692503455036245	0.7784684044435624	0.009233639337596907	0.000507620572983806	0.024246543510888955	0.0008841292531904872	0.0	0.0
full_attention	25	3.7287180423736572	0.4330890229214299	0.6597536355818535	0.19275768253884334	0.2311093112686676	0.16285872324379883	0.1750652441906417	0.7227729967099127	0.017599193031739846	0.0002837264147739474	0.042521653906683145	0.0007857499883337864	0.0	0.0
full_attention	26	3.7269585132598877	0.37474074290815423	0.7182974932799474	0.2054903250524492	0.21772628259912	0.1699114723613577	0.1839836063351531	0.6668122217455174	0.013920503148242698	0.00019802813759267556	0.023311492693373324	0.0006950057420048443	0.0	0.0
full_attention	27	3.6702725887298584	0.5356797173444121	0.6374126282549332	0.17570384307664866	0.19993278550414564	0.16419356489889625	0.18132254754728996	0.640859044120416	0.010427524954539618	0.00027433367471881666	0.03362963376074662	0.0007946971950027541	0.0	0.0
full_attention	28	3.6280174255371094	0.5118331122604917	0.6957907595988189	0.12580169122034135	0.23252267965699533	0.1552993565911678	0.17209026462866148	0.5980149732506307	0.019150213152773144	0.0005938630567602455	0.04708492406982553	0.0008310680839008142	0.0	0.0
full_attention	29	3.695521116256714	0.6528386420129084	0.6470426149848763	0.12840473562032342	0.18782062214086248	0.14931919722860812	0.16194442735607242	0.5693571566561535	0.01000147507460908	0.0002218815789490282	0.03543170231118235	0.0006723899377008576	0.0	0.0
full_mean	0	8.728001594543457	17.714327881054242	14.240220588795859	0.588354021087645	0.4366532902237076	0.042489412790749415	0.04557051615039967	2.737303823770545	0.0056876945152509704	2.463278144315756e-05	0.011188523553863104	0.0020115230320087245	0.0	0.0
full_mean	1	7.200691223144531	7.68989328879112	12.009631423634282	0.7894231661896289	0.923039316950641	0.06567382879723799	0.07605019372825059	2.830104460434502	0.007018268836974981	1.6428374634376736e-05	0.04532072480909583	0.0019841612599589436	0.0	0.0
full_mean	2	6.537637710571289	5.770022998954788	9.727887225624	0.6366593843388613	0.5202566520286924	0.03694796229677269	0.03804343399345263	2.757098013711665	0.009777022758141142	3.4052005863658793e-05	0.03586486748431187	0.0019573481132518205	0.0	0.0
full_mean	3	5.787801742553711	3.8902203244664797	7.713335713436419	0.7010842955650757	0.6663203622795747	0.040251639169606376	0.04448953258841612	2.5830191712996333	0.012692553201494958	3.9228896387663374e-05	0.04269530938719538	0.0019306961328883162	0.0	0.0
full_mean	4	5.270646095275879	2.5569756298624537	5.6337915559547165	0.6261619431041181	0.7579648658727711	0.06138375800984845	0.06340707312620507	2.2612816781417497	0.008435268281166704	5.355670268813193e-05	0.029512742376159765	0.0019012532956877045	0.0	0.0
full_mean	5	4.897796630859375	1.9221942637423812	4.458752113088896	0.42039959617914713	0.5289086435706567	0.04137462080828746	0.04815053193852126	2.08451777488462	0.007822565339357507	5.994666706099553e-05	0.019605162880538214	0.0018783233586520593	0.0	0.0
full_mean	6	4.72791051864624	1.7415223809046734	4.485123250298602	0.5893111603632807	0.9311362069215494	0.054431537542581815	0.05735003361923216	1.8664056878497566	0.007934417571862445	7.134833556189839e-05	0.02651173062502718	0.0018510792074712596	0.0	0.0
full_mean	7	4.691967487335205	1.5423553110689017	3.5095293258473284	0.47358875667212286	0.6375716785204621	0.05352188533324774	0.05097931227118298	1.7471768501958682	0.007542458470479956	0.00012863949818914784	0.02717655228072645	0.0018139954504281317	0.0	0.0
full_mean	8	4.534599304199219	1.534436862839918	2.6302098272803884	0.47005196182783865	0.7271538907157579	0.04557551605930802	0.05212137022922351	1.6695045809805722	0.01714537229868032	0.00010841353555062523	0.05470345773570087	0.001789039096738037	0.0	0.0
full_mean	9	4.482507228851318	1.101954532301058	2.1559453393734618	0.40013219988993376	0.6910123042284573	0.04548560468780255	0.048877421816884724	1.5815810527452794	0.010063584246149518	0.00019630647922213015	0.03767522621417673	0.001726072331383205	0.0	0.0
full_mean	10	4.332731246948242	0.8251936790374111	2.0624366749857437	0.3557157952826659	0.5202050623783846	0.04264731746989081	0.027990219374902568	1.5110324430984845	0.009464636410936823	0.0001629384096571912	0.04865684594769035	0.0017245095827611863	0.0	0.0
full_mean	11	4.294454574584961	0.6953266498944713	1.8627525149806015	0.35599416099250825	0.6146730274406096	0.04247795738654962	0.035112788911803264	1.4291130485891193	0.011634388372641066	0.00017685603542079922	0.03615442889288384	0.001662293262257745	0.0	0.0
full_mean	12	4.2901692390441895	0.7580110976928689	1.7259260977597515	0.34185481272959717	0.392160541822469	0.03107913451853447	0.02892034358593428	1.36949692616498	0.01023616989852399	0.00020991155494686105	0.06650173107008538	0.0016057786561838039	0.0	0.0
full_mean	13	4.214156627655029	0.8232760081244164	1.5491770137518912	0.3943766483063857	0.5411165294055439	0.03688085041870676	0.03189647820930864	1.3085550568767585	0.016382034145525685	0.00021352137999046937	0.054314463410635457	0.0015946936786966443	0.0	0.0
full_mean	14	4.1549391746521	0.6433012908915675	1.4744041547451634	0.2896382750310321	0.36892463570545125	0.026454969714927147	0.02221971990839832	1.2494795071633729	0.008993552698161546	0.00017443873340943882	0.03508292348129629	0.0015121012374832569	0.0	0.0
full_mean	15	4.036134243011475	0.7927059940241199	1.3390081736846837	0.3239303007161975	0.38253047329767603	0.027715955546908307	0.028376915215555843	1.1774516820037038	0.013253347787616939	0.00023895463726941564	0.055680735317766246	0.0014947281708965032	0.0	0.0
full_mean	16	4.0274505615234375	0.6812156452720753	1.0635330152092635	0.2953264574688194	0.3515701595063786	0.02536779674633268	0.023221792493617204	1.1138885945118029	0.010434167719723745	0.0001956996513185959	0.03939002265599358	0.001439706998803675	0.0	0.0
full_mean	17	4.005772590637207	0.7358539032103769	1.0691359717483457	0.32137549622625555	0.47681588014802856	0.030941405628863536	0.026126112813418183	1.0775145052256179	0.007560312886041381	0.0008380664407709183	0.032128447089475126	0.0016717600824103977	0.0	0.0
full_mean	18	3.979031562805176	0.5560324148784611	0.8584020222084571	0.31210319313530316	0.3125032378600252	0.024103307911155107	0.024066695521634235	1.015896474746196	0.009293972944165242	0.00041415097101512655	0.04669896762274271	0.001433468494827651	0.0	0.0
full_mean	19	3.8794164657592773	0.924504216473181	0.8726417089209874	0.33474443925741054	0.3521615863528553	0.028983739121136574	0.024858290269119496	0.9798429874775283	0.018071238726495572	0.0004119249665969573	0.06529755655652114	0.0013700982779999318	0.0	0.0
