candidate	alpha	feature	direction	threshold	mean_active_fraction	mean_oracle_overlap_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
pooled_environment_centered_ridge	0.1	action_support	ge	0.0	1.0	0.65	0.35	0.000730209657784067	-0.00025305256754738596	0.005322555938575392	-0.00870192226939609	-0.005555555555555557	-0.11111111111111116
pooled_environment_centered_ridge	0.1	action_support	le	0.0	1.0	0.65	0.35	0.000730209657784067	-0.00025305256754738596	0.005322555938575392	-0.00870192226939609	-0.005555555555555557	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_delta_support	ge	0.7920335227723077	0.8	0.525	0.275	0.0006200317666597234	-0.00026228515549278283	0.0040610625296835425	-0.004654387212322919	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_delta_support	le	0.7920335227723077	0.19999999999999998	0.125	0.075	0.00011017789112434317	-0.00032508109591792775	0.0012614934088918492	-0.007509492144289975	0.002777777777777779	0.0
pooled_environment_centered_ridge	0.1	blend_delta_support	ge	0.8286568712848399	0.65	0.4083333333333334	0.24166666666666664	0.0004299702304767361	-0.000614036858587054	0.0023156561051177658	-0.004533382328956281	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_delta_support	le	0.8286568712848399	0.35	0.24166666666666664	0.10833333333333332	0.000300239427307331	-0.0002761431910378834	0.0030068998334576115	-0.006925462066237953	0.002777777777777779	0.0
pooled_environment_centered_ridge	0.1	blend_delta_support	ge	0.8607292565190416	0.5	0.3166666666666666	0.18333333333333332	0.00033845300441731255	-0.000614036858587054	0.0014805387745637382	-0.004925651112282103	-0.002777777777777782	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_delta_support	le	0.8607292565190416	0.5	0.3333333333333333	0.16666666666666666	0.0003917566533667543	-0.0002761431910378834	0.0038420171640116416	-0.009385091301818888	-0.002777777777777775	-0.1111111111111111
pooled_environment_centered_ridge	0.1	blend_delta_support	ge	0.8839886461761072	0.35	0.22222222222222224	0.12777777777777777	0.00025202616812367945	-0.0006750265824137999	0.0010811272279700052	-0.003273610566637497	-2.7755575615628915e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_delta_support	le	0.8839886461761072	0.65	0.42777777777777776	0.22222222222222224	0.0004781834896603877	-0.0005537212622483472	0.0042414287106053656	-0.009385091301818888	-0.005555555555555554	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_delta_support	ge	0.9087716225832864	0.19999999999999998	0.12777777777777777	0.07222222222222222	0.00017567352558297284	-0.0007246239479458405	0.0004837329154434043	-0.003273610566637497	0.0	0.0
pooled_environment_centered_ridge	0.1	blend_delta_support	le	0.9087716225832864	0.8	0.5222222222222224	0.2777777777777778	0.0005545361322010939	-0.0006601676506537493	0.004838823023131994	-0.009988629489105172	-0.005555555555555557	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	ge	0.008320640448451736	0.8	0.5361111111111111	0.2638888888888889	0.0007097451199261128	-0.00025305256754738596	0.005242982509301003	-0.0047812887312170815	-0.008333333333333333	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	le	0.008320640448451736	0.2	0.11388888888888889	0.08611111111111111	2.0464537857953724e-05	-0.0004064343890870254	7.957342927436273e-05	-0.009795329440510842	0.002777777777777776	0.0
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	ge	0.009728344982820547	0.65	0.43611111111111106	0.21388888888888888	0.0006774723559060118	-0.0005076432231042472	0.004937027205131932	-0.0043499816198058205	-0.008333333333333333	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	le	0.009728344982820547	0.35	0.21388888888888888	0.13611111111111113	5.273730187805464e-05	-0.0005127937111212531	0.00038552873344346037	-0.009795329440510842	0.002777777777777776	0.0
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	ge	0.011412027584050691	0.5	0.3555555555555555	0.14444444444444443	0.0006458710996799186	-0.000266461916116012	0.004459707061391995	-0.0032996894211174965	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	le	0.011412027584050691	0.5	0.2944444444444444	0.20555555555555555	8.433855810414794e-05	-0.0004503632687422963	0.0008628488771834045	-0.011500630493603559	0.0027777777777777775	-0.1111111111111111
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	ge	0.01334771889908812	0.35	0.25	0.1	0.0005128949060965447	-0.0003606027386384462	0.003373496491441536	-0.0038453921576767636	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	le	0.01334771889908812	0.65	0.4	0.25	0.0002173147516875219	-0.00038460365078496483	0.0019490594471338579	-0.009580434759744128	0.0027777777777777775	-0.1111111111111111
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	ge	0.01604281113337128	0.19999999999999998	0.14444444444444443	0.05555555555555556	0.0002701842448372783	-0.001190428593680487	0.001724586202095213	-0.003711047810692758	-0.005555555555555555	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_minus_floor_norm	le	0.01604281113337128	0.7999999999999999	0.5055555555555555	0.29444444444444445	0.00046002541294678823	-0.00023766893075956828	0.0035979697364801806	-0.010712749313513015	-1.3877787807814458e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_to_floor_norm_ratio	ge	0.9655774975777401	0.8	0.5138888888888888	0.2861111111111111	0.0004839430877036137	-0.00038460365078496483	0.003231023298863038	-0.006955671145873865	-0.0027777777777777775	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_to_floor_norm_ratio	le	0.9655774975777401	0.2	0.13611111111111113	0.06388888888888888	0.00024626657008045276	-0.0010798415043217005	0.0020915326397123587	-0.0022147850975788863	-0.002777777777777779	-0.11111111111111116
pooled_environment_centered_ridge	0.1	blend_to_floor_norm_ratio	ge	0.9753966099653011	0.65	0.4222222222222222	0.22777777777777777	0.0003283480631929151	-0.0006721428125729331	0.002611617585774359	-0.00505802191072946	-1.3877787807814458e-18	-0.11111111111111116
