seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	margin_q10_change	mean_margin_change	near_tie_count
0	0.0	True	0.14541942888185247	0.9490979256830906	0.4583333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0
0	0.025	False	0.14572493484177698	0.950692166300441	0.4583333333333333	0.00030550595992451246	0.001594240617350362	0.0	0.0	12.0	-2.91804491572734e-05	9.39674985970313e-06	33.0
0	0.05	False	0.14602303274858908	0.9522508117505547	0.4583333333333333	0.0006036038667366073	0.0031528860674641113	0.0	0.0	18.0	-3.7405603589268964e-05	1.87624878760059e-05	33.0
0	0.1	False	0.14659698590485482	0.9552601884947676	0.4583333333333333	0.0011775570230023458	0.006162262811676977	0.0	0.0	21.0	-5.388571443163407e-05	3.637386954895911e-05	33.0
0	0.15	False	0.14714125049288354	0.9581238928733344	0.4583333333333333	0.0017218216110310713	0.009025967190243844	0.0	0.0	23.0	-7.040754652654085e-05	5.189563534690097e-05	33.0
0	0.2	False	0.14765578732268236	0.9608399101283673	0.4583333333333333	0.002236358440829894	0.011741984445276743	0.0	0.0	25.0	-8.69735090773816e-05	6.730062926631968e-05	33.0
0	0.25	False	0.14814055595091338	0.9634063681846197	0.4583333333333333	0.0027211270690609135	0.014308442501529073	0.0	0.0	25.0	-0.00010413534283439942	8.258852512781695e-05	33.0
0	0.5	False	0.15011638617485032	0.9739384983023327	0.4583333333333333	0.00469695729299785	0.024840572619242107	0.0	1.0	27.0	-0.000304438039787347	0.00015605157309595151	33.0
0	0.75	False	0.15134143549160692	0.9805123696858913	0.5	0.005922006609754449	0.03141444400280069	0.041666666666666685	4.0	28.0	-0.00048228497690907537	0.00021257276554131744	33.0
0	1.0	False	0.15181008759504783	0.9829744735516456	0.5	0.006390658713195357	0.033876547868554985	0.041666666666666685	7.0	29.0	-0.0012256982729678123	0.00021463873818013433	33.0
1	0.0	True	0.23016913206959908	0.9223779129863063	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0
1	0.025	False	0.23114681480088586	0.9251325186922179	0.4861111111111111	0.0009776827312867886	0.0027546057059115725	0.0	0.0	7.0	-8.987668344495646e-06	0.0001559706126634407	35.0
1	0.05	False	0.23209608464373885	0.9278291221587539	0.4861111111111111	0.001926952574139773	0.005451209172447569	0.0	0.0	9.0	-1.7951669416849147e-05	0.00031097376387034185	35.0
1	0.1	False	0.23390951025822376	0.933042109554029	0.4861111111111111	0.003740378188624688	0.010664196567722661	0.0	0.0	13.0	-3.580848519151307e-05	0.000614122894418332	35.0
1	0.15	False	0.23560984746422894	0.9380050160881671	0.5	0.005440715394629869	0.015627103101860773	0.013888888888888895	0.0	18.0	-6.368162258574289e-05	0.000879715873509285	35.0
1	0.2	False	0.23719783027613583	0.9427070669250691	0.5	0.00702869820653676	0.02032915393876278	0.013888888888888895	0.0	19.0	-0.00019987900979627775	0.0010633748439729746	35.0
1	0.25	False	0.23867447469843123	0.9471388036862876	0.5	0.008505342628832152	0.02476089069998122	0.013888888888888895	2.0	20.0	-0.0003046310982145251	0.0011214648339036232	35.0
1	0.5	False	0.2444405998341813	0.9650242392023003	0.5	0.014271467764582213	0.04264632621599396	0.013888888888888895	5.0	25.0	-0.0014215976540768783	0.0013785226009004861	35.0
1	0.75	False	0.24770259024786986	0.9756872578419886	0.5	0.01753345817827079	0.053309344855682284	0.013888888888888895	9.0	25.0	-0.00343509892950411	0.0014962368547436844	35.0
1	1.0	False	0.24877550058612152	0.9797032344955965	0.5	0.018606368516522448	0.05732532150929015	0.013888888888888895	12.0	26.0	-0.004787041283272208	0.0015261074117733319	35.0
2	0.0	True	0.31538051651863425	0.9472656765128912	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
2	0.025	False	0.3158614522229553	0.9481806678220656	0.5	0.0004809357043210616	0.0009149913091743844	0.0	0.0	19.0	6.124297351306485e-06	5.04890160700504e-05	36.0
2	0.05	False	0.31633073044703397	0.9490703457884742	0.5	0.0009502139283997235	0.0018046692755829818	0.0	0.0	22.0	1.2249415693554866e-05	0.00010088299201028532	36.0
2	0.1	False	0.31723422379718463	0.9507740300432729	0.5	0.0018537072785503872	0.0035083535303817026	0.0	1.0	26.0	2.4502151274918837e-05	0.00020137576607917596	36.0
2	0.15	False	0.31809083627233425	0.9523773779692463	0.5	0.002710319753700008	0.005111701456355089	0.0	1.0	26.0	3.675827637922291e-05	0.00030145874657227915	36.0
2	0.2	False	0.3189004421187479	0.9538812111784719	0.5	0.0035199256001136603	0.006615534665580736	0.0	3.0	28.0	4.90178570948796e-05	0.00040111321404239414	36.0
2	0.25	False	0.3196629513532865	0.9552865145601229	0.5	0.004282434834652238	0.008020838047231749	0.0	3.0	28.0	6.128095596397154e-05	0.0005003212949226414	36.0
2	0.5	False	0.32276853121967225	0.9608796190975484	0.5	0.007388014701038004	0.013613942584657202	0.0	4.0	29.0	-0.0006904436093685962	0.0009890980020031538	36.0
2	0.75	False	0.3247052941383559	0.9642314757023163	0.5	0.00932477761972167	0.01696579918942509	0.0	4.0	29.0	-0.0009860253373767391	0.0014616398466116827	36.0
2	1.0	False	0.3255060302154063	0.9655801187924382	0.5	0.01012551369677206	0.01831444227954704	0.0	13.0	30.0	-0.00244447059078462	0.0018992612612719925	36.0
3	0.0	True	0.5964334664363728	0.9479116135821665	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0
