probe	split	collapse_flag	pass_gate	rna_min_std	image_min_std	rna_mean_std	image_mean_std	rna_rank	image_rank	rna_bio_latent_r2	image_bio_latent_r2	batch_balanced_accuracy	batch_majority_accuracy	rna_to_image_recall@1	rna_to_image_recall@5	image_to_rna_recall@1	image_to_rna_recall@5	rna_to_image_median_rank
oracle_true_z_bio	train	False	False	0.1658057859083205	0.1658057859083205	0.4496281696386643	0.4496281696386643	16	16	0.9999965767313787	0.9999965767313787	0.3125	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	val	False	False	0.18530279014536816	0.18530279014536816	0.4590194328384595	0.4590194328384595	16	16	0.9998926232231624	0.9998926232231624	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	test	False	True	0.18364026567028313	0.18364026567028313	0.4563566874042028	0.4563566874042028	16	16	0.9999045526459739	0.9999045526459739	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	train	False	False	0.9840815838724433	0.9842509831300567	0.9841492749147086	0.9842509836981876	4	4	0.9887902035825622	0.9887904111692155	0.3125	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	val	False	False	0.9683934454429306	0.9640525972630053	1.2508853798851551	0.9857152288975244	4	4	0.6328067815147874	0.9686024908813359	0.3125	0.5	0.28125	0.4375	0.28125	0.6875	7.0
ridge_rna_to_image_pca	test	False	True	1.0028304180312722	0.9743117065492897	1.1961321138614185	0.9904193706062066	4	4	0.6457033553632331	0.9692601568335719	0.59375	0.5	0.28125	0.5	0.21875	0.71875	5.5
ridge_supervised_z_bio	train	False	False	0.16578305310344896	0.1657968667921776	0.44961044689632323	0.44962261231249856	16	16	0.9999965732860692	0.999996550153647	0.3125	0.5	1.0	1.0	1.0	1.0	1.0
ridge_supervised_z_bio	val	False	False	0.19873991775535604	0.16807779848565096	0.4847188979621996	0.4529959373085557	16	16	0.6216334636927355	0.9911880234918427	0.3125	0.5	0.34375	0.71875	0.21875	0.78125	3.0
ridge_supervised_z_bio	test	False	False	0.21583354312844008	0.16575496198994827	0.493143945739534	0.4517596876805714	16	16	0.6186942383013336	0.991620806243246	0.65625	0.5	0.25	0.5625	0.21875	0.71875	4.5
pls_cross_covariance	train	False	False	5.827356743026262	10.74794705526278	22.175882165927764	42.927659428942526	4	4	0.9455627578259376	0.9883329037661099	0.5625	0.5	0.59375	0.96875	0.59375	0.96875	1.0
pls_cross_covariance	val	False	False	6.114864657219698	10.816048523950725	23.125752128985425	42.830964059998585	4	4	0.6955184985045767	0.9677619437488844	0.40625	0.5	0.34375	0.75	0.3125	0.8125	3.0
pls_cross_covariance	test	False	True	6.255524350002346	10.37319765891526	21.918731891929184	42.645931071635246	4	4	0.7348541508796747	0.9686719736252057	0.59375	0.5	0.28125	0.6875	0.28125	0.6875	2.5
regularized_cca	train	False	False	0.7599427818200326	0.7599410074232803	0.898315079330479	0.8983178030351344	4	4	0.908732314347898	0.9449072256924986	0.59375	0.5	0.5625	0.96875	0.5	0.90625	1.0
regularized_cca	val	False	False	0.9180280932044992	0.8377800100072684	1.017876988201441	0.938477113635244	4	4	0.7732017364908286	0.9182077706047991	0.5	0.5	0.1875	0.71875	0.15625	0.71875	4.0
regularized_cca	test	False	True	0.7133140652385863	0.753535306781992	0.9048091776563347	0.9054401941766815	4	4	0.7846156443441702	0.9097188384003645	0.59375	0.5	0.28125	0.65625	0.28125	0.71875	3.5
