seed	baseline	status	transition_improvement	delta_cosine	recall_at_1	effective_rank	magnitude_ratio	transition_gap_vs_full	delta_gap_vs_full	recall_gap_vs_full
0	full_action_ridge_floor	completed	0.005661906516194076	0.39796251669473043	0.48148148148148145	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0	source_only_ridge	completed	0.007292707159617141	0.4078914741957141	0.2222222222222222	9.941981399454747	0.7407144485430317	0.0016308006434230657	0.00992895750098366	-0.25925925925925924
0	action_only_ridge	completed	-0.021508798470111817	-0.02962439157384325	0.4074074074074074	1.8320649500155655	0.506254438168712	-0.02717070498630589	-0.4275869082685737	-0.07407407407407407
0	mean_delta	completed	-0.018758301311607058	-0.07606912518751248	0.3333333333333333	0.0	0.39321249800892144	-0.024420207827801133	-0.4740316418822429	-0.14814814814814814
0	source_plus_wrong_eval_action	completed	-0.0013528073297371563	0.31006550613522765	0.2962962962962963	10.286317297573126	0.7688722773460925	-0.007014713845931232	-0.08789701055950278	-0.18518518518518517
0	source_plus_permuted_train_action_fit	completed	0.010299641845896934	0.41121781789992473	0.2962962962962963	10.314760316459102	0.7446968329491538	0.004637735329702858	0.013255301205194303	-0.18518518518518517
0	metadata_cell_batch_mean_delta	completed	-0.013096602123142075	0.17960778731000546	0.25925925925925924	6.565907059686869	0.6093110552368122	-0.01875850863933615	-0.21835472938472497	-0.2222222222222222
0	metadata_cell_mean_delta	completed	-0.014870832021689455	0.006513284420175926	0.25925925925925924	1.878050050296183	0.4460708362152714	-0.02053273853788353	-0.3914492322745545	-0.2222222222222222
1	full_action_ridge_floor	completed	0.021756478285427833	0.5404280277268804	0.3333333333333333	9.937518308977577	0.7933582487536444	0.0	0.0	0.0
1	source_only_ridge	completed	0.021016800186439102	0.5200304643310929	0.25925925925925924	9.186469959052808	0.7570631258545355	-0.000739678098988731	-0.020397563395787466	-0.07407407407407407
1	action_only_ridge	completed	-0.0033102200751232136	0.11605473839791457	0.37037037037037035	1.9613763161313658	0.5090532365569553	-0.025066698360551046	-0.4243732893289658	0.037037037037037035
1	mean_delta	completed	-0.0010783503915046204	0.06095771960292412	0.25925925925925924	0.0	0.3808290732994059	-0.022834828676932453	-0.47947030812395625	-0.07407407407407407
