baseline	seed_count	mean_transition_improvement	min_transition_improvement	mean_delta_cosine	min_delta_cosine	mean_recall_at_1	min_recall_at_1	mean_effective_rank	mean_magnitude_ratio	mean_transition_gap_vs_full	mean_delta_gap_vs_full	mean_recall_gap_vs_full
full_action_ridge_floor	5	0.011281438877204748	0.0004243423315500173	0.45151513636166707	0.39796251669473043	0.3333333333333333	0.25925925925925924	10.245808787907375	0.7556432505625665	0.0	0.0	0.0
source_plus_permuted_train_action_fit	5	0.010568231542222481	0.003038180412623328	0.43131734869863536	0.3332535010717072	0.28888888888888886	0.18518518518518517	10.148198173641136	0.7261486051106479	-0.0007132073349822648	-0.020197787663031673	-0.04444444444444444
source_only_ridge	5	0.009866133543730638	0.002179689139244399	0.42764472546686944	0.31040365825169414	0.25925925925925924	0.2222222222222222	9.778554663094674	0.7167147237905473	-0.0014153053334741096	-0.023870410894797623	-0.07407407407407407
source_plus_wrong_eval_action	5	0.007990394126942	-0.0013528073297371563	0.4182155078685453	0.31006550613522765	0.2814814814814815	0.25925925925925924	10.123678383626297	0.7698231644126007	-0.0032910447502627464	-0.03329962849312179	-0.05185185185185185
metadata_cell_batch_mean_delta	5	0.0032115970773939307	-0.013096602123142075	0.3298984086919207	0.17960778731000546	0.31111111111111106	0.2222222222222222	6.44163954254883	0.6333882953759868	-0.008069841799810814	-0.12161672766974627	-0.02222222222222222
metadata_cell_mean_delta	5	-0.0015900625160032837	-0.014870832021689455	0.177920560902218	0.006513284420175926	0.3333333333333333	0.2222222222222222	1.8525505510138243	0.45805255784166565	-0.012871501393208029	-0.273594575459449	0.0
mean_delta	5	-0.004957371579360629	-0.018758301311607058	0.045608679625420735	-0.07606912518751248	0.2962962962962963	0.25925925925925924	0.0	0.36133968772552244	-0.016238810456565375	-0.4059064567362463	-0.037037037037037035
action_only_ridge	5	-0.005422354406282718	-0.021508798470111817	0.10869584936936771	-0.02962439157384325	0.36296296296296293	0.2962962962962963	1.9208609388465372	0.47228026509712784	-0.016703793283487464	-0.3428192869922993	0.029629629629629627
