fold_id	scale	transition_improvement_gap	recall_at_1_gap	delta_cosine_gap	delta_rank_gap	magnitude_ratio	action_negative_gap	permutation_action_gap	train_residual_mse	calibration_residual_mse	fit_rows	calibration_rows
0	0.1	6.938893903907228e-18	0.0	3.3306690738754696e-16	0.0	0.6705979666420663	6.938893903907228e-18	0.0	0.0019997711742725187	0.004767261786880205	54	18
1	0.1	6.938893903907228e-17	0.0	2.220446049250313e-16	0.0	0.8256587562930019	6.938893903907228e-17	0.0	0.0021137954234157243	0.004808197361027098	54	18
2	0.1	-6.938893903907228e-18	0.0	0.0	-3.552713678800501e-15	0.7277604002659614	-6.938893903907228e-18	0.0	0.001873030992758831	0.006865777324818134	54	18
3	0.1	-3.469446951953614e-17	0.0	0.0	7.105427357601002e-15	0.6754570467890081	-3.469446951953614e-17	0.0	0.0017870974640046703	0.006941976724947755	54	18
