seed	perturbation_id	status	full_transition_improvement	source_transition_improvement	wrong_transition_improvement	full_delta_cosine	source_delta_cosine	wrong_delta_cosine	full_recall_at_1	source_recall_at_1	wrong_recall_at_1	full_minus_source_transition	full_minus_wrong_transition	full_minus_source_delta	full_minus_wrong_delta
0	9	completed	-0.03787556074381832	-0.03239084614248801	-0.03692903496261701	0.12867587312415363	0.21676303858661375	0.11741631844102507	0.5555555555555556	0.5555555555555556	0.5555555555555556	-0.005484714601330314	-0.0009465257812013086	-0.08808716546246012	0.011259554683128559
0	10	completed	0.009205303511384969	0.010942648494153225	-0.014969063221129933	0.4427734591544262	0.40550866487830883	0.22097545579887454	1.0	0.7777777777777778	0.6666666666666666	-0.0017373449827682557	0.024174366732514902	0.03726479427611734	0.22179800335555164
0	11	completed	0.04565597678101558	0.04332631912718621	0.047839676194535476	0.6224382178056113	0.6014027191222198	0.5918047441657833	0.8888888888888888	0.7777777777777778	0.8888888888888888	0.0023296576538293715	-0.002183699413519896	0.021035498683391496	0.030633473639827935
1	9	completed	0.0075617267535042065	0.000715254687091191	-0.001937529787350783	0.37249611911754005	0.25730898697766297	0.22933409041046943	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.006846472066413015	0.00949925654085499	0.11518713213987708	0.14316202870707062
1	10	completed	0.02196722662936333	0.028104564898045876	0.024587728992150868	0.6139067343706552	0.5840586400226182	0.5754511303758005	0.6666666666666666	0.8888888888888888	0.8888888888888888	-0.006137338268682544	-0.0026205023627875364	0.029848094348037035	0.038455603994854703
1	11	completed	0.03574048147341596	0.03423058097418024	0.042509800912300194	0.634881229692446	0.7187237659929977	0.7132745249985493	0.7777777777777778	0.8888888888888888	0.7777777777777778	0.0015099004992357168	-0.006769319438884237	-0.08384253630055172	-0.07839329530610328
2	9	completed	0.01428310816567118	0.0034988281370387847	0.004470682153586962	0.36742018950579713	0.2320416491845626	0.2328699259138435	0.7777777777777778	0.6666666666666666	0.7777777777777778	0.010784280028632395	0.009812426012084218	0.13537854032123453	0.13455026359195363
2	10	completed	-0.0015153439263129792	-0.0060163601944814606	-0.003276484671064117	0.3378717588487102	0.3027994357137555	0.3500820403436674	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.004501016268168481	0.001761140744751138	0.035072323134954675	-0.012210281494957231
2	11	completed	0.015438429701028773	0.013604346025395989	0.014164832950462078	0.5003633762544395	0.39636988985676436	0.4592806748324245	0.8888888888888888	1.0	1.0	0.0018340836756327843	0.0012735967505666957	0.10399348639767514	0.04108270142201498
3	9	completed	-0.01354393352035552	0.0021020359468881195	-0.004639047964373533	0.32025268648338956	0.4277837976823675	0.39811466812088553	0.5555555555555556	0.7777777777777778	0.7777777777777778	-0.01564596946724364	-0.008904885555981987	-0.10753111119897796	-0.07786198163749597
3	10	completed	-0.004137751542575526	-0.009963714655747635	-0.0075287860183506205	0.31693521254865153	0.24355852889435603	0.2867985559300741	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.00582596311317211	0.003391034475775095	0.0733766836542955	0.03013665661857745
3	11	completed	0.018954712057581098	0.014400746126592713	0.019826902525016066	0.6229765445253721	0.5667084725747232	0.6730674410510198	1.0	1.0	1.0	0.0045539659309883854	-0.0008721904674349676	0.05626807195064887	-0.05009089652564769
4	9	completed	-0.004201026694851044	0.0018971707112336682	-0.005463278532836507	0.38862753938186906	0.4363803185294761	0.3821509539410755	0.7777777777777778	0.6666666666666666	0.7777777777777778	-0.006098197406084712	0.001262251837985463	-0.04775277914760706	0.0064765854407935475
4	10	completed	0.05664062270417014	0.03152833792246953	0.028665802833774574	0.6953332627889339	0.5353760997709937	0.5238589188731441	1.0	0.8888888888888888	0.8888888888888888	0.025112284781700613	0.027974819870395566	0.15995716301794027	0.17147434391578986
4	11	completed	0.0050476118088493465	0.012012091098401116	0.012533710500026298	0.40777484182301005	0.48988687421562127	0.5187531748315416	1.0	1.0	1.0	-0.00696447928955177	-0.007486098691176952	-0.08211203239261122	-0.11097833300853155
