dataset	seed	eval_split	audit	representation	train_n	eval_n	train_batch_classes	eval_batch_classes	eval_majority_accuracy	status	accuracy	balanced_accuracy	balanced_accuracy_ci_low	balanced_accuracy_ci_high	per_class_recall_json
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	raw_count_pseudobulk	81	27	3	3	0.3333333333333333	ok	0.8518518518518519	0.8518518518518517	0.7319871794871795	0.9607638888888889	"{""batch_0"": 0.7777777777777778, ""batch_1"": 0.7777777777777778, ""batch_2"": 1.0}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	raw_image_pooled_pixels	81	27	3	3	0.3333333333333333	ok	0.9259259259259259	0.9259259259259259	0.807037037037037	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 0.7777777777777778}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_rna_latent	81	27	3	3	0.3333333333333333	ok	0.4074074074074074	0.4074074074074074	0.23358585858585856	0.5493181818181817	"{""batch_0"": 0.4444444444444444, ""batch_1"": 0.3333333333333333, ""batch_2"": 0.4444444444444444}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_image_latent	81	27	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.20351851851851854	0.4619230769230767	"{""batch_0"": 0.0, ""batch_1"": 0.3333333333333333, ""batch_2"": 0.6666666666666666}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	random_gaussian_16d	81	27	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.152114898989899	0.49569504569504563	"{""batch_0"": 0.3333333333333333, ""batch_1"": 0.3333333333333333, ""batch_2"": 0.3333333333333333}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	metadata_only_excluding_batch	81	27	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	81	27	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.17241744366744366	0.5389652014652013	"{""batch_0"": 0.4444444444444444, ""batch_1"": 0.3333333333333333, ""batch_2"": 0.2222222222222222}"
synth_genetic_anchor_lite	2	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	81	27	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	raw_rna_pseudobulk	126	126	3	3	0.35714285714285715	ok	0.5952380952380952	0.5925925925925927	0.49388173386121403	0.6877093996749768	"{""batch_0"": 0.5555555555555556, ""batch_1"": 0.6666666666666666, ""batch_2"": 0.5555555555555556}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	raw_count_pseudobulk	126	126	3	3	0.35714285714285715	ok	0.8333333333333334	0.8296296296296296	0.7673185213554967	0.8978782484534139	"{""batch_0"": 0.7777777777777778, ""batch_1"": 0.8444444444444444, ""batch_2"": 0.8666666666666667}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	raw_image_pooled_pixels	126	126	3	3	0.35714285714285715	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	protected_pls_rna_latent	126	126	3	3	0.35714285714285715	ok	0.3888888888888889	0.3962962962962963	0.31517691849213586	0.4680311068146002	"{""batch_0"": 0.5, ""batch_1"": 0.5555555555555556, ""batch_2"": 0.13333333333333333}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	protected_pls_image_latent	126	126	3	3	0.35714285714285715	ok	0.4444444444444444	0.43703703703703706	0.348509980365279	0.5114929337355808	"{""batch_0"": 0.3333333333333333, ""batch_1"": 0.6222222222222222, ""batch_2"": 0.35555555555555557}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	random_gaussian_16d	126	126	3	3	0.35714285714285715	ok	0.30158730158730157	0.30185185185185187	0.2213671346215226	0.3744432010893238	"{""batch_0"": 0.3055555555555556, ""batch_1"": 0.3111111111111111, ""batch_2"": 0.28888888888888886}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	metadata_only_excluding_batch	126	126	3	3	0.35714285714285715	ok	0.8571428571428571	0.8666666666666667	0.8096966771120249	0.9197071006828171	"{""batch_0"": 1.0, ""batch_1"": 0.8, ""batch_2"": 0.8}"
