dataset	seed	eval_split	reference	state	status	n	dim	batch_probe_balanced_accuracy	batch_probe_majority_accuracy	batch_probe_resub_balanced_accuracy	effective_rank	std_mean
synth_batch_confound_lite	0	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	99	32	0.5956790123456789	0.36363636363636365	0.7654320987654321	26.774143285131117	0.15442144870758057
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	rna_online_z_shared	ok	99	32	0.8395061728395062	0.36363636363636365	0.9814814814814815	24.007710482964605	0.2209181785583496
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	image_online_z_shared	ok	99	32	0.6635802469135802	0.36363636363636365	0.95679012345679	9.918092392991657	0.17123442888259888
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	joint_online_z_shared	ok	99	32	0.8333333333333334	0.36363636363636365	0.9444444444444443	21.63188614208888	0.14032305777072906
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	99	32	0.8456790123456789	0.36363636363636365	0.9444444444444443	21.88235189329586	0.1387176215648651
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	99	32	0.4259259259259259	0.36363636363636365	0.75	29.119022333241915	0.2245917171239853
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	99	32	0.6296296296296297	0.36363636363636365	0.8240740740740741	16.76253434008727	0.19666866958141327
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	99	32	0.5030864197530863	0.36363636363636365	0.7160493827160493	26.814999949877688	0.15194830298423767
synth_batch_confound_lite	1	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	99	32	0.5030864197530863	0.36363636363636365	0.7160493827160493	26.814999949877688	0.15194830298423767
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	rna_online_z_shared	ok	99	32	0.8703703703703703	0.36363636363636365	0.9814814814814815	24.062575415684528	0.19920215010643005
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	image_online_z_shared	ok	99	32	0.6512345679012346	0.36363636363636365	0.9351851851851851	8.824222507990175	0.16229404509067535
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	joint_online_z_shared	ok	99	32	0.7777777777777778	0.36363636363636365	0.9907407407407408	21.427063228567746	0.12782622873783112
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	99	32	0.7592592592592592	0.36363636363636365	0.9907407407407408	21.563770530819415	0.12764416635036469
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	99	32	0.46296296296296297	0.36363636363636365	0.6944444444444445	28.697287667882975	0.20826616883277893
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	99	32	0.75	0.36363636363636365	0.8456790123456791	16.436897840374783	0.18849249184131622
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	99	32	0.5740740740740741	0.36363636363636365	0.8055555555555555	26.68982817555712	0.1403782218694687
synth_batch_confound_lite	2	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	99	32	0.5740740740740741	0.36363636363636365	0.8055555555555555	26.68982817555712	0.1403782218694687
