seed	cache_status	cache_dir	selected_residual_scale	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	floor_magnitude_ratio	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	retrieval_broken_count	retrieval_repaired_count	retrieval_mean_margin_change	retrieval_selected_median_rank	train_small_cap_selected_gap_transition	train_small_cap_selected_gap_delta_cosine	train_small_cap_selected_gap_recall	train_small_cap_selected_train_broken_count_diagnostic_only	floor_init_error	identity_violation	leakage_flag
0	current_phase4_cache	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	0.05	0.005661906516194076	0.39796251669473043	0.48148148148148145	10.283476977293052	0.7744371112179363	0.005566151724307021	0.39720227262243785	0.48148148148148145	10.316817928409325	0.7779397220308291	-9.575479188705504e-05	-0.0007602440722925818	0.0	0.007523315925562053	0.0	0.0	0.00020021272972092774	2.0	0.0007604525279941016	0.005759931821920583	0.01388888888888884	0.0	1.2150936186394734e-07	0.0	0.0
1	loaded	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G001_fresh_synthetic_seed_cache/seed1_latent_cache	0.05	0.021756478285427833	0.5404280277268804	0.3333333333333333	9.937518308977577	0.7933582487536444	0.02175396727887304	0.5433684708199755	0.37037037037037035	9.96494976532515	0.798212476637268	-2.511006554795081e-06	0.0029404430930951575	0.037037037037037035	-7.414507676253498e-05	0.0	1.0	-6.987137209073184e-05	2.0	0.0004415181595667922	0.005055838763573073	0.02777777777777779	0.0	1.7799167917331715e-07	0.0	0.0
2	loaded	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G002_multi_seed_source_state_stability/seed2_latent_cache	0.05	0.009402064646795659	0.4018851082029823	0.2962962962962963	9.632914633777684	0.5918627929859949	0.009139983981550548	0.40003301639633404	0.2962962962962963	9.64884509944786	0.5941102227026462	-0.00026208066524511034	-0.0018520918066482484	0.0	0.004287600061286865	0.0	0.0	-0.00015282146819768278	5.0	0.0005370029530789508	0.006780482885493044	0.0	0.0	8.837127465216588e-08	0.0	0.0
3	loaded	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G002_multi_seed_source_state_stability/seed3_latent_cache	0.05	0.0004243423315500173	0.4200548145191377	0.25925925925925924	10.486444270464679	0.8778340372856198	0.0004288086212404692	0.4197255774601498	0.25925925925925924	10.546916310445019	0.8756921560643275	4.466289690451919e-06	-0.0003292370589878524	0.0	-0.002135209695620043	0.0	0.0	3.171783712174336e-05	3.0	0.0004942525462058103	0.007456374462903148	0.01388888888888884	0.0	9.459221469998447e-08	0.0	0.0
4	loaded	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G002_multi_seed_fresh_cache_replication/seed4_latent_cache	0.05	0.019162402606056148	0.4972452146646043	0.2962962962962963	10.888689749023888	0.7407240625696372	0.01866318695065444	0.49213313643351536	0.25925925925925924	10.903721698447217	0.7462547585948256	-0.0004992156554017094	-0.005112078231088946	-0.037037037037037035	0.006845377633614433	1.0	0.0	-0.0005211891152532041	2.0	0.0012757593128367647	0.010913107675538436	0.01388888888888884	1.0	9.158843345541401e-08	0.0	0.0
