seed	head_head_loss	head_head_endpoint_loss	head_head_delta_loss	head_head_floor_endpoint_hinge	head_head_floor_delta_hinge	head_head_residual_norm	head_head_residual_scale
0	0.08828435093164444	0.01735687255859375	0.08271586894989014	0.0005740849883295596	0.0017630804795771837	7.75607259129174e-06	0.8725958466529846
1	0.1119302436709404	0.01329571008682251	0.1018943190574646	0.0010104011744260788	0.007518823258578777	5.1130832616763655e-06	0.8724756240844727
2	0.09065556526184082	0.009158968925476074	0.08641350269317627	0.0013674960937350988	0.004792326595634222	7.517486665165052e-06	0.887529194355011
3	0.09624587744474411	0.011191964149475098	0.1012430191040039	0.0010947741102427244	0.0009078317089006305	6.573453447344946e-06	0.8999913930892944
4	0.06884773820638657	0.014001190662384033	0.06469327211380005	0.00044694478856399655	0.0010602836264297366	1.664082628849428e-05	0.8714056015014648
