left_out_perturbation_id	alpha_source_only	support_threshold	active_fraction	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full
1	0.025	0.4933503502876452	1.0	0.00011434818274795241	0.0	-0.00016615102806105675
1	0.025	0.706549260900512	0.7777777777777778	0.00011779368303860976	0.0	-3.969687573884828e-05
1	0.025	0.7653276194698803	0.7777777777777778	0.00011779368303860976	0.0	-3.969687573884828e-05
1	0.025	0.7931358005091581	0.6666666666666666	0.0001520464280094294	0.0	0.00014420055236413765
1	0.025	0.8095962997559084	0.6666666666666666	0.0001520464280094294	0.0	0.00014420055236413765
1	0.025	0.8246484669806763	0.3333333333333333	0.00018642966052017165	0.0	0.0006685870195933807
1	0.025	0.851848739058562	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703
1	0.025	0.8610325423104322	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703
1	0.025	0.8862745398781099	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703
1	0.025	0.9009006851442267	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703
1	0.025	0.9109358336891847	0.1111111111111111	-8.631930056466133e-05	0.0	-0.00029958285448966615
1	0.025	0.9331897071205175	0.1111111111111111	-8.631930056466133e-05	0.0	-0.00029958285448966615
1	0.025	0.9566618557676194	0.0	0.0	0.0	0.0
1	0.025	0.9566628557676194	0.0	0.0	0.0	0.0
1	0.05	0.4933503502876452	1.0	0.00022311609741174424	0.0	-0.0003537287524266741
1	0.05	0.706549260900512	0.7777777777777778	0.0002303512559955513	0.0	-9.719882989772666e-05
1	0.05	0.7653276194698803	0.7777777777777778	0.0002303512559955513	0.0	-9.719882989772666e-05
1	0.05	0.7931358005091581	0.6666666666666666	0.0002990819964154359	0.0	0.0002701285857591995
1	0.05	0.8095962997559084	0.6666666666666666	0.0002990819964154359	0.0	0.0002701285857591995
1	0.05	0.8246484669806763	0.3333333333333333	0.00036891077780000503	0.0	0.0013204020032686614
1	0.05	0.851848739058562	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965
1	0.05	0.8610325423104322	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965
1	0.05	0.8862745398781099	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965
1	0.05	0.9009006851442267	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965
1	0.05	0.9109358336891847	0.1111111111111111	-0.00017352591653505348	0.0	-0.0005968291198975018
