seed	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	rna_to_image_recall_at_1	image_to_rna_recall_at_1	target_effective_rank	image_target_effective_rank	floor_init_error	identity_violation	leakage_flag	inner_val_selected_scale	inner_val_floor_transition	inner_val_floor_delta_cosine	inner_val_floor_recall_at_1	inner_val_selected_transition	inner_val_selected_delta_cosine	inner_val_selected_recall_at_1	inner_val_selected_gap_transition	inner_val_selected_gap_delta_cosine	inner_val_selected_gap_recall	inner_val_broken_count	inner_val_mean_margin_change	retrieval_row_count	retrieval_broken_count	retrieval_repaired_count	retrieval_preserved_correct_count	retrieval_still_wrong_count	retrieval_broken_near_tie_fraction	retrieval_broken_mean_floor_margin	retrieval_broken_mean_selected_margin	retrieval_broken_mean_margin_change	retrieval_broken_mean_transition_gain_change	retrieval_broken_mean_delta_cosine_change	retrieval_mean_floor_margin	retrieval_mean_selected_margin	retrieval_mean_margin_change	retrieval_mean_rank_change	retrieval_mean_residual_norm	retrieval_selected_median_rank	retrieval_floor_median_rank	selected_residual_scale
0	0.14830912745464603	0.9557921337191744	0.8518518518518519	9.616351945866294	1.0194049029451444	0.14366915588425286	0.9348091301779191	0.8888888888888888	7.653265271940026	0.14825547628213553	0.9553143432543786	0.7777777777777778	10.006084527613565	0.00463997157039317	0.020983003541255263	-0.03703703703703698	0.023921592172789177	0.8148148148148148	0.7777777777777778	4.9867390041693875	5.965925413995415	6.146275541851765e-07	0.0	0.0	0.75	0.14653098784106897	0.9278397509937192	0.5	0.15481879788094968	0.9644117323856661	0.5454545454545454	0.008287810039880716	0.03657198139194695	0.045454545454545414	0.0	0.0018605547433893392	27.0	1.0	0.0	23.0	3.0	1.0	0.004438713567499586	-0.001060799519431832	-0.005499513086931418	0.01039583409212419	0.007991880740609525	0.04787862585862564	0.059303582087819176	0.011424956229193532	0.037037037037037035	0.6756004185755901	1.0	1.0	0.75
1	0.18840415070912092	0.907612517266586	0.6666666666666666	10.371741735540782	1.0482673532287006	0.1707350373131547	0.8418910341147743	0.5925925925925926	7.628453394528662	0.18840415070912092	0.907612517266586	0.6666666666666666	10.371741735540782	0.01766911339596622	0.0657214831518117	0.07407407407407407	0.05043628196474037	0.6296296296296297	0.8888888888888888	5.943674980225257	8.031676607695829	9.431691827543887e-07	0.0	0.0	1.0	0.20186171108345005	0.8934681092460667	0.5	0.22037426698043586	0.94284515949237	0.5909090909090909	0.018512555896985805	0.049377050246303344	0.09090909090909094	0.0	0.032978534655651315	27.0	4.0	6.0	12.0	5.0	1.0	0.0010041597064095742	-0.001356163886047368	-0.002360323592456942	0.0014027506815658675	0.02367164385108772	-0.0017944427586545578	0.055612014919329066	0.05740645767798362	-0.3333333333333333	1.4390963029203543	1.0	1.0	1.0
2	0.27517717712349127	0.9413673822776514	1.0	7.227778049797348	1.00800662103219	0.2724394655216964	0.932261923188985	1.0	6.230242065351273	0.2730124638633298	0.9412069558881229	1.0	7.876988798687013	0.0027377116017948677	0.009105459088666334	0.0	0.011506095351936751	0.7037037037037037	0.7037037037037037	5.545190988462882	7.238290478159652	1.1600628440078253e-06	0.0	0.0	0.5	0.3524021031755711	0.9572456073374324	0.7272727272727273	0.355380154553266	0.9581683660025139	0.7727272727272727	0.0029780513776949125	0.0009227586650815134	0.045454545454545414	0.0	0.005498598157038959	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025340978206050177	0.03387202994963477	0.008531051743584595	0.0	0.5142175797186743	1.0	1.0	0.5
3	0.5212980055525284	0.9320907531731707	1.0	7.051391799370344	1.0111265488257464	0.5212980055525284	0.9320907531731707	1.0	7.051391799370344	0.5175015564957924	0.9394681729788801	0.9259259259259259	10.275507059502461	0.0	0.0	0.0	0.06773297839884662	0.8518518518518519	1.0	7.845789275370145	7.65144492648573	6.175035700550779e-07	0.0	0.0	0.0	0.49979749768459175	0.9306660975894416	0.7727272727272727	0.49979749768459175	0.9306660975894416	0.7727272727272727	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15187170315005852	0.15187170315005852	0.0	0.0	0.0	1.0	1.0	0.0
4	0.5634075718262159	0.934049929516194	0.8148148148148148	7.035585574325563	1.0583435714194889	0.5571293539076213	0.9200586293997617	0.8148148148148148	6.089894692766619	0.5677151900707219	0.948596127919991	0.9259259259259259	8.643228143986384	0.00627821791859462	0.013991300116432348	0.0	0.09933661533795524	0.7777777777777778	0.7777777777777778	7.17675460536759	6.623638804543242	4.288532871044026e-07	0.0	0.0	0.25	0.6604840138916077	0.943364234409648	0.7272727272727273	0.6659877091162799	0.9510678096958959	0.7272727272727273	0.0055036952246722	0.007703575286247877	0.0	0.0	0.00333356402076803	27.0	0.0	0.0	22.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06913614809181384	0.0712832913386543	0.0021471432468404654	0.0	0.29362479497665367	1.0	1.0	0.25
