seed	scale	safe_train	transition_improvement_train	delta_cosine_train	recall_at_1_train	gap_transition_train	gap_delta_cosine_train	gap_recall_train	broken_count_train	near_tie_erosions	margin_q10_change	mean_margin_change_train	near_tie_count	safe_eval	transition_improvement_eval	delta_cosine_eval	recall_at_1_eval	gap_transition_eval	gap_delta_cosine_eval	gap_recall_eval	broken_count_eval	repaired_count	mean_margin_change_eval	train_continuous_safe	train_no_broken	train_no_near_tie_erosion	train_q10_nonnegative	heldout_safe	heldout_nonzero_safe	oracle_max_safe_scale
0	0.0	True	0.1454194288818524	0.9490979256830906	0.4583333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	True	0.1436691558842528	0.9348091301779192	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	True	True	False	0.5
0	0.025	False	0.1457249348417769	0.950692166300441	0.4583333333333333	0.0003055059599245	0.0015942406173503	0.0	0.0	12.0	-2.91804491572734e-05	9.39674985970313e-06	33.0	True	0.1439348416382207	0.9359978687961616	0.8888888888888888	0.0002656857539678	0.0011887386182424	0.0	0.0	0.0	0.0004152245552049	True	True	False	True	True	True	0.5
0	0.05	False	0.146023032748589	0.9522508117505548	0.4583333333333333	0.0006036038667366	0.0031528860674641	0.0	0.0	18.0	-3.740560358926896e-05	1.87624878760059e-05	33.0	True	0.1441931251313011	0.9371549427760402	0.8888888888888888	0.0005239692470482	0.002345812598121	0.0	0.0	0.0	0.000830557361009	True	True	False	True	True	True	0.5
0	0.1	False	0.1465969859048548	0.9552601884947676	0.4583333333333333	0.0011775570230023	0.0061622628116769	0.0	0.0	21.0	-5.388571443163407e-05	3.637386954895911e-05	33.0	True	0.1446873758087238	0.9393732646876488	0.8888888888888888	0.001018219924471	0.0045641345097297	0.0	0.0	0.0	0.0016614956522102	True	True	False	True	True	True	0.5
0	0.15	False	0.1471412504928835	0.9581238928733344	0.4583333333333333	0.001721821611031	0.0090259671902438	0.0	0.0	23.0	-7.040754652654085e-05	5.189563534690097e-05	33.0	True	0.1451516887785098	0.9414624340096788	0.8888888888888888	0.0014825328942569	0.0066533038317595	0.0	0.0	0.0	0.0024766270751238	True	True	False	True	True	True	0.5
0	0.2	False	0.1476557873226823	0.9608399101283672	0.4583333333333333	0.0022363584408298	0.0117419844452767	0.0	0.0	25.0	-8.69735090773816e-05	6.730062926631968e-05	33.0	True	0.1455858448822189	0.9434207816587562	0.8888888888888888	0.0019166889979661	0.008611651480837	0.0	0.0	0.0	0.0032462057074591	True	True	False	True	True	True	0.5
0	0.25	False	0.1481405559509133	0.9634063681846196	0.4583333333333333	0.0027211270690609	0.014308442501529	0.0	0.0	25.0	-0.0001041353428343	8.258852512781695e-05	33.0	True	0.145989625120423	0.9452466149178896	0.8888888888888888	0.0023204692361702	0.0104374847399704	0.0	0.0	0.0	0.0040159312117933	True	True	False	False	True	True	0.5
0	0.5	False	0.1501163861748503	0.9739384983023328	0.4583333333333333	0.0046969572929978	0.0248405726192421	0.0	1.0	27.0	-0.0003044380397873	0.0001560515730959	33.0	True	0.1475452604935706	0.952324939067705	0.8888888888888888	0.0038761046093177	0.0175158088897858	0.0	0.0	0.0	0.0078920794209828	True	False	False	False	True	True	0.5
0	0.75	False	0.1513414354916069	0.9805123696858912	0.5	0.0059220066097544	0.0314144440028006	0.0416666666666666	4.0	28.0	-0.000482284976909	0.0002125727655413	33.0	False	0.148309127454646	0.9557921337191744	0.8518518518518519	0.0046399715703931	0.0209830035412552	-0.0370370370370369	1.0	0.0	0.0114249562291935	True	False	False	False	False	False	0.5
0	1.0	False	0.1518100875950478	0.9829744735516456	0.5	0.0063906587131953	0.0338765478685549	0.0416666666666666	7.0	29.0	-0.0012256982729678	0.0002146387381801	33.0	False	0.1482554762821355	0.9553143432543786	0.7777777777777778	0.0045863203978826	0.0205052130764594	-0.111111111111111	3.0	0.0	0.0143283538053057	True	False	False	False	False	False	0.5
