seed	blend_alpha	gate_status	cv_lcb_transition_gap_vs_raw	cv_lcb_delta_cosine_gap_vs_raw	cv_lcb_recall_gap_vs_raw	mean_transition_gap_vs_raw	mean_delta_cosine_gap_vs_raw	mean_recall_gap_vs_raw	train_raw_transition_improvement	train_raw_delta_cosine	train_raw_recall_at_1	train_raw_delta_rank	train_calibrated_transition_improvement	train_calibrated_delta_cosine	train_calibrated_recall_at_1	train_calibrated_delta_rank	train_calibrated_magnitude_ratio
37	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.7435289888233839	0.7988404823494208	0.9285714285714286	14.995074827285027	0.7435289888233839	0.7988404823494208	0.9285714285714286	14.995074827285027	0.6225668633375212
38	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.7332507516294935	0.8033616846287593	0.9285714285714286	15.405921601342632	0.7332507516294935	0.8033616846287593	0.9285714285714286	15.405921601342632	0.6212088322473065
39	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.7487038299980773	0.7974552189866938	0.9285714285714286	14.73068971324948	0.7487038299980773	0.7974552189866938	0.9285714285714286	14.73068971324948	0.6478449424306946
