seed	benchmark	baseline	status	cache_dir	transition_improvement	absolute_target_cosine	delta_cosine	condition_recall_at_1	condition_recall_at_5	condition_median_rank	perturbation_recall_at_1	perturbation_recall_at_5	cell_line_recall_at_1	cell_line_recall_at_5	delta_prediction_effective_rank	delta_teacher_effective_rank	delta_magnitude_ratio	source_improvement_hinge_violation_fraction
0	synthetic_genetic_anchor_lite_multiseed_v1	source_as_target	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	0.0	0.9031308180300731	0.0	0.2962962962962963	0.7037037037037037	4.0	0.3333333333333333	0.7407407407407407	0.9259259259259259	1.0	0.0	11.781895734223935	0.0	1.0
0	synthetic_genetic_anchor_lite_multiseed_v1	mean_delta	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	-0.018758301311607058	0.8843725167184663	-0.07606912518751248	0.3333333333333333	0.5925925925925926	5.0	0.3333333333333333	0.8148148148148148	0.9259259259259259	1.0	0.0	11.781895734223935	0.39321249800892144	0.8148148148148148
0	synthetic_genetic_anchor_lite_multiseed_v1	action_mean_delta	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	-0.018758301311607058	0.8843725167184663	-0.07606912518751248	0.3333333333333333	0.5925925925925926	5.0	0.3333333333333333	0.8148148148148148	0.9259259259259259	1.0	0.0	11.781895734223935	0.39321249800892144	0.8148148148148148
0	synthetic_genetic_anchor_lite_multiseed_v1	source_only_ridge	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	0.007292707159617141	0.9104235251896903	0.4078914741957141	0.2222222222222222	0.7037037037037037	3.0	0.25925925925925924	0.9629629629629629	0.7777777777777778	1.0	9.941981399454747	11.781895734223935	0.7407144485430317	0.6296296296296297
0	synthetic_genetic_anchor_lite_multiseed_v1	action_only_ridge	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	-0.021508798470111817	0.8816220195599613	-0.02962439157384325	0.4074074074074074	0.7407407407407407	3.0	0.4074074074074074	0.8888888888888888	0.9259259259259259	1.0	1.8320649500155655	11.781895734223935	0.506254438168712	0.7777777777777778
0	synthetic_genetic_anchor_lite_multiseed_v1	action_ridge_floor	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	0.005661906516194076	0.9087927245462672	0.39796251669473043	0.48148148148148145	0.8148148148148148	2.0	0.48148148148148145	1.0	0.9259259259259259	1.0	10.283476977293052	11.781895734223935	0.7744371112179363	0.7407407407407407
0	synthetic_genetic_anchor_lite_multiseed_v1	seed_randomized_full_ridge_null	completed	outputs/autoresearch_bioflow_jepa_phase4/delta_operator_audit	-0.033185550035107335	0.8699452679949659	-0.04261915167557059	0.2962962962962963	0.5925925925925926	4.0	0.37037037037037035	0.7777777777777778	0.7777777777777778	1.0	10.702486587287932	11.781895734223935	0.5991161061490792	0.8518518518518519
1	synthetic_genetic_anchor_lite_multiseed_v1	source_as_target	completed	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G001_fresh_synthetic_seed_cache/seed1_latent_cache	0.0	0.9275541949482579	0.0	0.3333333333333333	0.7407407407407407	4.0	0.4444444444444444	0.8888888888888888	0.7777777777777778	0.9629629629629629	0.0	11.799061920978776	0.0	1.0
1	synthetic_genetic_anchor_lite_multiseed_v1	mean_delta	completed	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G001_fresh_synthetic_seed_cache/seed1_latent_cache	-0.0010783503915046204	0.9264758445567535	0.06095771960292412	0.25925925925925924	0.7037037037037037	4.0	0.3333333333333333	0.8148148148148148	0.8148148148148148	0.9629629629629629	0.0	11.799061920978776	0.3808290732994059	0.8518518518518519
1	synthetic_genetic_anchor_lite_multiseed_v1	action_mean_delta	completed	outputs/autoresearch_total_autonomy_bioguard_wm_jepa/experiments/G001_fresh_synthetic_seed_cache/seed1_latent_cache	-0.0010783503915046204	0.9264758445567535	0.06095771960292412	0.25925925925925924	0.7037037037037037	4.0	0.3333333333333333	0.8148148148148148	0.8148148148148148	0.9629629629629629	0.0	11.799061920978776	0.3808290732994059	0.8518518518518519
