space	label_col	mean_recall_at_1	min_recall_at_1	mean_recall_at_5	mean_map	median_median_rank
delta	cell_line_label	0.615079365079365	0.37037037037037035	0.9834656084656085	0.486120536795633	1.0
delta	perturbation_label	0.4279100529100529	0.2222222222222222	0.8134920634920635	0.45648268925121505	2.0
delta	condition_key	0.3187830687830688	0.1111111111111111	0.7083333333333333	0.31861353307062457	3.0
endpoint	cell_line_label	0.8313492063492064	0.37037037037037035	0.9907407407407407	0.6621251173973229	1.0
endpoint	perturbation_label	0.32010582010582006	0.1111111111111111	0.8214285714285714	0.41521306474553615	2.0
endpoint	condition_key	0.26587301587301587	0.1111111111111111	0.7162698412698412	0.35647907535398715	3.0
