experiment_id	dataset	eval_split	seed	mode	status	predictor_type	context_length_train	context_length_eval	rollout_steps	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	floor_gap_transition	floor_gap_recall	floor_gap_delta_cosine	cv_lcb_transition_gap	cv_lcb_recall_gap	cv_lcb_delta_cosine_gap	mean_transition_gap	mean_recall_gap	residual_gate_mean	residual_gate_nonzero_fraction	residual_scale	action_negative_gap	rollout_loss_validated	context_contract_validated	leakage_status	identity_status	decision_label	artifact_dir
BGWM000	synth_genetic_anchor_lite	test_heldout_perturbation	0	audit	BGWM000_KEEP_AUDIT_REOPEN_PREDICTOR_ASSAY	action_adaln_rope	3	3	1	0.0057	0.398	0.4815	10.2835	0.7744	0.0057	0.398	0.4815	10.2835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	PASS	PASS	BGWM000_KEEP_AUDIT_REOPEN_PREDICTOR_ASSAY	outputs/autoresearch_bioguard_wm_jepa_phase8_v2/experiments/BGWM000_audit_seed0
BGWM001	synth_genetic_anchor_lite	test_heldout_perturbation	0	zero_residual_action_adaln_smoke	BGWM001_KEEP_ZERO_RESIDUAL_CONTRACT	action_adaln_rope	3	3	1	0.0057	0.398	0.4815	10.2835	0.7744	0.0057	0.398	0.4815	10.2835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	PASS	PASS	BGWM001_KEEP_ZERO_RESIDUAL_CONTRACT	outputs/autoresearch_bioguard_wm_jepa_phase8_v2/experiments/BGWM001_zero_residual_seed0
BGWM002	synth_genetic_anchor_lite	test_heldout_perturbation	0	frozen_action_adaln_rope_crossfit	BGWM002_CLOSE_NO_SAFE_RESIDUAL_AFTER_ACTION_ADALN	action_adaln_rope	3	3	1	0.0057	0.3980	0.4815	10.2835	0.7744	0.0057	0.3980	0.4815	10.2835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0.0000	0.0000	0.000000	1.0	1.0	PASS	PASS	BGWM002_CLOSE_NO_SAFE_RESIDUAL_AFTER_ACTION_ADALN	outputs/autoresearch_bioguard_wm_jepa_phase8_v2/experiments/BGWM002_frozen_action_adaln_seed0
