left_out_perturbation_id	alpha_source_only	support_threshold	active_fraction	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
1	0.0	0.4933503502876452	1.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.7300139265405944	0.7777777777777778	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.7931358005091581	0.6666666666666666	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.8209663844140184	0.5555555555555556	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.851848739058562	0.2222222222222222	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.8734349154536685	0.2222222222222222	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.9009006851442267	0.2222222222222222	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.916384103980441	0.1111111111111111	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.9566618557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.0	0.9566628557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.025	0.4933503502876452	1.0	0.00011434818274795241	0.0	-0.00016615102806105675	0.023143313320276637	0.8888888888888888	0.4857385019035437
1	0.025	0.7300139265405944	0.7777777777777778	0.00011779368303860976	0.0	-3.969687573884828e-05	0.023146758820567295	0.8888888888888888	0.4858649560558659
1	0.025	0.7931358005091581	0.6666666666666666	0.0001520464280094294	0.0	0.00014420055236413765	0.023181011565538114	0.8888888888888888	0.48604885348396887
1	0.025	0.8209663844140184	0.5555555555555556	0.00015182199107391034	0.0	8.142661858390188e-05	0.023180787128602595	0.8888888888888888	0.48598607955018863
1	0.025	0.851848739058562	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703	0.023183653996347156	0.8888888888888888	0.48606030971185343
1	0.025	0.8734349154536685	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703	0.023183653996347156	0.8888888888888888	0.48606030971185343
1	0.025	0.9009006851442267	0.2222222222222222	0.00015468885881847125	0.0	0.000155656780248703	0.023183653996347156	0.8888888888888888	0.48606030971185343
1	0.025	0.916384103980441	0.1111111111111111	-8.631930056466133e-05	0.0	-0.00029958285448966615	0.022942645836964023	0.8888888888888888	0.48560507007711506
1	0.025	0.9566618557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.025	0.9566628557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.05	0.4933503502876452	1.0	0.00022311609741174424	0.0	-0.0003537287524266741	0.02325208123494043	0.8888888888888888	0.48555092417917806
1	0.05	0.7300139265405944	0.7777777777777778	0.0002303512559955513	0.0	-9.719882989772666e-05	0.023259316393524236	0.8888888888888888	0.485807454101707
1	0.05	0.7931358005091581	0.6666666666666666	0.0002990819964154359	0.0	0.0002701285857591995	0.02332804713394412	0.8888888888888888	0.48617478151736393
1	0.05	0.8209663844140184	0.5555555555555556	0.0002991604408409468	0.0	0.00014808003957517135	0.02332812557836963	0.8888888888888888	0.4860527329711799
1	0.05	0.851848739058562	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965	0.02333465082652835	0.8888888888888888	0.4862037954688411
1	0.05	0.8734349154536685	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965	0.02333465082652835	0.8888888888888888	0.4862037954688411
1	0.05	0.9009006851442267	0.2222222222222222	0.00030568568899966633	0.0	0.0002991425372363965	0.02333465082652835	0.8888888888888888	0.4862037954688411
1	0.05	0.916384103980441	0.1111111111111111	-0.00017352591653505348	0.0	-0.0005968291198975018	0.02285543922099363	0.8888888888888888	0.48530782381170723
1	0.05	0.9566618557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.05	0.9566628557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.075	0.4933503502876452	1.0	0.00032629375204039704	0.0	-0.0005622719988275793	0.023355258889569082	0.8888888888888888	0.48534238093277715
1	0.075	0.7300139265405944	0.7777777777777778	0.00033766274246431124	0.0	-0.0001720806240453343	0.023366627879992996	0.8888888888888888	0.4857325723075594
1	0.075	0.7931358005091581	0.6666666666666666	0.00044109658552301395	0.0	0.00037819970558761185	0.0234700617230517	0.8888888888888888	0.48628285263719234
1	0.075	0.8209663844140184	0.5555555555555556	0.0004420047692427209	0.0	0.00020036722281102648	0.023470969906771406	0.8888888888888888	0.48610502015441576
1	0.075	0.851848739058562	0.2222222222222222	0.00045297959737161317	0.0	0.00043073380016483975	0.023481944734900298	0.8888888888888888	0.48633538673176957
1	0.075	0.8734349154536685	0.2222222222222222	0.00045297959737161317	0.0	0.00043073380016483975	0.023481944734900298	0.8888888888888888	0.48633538673176957
1	0.075	0.9009006851442267	0.2222222222222222	0.00045297959737161317	0.0	0.00043073380016483975	0.023481944734900298	0.8888888888888888	0.48633538673176957
1	0.075	0.916384103980441	0.1111111111111111	-0.00026161953293007273	0.0	-0.0008917264884129028	0.022767345604598612	0.8888888888888888	0.4850129264431918
1	0.075	0.9566618557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.075	0.9566628557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.1	0.4933503502876452	1.0	0.00042387197607013025	0.0	-0.0007913170461401609	0.023452837113598815	0.8888888888888888	0.48511333588546457
1	0.1	0.7300139265405944	0.7777777777777778	0.0004397189811750461	0.0	-0.00026391598380576253	0.02346868411870373	0.8888888888888888	0.48564073694779897
1	0.1	0.7931358005091581	0.6666666666666666	0.0005780808863771331	0.0	0.0004688308141075903	0.023607046023905818	0.8888888888888888	0.4863734837457123
1	0.1	0.8209663844140184	0.5555555555555556	0.0005803451840682566	0.0	0.0002386945344762803	0.02360931032159694	0.8888888888888888	0.486143347466081
1	0.1	0.851848739058562	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327	0.02362552559499742	0.8888888888888888	0.48645536256256566
1	0.1	0.8734349154536685	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327	0.02362552559499742	0.8888888888888888	0.48645536256256566
1	0.1	0.9009006851442267	0.2222222222222222	0.000596560457468736	0.0	0.0005507096309609327	0.02362552559499742	0.8888888888888888	0.48645536256256566
1	0.1	0.916384103980441	0.1111111111111111	-0.0003505997684615722	0.0	-0.0011842646095612253	0.022678365369067113	0.8888888888888888	0.4847203883220435
1	0.1	0.9566618557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.1	0.9566628557676194	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
