seed	representation	same_condition_recall_at_1	effective_rank	perturbation_probe_cv	batch_probe_cv	same_cell_recall_at_1	dropout_robustness_cosine	final_jepa_loss	final_reconstruction_loss	final_weighted_jepa_to_rec_ratio
0	celljepa_rna_z	0.25925925925925924	7.800570867467697	0.16666666666666666	0.375	0.0	0.9988789670353645	0.02669590711593628	899.8406372070312	29.66737174987793
0	observed_rna_train_pca	0.8148148148148148	6.294907751431719	0.19444444444444445	0.2777777777777778	0.0	0.0	0.0	0.0	0.0
0	true_synthetic_z_bio	1.0	5.451177519579966	0.6111111111111112	0.09722222222222222	0.0	0.0	0.0	0.0	0.0
1	celljepa_rna_z	0.2222222222222222	6.5916780549160725	0.18055555555555555	0.3333333333333333	0.015432098765432098	0.9989570906083413	0.018916547298431396	785.4236450195312	24.084514617919922
1	observed_rna_train_pca	0.6296296296296297	6.714994897701779	0.1388888888888889	0.2777777777777778	0.0	0.0	0.0	0.0	0.0
1	true_synthetic_z_bio	1.0	5.749908354769602	0.5555555555555556	0.1388888888888889	0.0	0.0	0.0	0.0	0.0
2	celljepa_rna_z	0.25925925925925924	8.225334476886548	0.125	0.3055555555555556	0.0030864197530864196	0.9990470542433257	0.01800704002380371	834.541015625	21.577177047729492
2	observed_rna_train_pca	1.0	7.5136773381188595	0.3333333333333333	0.3194444444444444	0.0	0.0	0.0	0.0	0.0
2	true_synthetic_z_bio	1.0	5.781166991447675	0.625	0.1527777777777778	0.0	0.0	0.0	0.0	0.0
3	celljepa_rna_z	0.5185185185185185	10.116638452436634	0.20833333333333334	0.25	0.006172839506172839	0.9980625263779653	0.016010284423828125	769.6467895507812	20.8021183013916
3	observed_rna_train_pca	0.8518518518518519	9.622388462418062	0.3472222222222222	0.20833333333333334	0.0	0.0	0.0	0.0	0.0
3	true_synthetic_z_bio	1.0	5.771799887841328	0.5416666666666666	0.1388888888888889	0.0	0.0	0.0	0.0	0.0
4	celljepa_rna_z	0.25925925925925924	9.940675105948674	0.20833333333333334	0.18055555555555555	0.0030864197530864196	0.9986486405532463	0.024828076362609863	778.477294921875	31.89312744140625
4	observed_rna_train_pca	0.9629629629629629	9.813999199371684	0.5	0.1111111111111111	0.0	0.0	0.0	0.0	0.0
4	true_synthetic_z_bio	1.0	5.580551153112238	0.5277777777777778	0.08333333333333333	0.0	0.0	0.0	0.0	0.0
