seed	benchmark	representation	baseline	status	transition_improvement	delta_cosine	condition_recall_at_1	delta_prediction_effective_rank	delta_magnitude_ratio
0	synth_program_aligned_genetic_lite	celljepa_rna_z	source_as_target	completed	0.0	0.0	0.2222222222222222	0.0	0.0
0	synth_program_aligned_genetic_lite	celljepa_rna_z	source_only_ridge	completed	3.433064215090458e-05	0.4622119350274677	0.25925925925925924	2.8368091733843515	0.8738168039280259
0	synth_program_aligned_genetic_lite	celljepa_rna_z	source_plus_program_action	completed	4.6907805245702776e-05	0.5949886078097322	0.5925925925925926	3.838431245155424	0.9438292013892492
0	synth_program_aligned_genetic_lite	celljepa_rna_z	program_action_only	completed	1.4819019464075691e-05	0.3574527788254919	0.5555555555555556	1.776365995180267	0.5355990118678884
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.25925925925925924	0.0	0.0
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.02927740861265825	0.5429111579921749	0.3333333333333333	7.380595736752353	0.6828527894140332
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.13977709302603786	0.9049415926639596	0.7777777777777778	7.6969378071982995	0.9813865962362665
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.11275276873547783	0.7871326726223276	0.7777777777777778	1.702370624832834	0.8478151906197317
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.02511531376425742	0.34510920705742015	0.3333333333333333	6.631624336716863	0.36957543176686347
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.19032095150929995	0.971812941229745	1.0	3.3286445837867693	0.9547543232053299
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.1902385424677695	0.971446180035087	1.0	1.9824669044289693	0.9519569890679598
1	synth_program_aligned_genetic_lite	celljepa_rna_z	source_as_target	completed	0.0	0.0	0.2962962962962963	0.0	0.0
1	synth_program_aligned_genetic_lite	celljepa_rna_z	source_only_ridge	completed	2.8960577146548344e-05	0.501237418802948	0.3333333333333333	3.5400037763353778	0.6295173495749024
1	synth_program_aligned_genetic_lite	celljepa_rna_z	source_plus_program_action	completed	3.2880112823179344e-05	0.5881244748373923	0.3333333333333333	3.809138056856766	0.8136563708762878
1	synth_program_aligned_genetic_lite	celljepa_rna_z	program_action_only	completed	1.6537620040428063e-06	0.15991106889985357	0.37037037037037035	1.3453604709851557	0.5863351101864054
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.0393473756899735	0.5625581257069255	0.3333333333333333	7.335634899123783	0.6511396785229889
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.11022206870829988	0.8900379511214758	0.6296296296296297	7.709554722167933	0.9550482266977768
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.07657020593619916	0.7557214054079874	0.6666666666666666	1.6410067177807999	0.8040391319531458
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
