policy	benchmark	seed	representation	eval_cell_image_latent_cosine	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	eval_effective_rank_z	train_perturbation_probe_cv	train_batch_probe_cv	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	observed_rna_train_pca	-0.03348429686232873	0.2979410545684839	0.9067807330091505	0.8518518518518519	7.70478025659292	0.9827771394678969	10.419980242794294	0.3194444444444444	0.3333333333333333	0.31179185299459994	0.17471089870055298	0.8223874444782017	0.7399265951285809	0.9583333333333333	0.7777777777777778	8.0	0.013850798426116029	-0.08439328853094885	0.1064814814814814	0.013850798426116029	0.08439328853094885
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	image_train_pca	1.0	0.31118570540094387	0.9614990685468449	1.0	4.110866508820869	0.9982731860417968	7.414169980975018	0.5972222222222222	0.4027777777777778	0.2868657133230515	0.1962609451048745	0.9568767297210465	0.934769429739807	1.0	1.0	8.0	-0.02431999207789237	-0.004622338825798322	0.0	0.02431999207789237	0.004622338825798322
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	rna_relational_student_embedding	0.0014748146534936623	0.18671029586013568	0.9099678601118314	0.8518518518518519	5.936546127235133	0.9777420559265508	7.029715505247906	0.2638888888888889	0.2638888888888889	0.19225252153447786	0.11770408986139137	0.9358422186947215	0.9213624010710385	1.0	1.0	8.0	0.005542225674342177	0.02587435858289011	0.14814814814814814	0.005542225674342177	0.02587435858289011
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	rna_relational_predicted_image_latent	0.7912837639867977	0.1345572841517438	0.9136569937341902	0.7777777777777778	4.767114882383996	0.9770646940712683	5.417713645780047	0.2361111111111111	0.2361111111111111	0.1566065903705091	0.07704297514828673	0.9267728414686298	0.8954962132856602	1.0	1.0	8.0	0.022049306218765302	0.013115847734439634	0.2222222222222222	0.022049306218765302	0.013115847734439634
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	observed_rna_train_pca	-0.10049449183632087	0.48038628824064467	0.9620954604092028	0.7777777777777778	6.259806432823871	1.0157868605057996	6.86177081706093	0.2361111111111111	0.125	0.4287086036868126	0.2579602833368499	0.9143270000281749	0.8376958043351049	0.8888888888888888	0.6666666666666666	8.0	-0.05167768455383209	-0.04776846038102789	0.11111111111111105	0.05167768455383209	0.04776846038102789
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	image_train_pca	1.0	0.17860018047652512	0.970946175102479	1.0	3.7178016866342953	1.0106420466775174	6.385389434876231	0.5694444444444444	0.125	0.17042422480915337	0.10668921004923154	0.9612901268788205	0.9447795419819598	1.0	1.0	8.0	-0.008175955667371754	-0.009656048223658509	0.0	0.008175955667371754	0.009656048223658509
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	rna_relational_student_embedding	0.000516754878695009	0.29545912965670684	0.9030714022898026	0.9259259259259259	5.60377978733458	0.942214571844444	6.171268595862042	0.2222222222222222	0.1527777777777778	0.1947924642636643	0.022461978940731826	0.8942443564699923	0.8379954997675799	1.0	1.0	8.0	-0.10066666539304253	-0.008827045819810309	0.07407407407407407	0.10066666539304253	0.008827045819810309
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	rna_relational_predicted_image_latent	0.6051535830110629	0.22572239368617983	0.7171506384536495	0.7777777777777778	5.027017250051443	0.9882218967368165	5.8690889244105335	0.16666666666666666	0.1388888888888889	0.17158137141430302	0.05088320653254149	0.7678640271180086	0.6106355975416515	1.0	1.0	8.0	-0.05414102227187681	0.05071338866435915	0.2222222222222222	0.05414102227187681	0.05071338866435915
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	observed_rna_train_pca	-0.44054294643259373	0.24517145362870812	0.8746763093761786	0.8518518518518519	7.370497838372967	1.0685504399734471	6.861774199196664	0.2777777777777778	0.2638888888888889	0.24221425491077292	0.08870060328010126	0.8312840130232974	0.706037381858269	0.9861111111111112	0.8888888888888888	8.0	-0.0029571987179352055	-0.04339229635288122	0.1342592592592593	0.0029571987179352055	0.04339229635288122
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	image_train_pca	1.0	0.27210456234112407	0.9659427443857687	1.0	3.8671868649629486	0.9369024496208186	7.1032114607633465	0.75	0.2222222222222222	0.2508473518483406	0.18887352976017435	0.9564048348717202	0.9518575022532185	1.0	1.0	8.0	-0.02125721049278345	-0.009537909514048426	0.0	0.02125721049278345	0.009537909514048426
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	rna_relational_student_embedding	-0.16478314958082602	0.010503887564133977	0.7217770063158159	0.7407407407407407	7.081117428918702	1.0801892574861047	5.469358786869312	0.18055555555555555	0.2361111111111111	0.06550200299785155	0.005884426691606394	0.7858498103043058	0.6004373193136097	1.0	1.0	8.0	0.054998115433717576	0.06407280398848991	0.2592592592592593	0.054998115433717576	0.06407280398848991
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	rna_relational_predicted_image_latent	0.711966891699057	0.020687691298910595	0.6526519130688733	0.8518518518518519	5.400950346798076	1.230751779001521	4.690650494765344	0.09722222222222222	0.2777777777777778	0.08064401421802522	0.008665320151685332	0.7507132165700084	0.49864927870488057	1.0	1.0	8.0	0.059956322919114624	0.09806130350113518	0.14814814814814814	0.059956322919114624	0.09806130350113518
