metric,value
rna_counterfactual_by_group=BRD-A03061970|10.0|24.0|A549_direction_accuracy,0.7638036809815951
rna_counterfactual_by_group=BRD-A03061970|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A03061970|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A03061970|10.0|24.0|A549_top100_de_overlap,0.42
rna_counterfactual_by_group=BRD-A03216249|10.0|24.0|A549_pseudobulk_correlation,0.8050466497598658
rna_counterfactual_by_group=BRD-A03216249|10.0|24.0|A549_logfc_correlation,0.7947554786186761
rna_counterfactual_by_group=BRD-A03216249|10.0|24.0|A549_direction_accuracy,0.8404907975460123
rna_counterfactual_by_group=BRD-A03216249|10.0|24.0|A549_top20_de_overlap,0.15
rna_counterfactual_by_group=BRD-A03216249|10.0|24.0|A549_top50_de_overlap,0.34
rna_counterfactual_by_group=BRD-A03216249|10.0|24.0|A549_top100_de_overlap,0.49
rna_counterfactual_by_group=BRD-A03249105|10.0|24.0|A549_pseudobulk_correlation,0.7902499152121123
rna_counterfactual_by_group=BRD-A03249105|10.0|24.0|A549_logfc_correlation,0.7654978793432367
rna_counterfactual_by_group=BRD-A03249105|10.0|24.0|A549_direction_accuracy,0.8312883435582822
rna_counterfactual_by_group=BRD-A03249105|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A03249105|10.0|24.0|A549_top50_de_overlap,0.34
rna_counterfactual_by_group=BRD-A03249105|10.0|24.0|A549_top100_de_overlap,0.34
rna_counterfactual_by_group=BRD-A03506276|10.0|24.0|A549_pseudobulk_correlation,0.7861116046402523
rna_counterfactual_by_group=BRD-A03506276|10.0|24.0|A549_logfc_correlation,0.7833771399121541
rna_counterfactual_by_group=BRD-A03506276|10.0|24.0|A549_direction_accuracy,0.843558282208589
rna_counterfactual_by_group=BRD-A03506276|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A03506276|10.0|24.0|A549_top50_de_overlap,0.4
rna_counterfactual_by_group=BRD-A03506276|10.0|24.0|A549_top100_de_overlap,0.41
rna_counterfactual_by_group=BRD-A03623303|10.0|24.0|A549_pseudobulk_correlation,0.6562386196907282
rna_counterfactual_by_group=BRD-A03623303|10.0|24.0|A549_logfc_correlation,0.6539134756691668
rna_counterfactual_by_group=BRD-A03623303|10.0|24.0|A549_direction_accuracy,0.7965235173824131
rna_counterfactual_by_group=BRD-A03623303|10.0|24.0|A549_top20_de_overlap,0.1
rna_counterfactual_by_group=BRD-A03623303|10.0|24.0|A549_top50_de_overlap,0.22
rna_counterfactual_by_group=BRD-A03623303|10.0|24.0|A549_top100_de_overlap,0.32
rna_counterfactual_by_group=BRD-A04352665|10.0|24.0|A549_pseudobulk_correlation,0.7440030353366979
rna_counterfactual_by_group=BRD-A04352665|10.0|24.0|A549_logfc_correlation,0.7247610386822168
rna_counterfactual_by_group=BRD-A04352665|10.0|24.0|A549_direction_accuracy,0.8057259713701431
rna_counterfactual_by_group=BRD-A04352665|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A04352665|10.0|24.0|A549_top50_de_overlap,0.18
rna_counterfactual_by_group=BRD-A04352665|10.0|24.0|A549_top100_de_overlap,0.3
rna_counterfactual_by_group=BRD-A04553218|10.0|24.0|A549_pseudobulk_correlation,0.6701578085800735
rna_counterfactual_by_group=BRD-A04553218|10.0|24.0|A549_logfc_correlation,0.6733925759269382
rna_counterfactual_by_group=BRD-A04553218|10.0|24.0|A549_direction_accuracy,0.7689161554192229
rna_counterfactual_by_group=BRD-A04553218|10.0|24.0|A549_top20_de_overlap,0.15
rna_counterfactual_by_group=BRD-A04553218|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A04553218|10.0|24.0|A549_top100_de_overlap,0.45
rna_counterfactual_by_group=BRD-A05186015|10.0|24.0|A549_pseudobulk_correlation,0.7330591402144209
rna_counterfactual_by_group=BRD-A05186015|10.0|24.0|A549_logfc_correlation,0.7410721142233089
