seed	fold_index	heldout_train_perturbation_id	cone_mix	train_selected_scale	train_selected_active_fraction	train_selected_gap_transition	train_selected_gap_delta_cosine	train_selected_gap_recall	inner_selected_gap_transition	inner_selected_gap_delta_cosine	inner_selected_gap_recall	inner_selected_broken_count	inner_selected_active_fraction	inner_selected_effective_scale	inner_head_loss
34	0	1	0.0	0.05	0.20634920634920634	0.0005088096306596901	0.0008578953039074522	0.015873015873015817	0.0014790439380224507	0.0022711352349727987	0.0	0.0	0.7777777777777778	0.03888888888888889	0.029151136055588722
34	0	1	0.25	0.05	0.25396825396825395	0.00047874978282602676	0.0007826258700827093	0.015873015873015817	0.0010388387696715906	0.0016846942803494525	0.0	0.0	0.8888888888888888	0.044444444444444446	0.029151136055588722
34	0	1	0.5	0.05	0.3492063492063492	0.0004638577454197934	0.0007627747881741032	0.015873015873015817	0.0006943666693374206	0.001162266290702707	0.0	0.0	0.8888888888888888	0.044444444444444446	0.029151136055588722
34	0	1	0.75	0.05	0.4444444444444444	0.0002858329368776724	0.00045150874193189416	0.015873015873015817	0.00036019950926469146	0.0005709024834812393	0.0	0.0	0.8888888888888888	0.044444444444444446	0.029151136055588722
34	0	1	1.0	0.05	0.5079365079365079	6.528148842499526e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.03333333333333333	0.029151136055588722
34	1	2	0.0	0.05	0.25396825396825395	0.001022901018127298	0.0011741006781168517	0.0	0.004109088753830092	0.004254894410008148	0.0	0.0	0.8888888888888888	0.044444444444444446	0.01677216775715351
34	1	2	0.25	0.05	0.30158730158730157	0.0008068806969918629	0.0009651760001674337	0.0	0.0031524409621961347	0.0032986664532312915	0.0	0.0	1.0	0.05	0.01677216775715351
34	1	2	0.5	0.05	0.3968253968253968	0.0006252617872392063	0.0008431706741565126	0.0	0.0020099489003410076	0.002087391989690879	0.0	0.0	0.7777777777777778	0.03888888888888889	0.01677216775715351
34	1	2	0.75	0.05	0.5555555555555556	0.00040956471173148046	0.0005179599247761013	0.0	0.0010547356826663412	0.0011129295114484794	0.0	0.0	1.0	0.05	0.01677216775715351
34	1	2	1.0	0.05	0.6507936507936508	1.0534870997558343e-05	0.0	0.0	-8.411744900627127e-07	0.0	0.0	0.0	0.5555555555555556	0.02777777777777778	0.01677216775715351
34	2	3	0.0	0.05	0.25396825396825395	0.00058937477080101	0.0008411968725242636	0.0	0.0022436258741530546	0.0033799363598622234	0.0	0.0	0.8888888888888888	0.044444444444444446	0.021024290472269058
34	2	3	0.25	0.05	0.25396825396825395	0.00044445224831390906	0.0006342998228417995	0.0	0.0017024781353028873	0.002551146851294761	0.0	0.0	0.8888888888888888	0.044444444444444446	0.021024290472269058
34	2	3	0.5	0.05	0.3492063492063492	0.0003712193698469646	0.0005445612108357922	0.0	0.0011539734267965729	0.0017115078329202893	0.0	0.0	0.8888888888888888	0.044444444444444446	0.021024290472269058
34	2	3	0.75	0.025	0.8412698412698413	0.00027661724234795404	0.00035165518059987466	0.0	0.0003081024077982164	0.00045147947883728	0.0	0.0	1.0	0.025	0.021024290472269058
