seed	cone_mix	inner_nonzero_fraction	inner_mean_gap_transition	inner_min_gap_transition	inner_mean_gap_delta_cosine	inner_min_gap_delta_cosine	inner_mean_gap_recall	inner_min_gap_recall	inner_broken_count	inner_safe_nonzero
34	0.0	1.0	0.0023581589328288133	0.0008577622983338973	0.003009284059020609	0.0019160756755207675	0.0	0.0	0.0	True
34	0.25	1.0	0.0017892493504649137	0.0004864292425423855	0.0022901744634221816	0.0012584159642793358	0.0	0.0	0.0	True
34	0.5	1.0	0.0011670723149104778	0.00044704630713465754	0.0014693780486703667	0.0008705421199648455	0.0	0.0	0.0	True
34	0.75	1.0	0.0005796563518393055	0.00022755794147522046	0.0007486983243906453	0.00045147947883728	0.0	0.0	0.0	True
34	1.0	1.0	4.318130022870625e-06	-2.6089539059359623e-05	0.0	0.0	0.0	0.0	0.0	False
35	0.0	1.0	0.005518795570269845	0.002402927754320827	0.005196953357411896	0.001021271041269145	0.0	0.0	0.0	True
35	0.25	1.0	0.004256389045261648	0.0016904844942150499	0.0038684995369857172	0.0007711201342546214	0.0	0.0	0.0	True
35	0.5	1.0	0.003015271403017293	0.0009562410351071637	0.002656629852672912	0.0005175171545773738	0.0	0.0	0.0	True
35	0.75	1.0	0.001719260524528296	0.00020022589871093732	0.0013985438847654574	0.0002604733360173084	-0.013888888888888895	-0.11111111111111116	1.0	False
35	1.0	1.0	0.00027670304441169274	-0.0005775193101940079	-2.7755575615628914e-17	-2.220446049250313e-16	-0.013888888888888895	-0.11111111111111116	1.0	False
36	0.0	1.0	0.0037640164710606855	0.0006452559163925842	0.004181548644691224	0.0016383891908577919	0.0	0.0	0.0	True
36	0.25	1.0	0.0029035574220171514	0.0005671785088510739	0.0032785728117975393	0.0012377819092042053	0.0	0.0	0.0	True
36	0.5	1.0	0.0019973923852890374	0.00039493541242663355	0.0022618716518790355	0.0012908164256492105	0.0	0.0	0.0	True
36	0.75	1.0	0.0010536574726896022	0.00019651867292486136	0.0011404166950942374	0.000649955039894734	0.0	0.0	0.0	True
36	1.0	1.0	8.48419457668767e-05	-0.0003957564113067358	0.0	0.0	0.0	0.0	0.0	False
