seed	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	rna_to_image_recall_at_1	image_to_rna_recall_at_1	target_effective_rank	image_target_effective_rank	floor_init_error	identity_violation	leakage_flag	train_small_cap_selected_scale	train_small_cap_floor_transition	train_small_cap_floor_delta_cosine	train_small_cap_floor_recall_at_1	train_small_cap_selected_transition	train_small_cap_selected_delta_cosine	train_small_cap_selected_recall_at_1	train_small_cap_selected_gap_transition	train_small_cap_selected_gap_delta_cosine	train_small_cap_selected_gap_recall	train_small_cap_selected_train_broken_count_diagnostic_only	train_small_cap_selected_train_mean_margin_change_diagnostic_only	train_small_cap_selected_near_tie_erosions	train_small_cap_selected_near_tie_flips	train_small_cap_selected_near_tie_count	train_small_cap_selected_margin_q10_change	train_small_cap_selected_near_tie_min_margin_change	retrieval_row_count	retrieval_broken_count	retrieval_repaired_count	retrieval_preserved_correct_count	retrieval_still_wrong_count	retrieval_broken_near_tie_fraction	retrieval_broken_mean_floor_margin	retrieval_broken_mean_selected_margin	retrieval_broken_mean_margin_change	retrieval_broken_mean_transition_gain_change	retrieval_broken_mean_delta_cosine_change	retrieval_mean_floor_margin	retrieval_mean_selected_margin	retrieval_mean_margin_change	retrieval_mean_rank_change	retrieval_mean_residual_norm	retrieval_selected_median_rank	retrieval_floor_median_rank	selected_residual_scale
13	0.4512207558496582	0.9398627342572555	0.9259259259259259	6.386902893940588	1.0547662056293572	0.4512207558496582	0.9398627342572555	0.9259259259259259	6.386902893940588	0.46172989732270725	0.9631019977481061	1.0	8.798244222894906	0.0	0.0	0.0	0.05790800943219848	0.9259259259259259	0.9259259259259259	6.43918677257853	7.812265395260795	4.179443733320909e-07	0.0	0.0	0.0	0.4794515461152877	0.9412821671776437	0.5	0.4794515461152877	0.9412821671776437	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	27.0	0.0	0.0	25.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2376921257962325	0.2376921257962325	0.0	0.0	0.0	1.0	1.0	0.0
14	0.35921129288846515	0.8964809390613303	0.7037037037037037	7.5575265953100415	1.0311255894282032	0.35921129288846515	0.8964809390613303	0.7037037037037037	7.5575265953100415	0.35360763723542	0.9132338128451596	0.7407407407407407	10.210112892884652	0.0	0.0	0.0	0.00391427439901576	0.7777777777777778	0.7037037037037037	6.583579542261915	6.112325466743826	8.3322723032353e-07	0.0	0.0	0.0	0.40143511264374837	0.9394888373083791	0.4722222222222222	0.40143511264374837	0.9394888373083791	0.4722222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	27.0	0.0	0.0	19.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015032643243748567	0.015032643243748567	0.0	0.0	0.0	1.0	1.0	0.0
15	0.1466065459900802	0.8276208386123622	0.7037037037037037	7.487468943429149	1.0178810011527941	0.1466065459900802	0.8276208386123622	0.7037037037037037	7.487468943429149	0.1220674604793973	0.8189256897587812	0.7037037037037037	10.340138193453855	0.0	0.0	0.0	0.04740570381096805	0.5925925925925926	0.4444444444444444	6.514905706343281	7.766425431060728	6.301518897799951e-07	0.0	0.0	0.0	0.3161557710327645	0.9424282067660946	0.4861111111111111	0.3161557710327645	0.9424282067660946	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	27.0	0.0	0.0	19.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010107756602750803	0.010107756602750803	0.0	0.0	0.0	1.0	1.0	0.0
