seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	train_broken_count_diagnostic_only	train_mean_margin_change_diagnostic_only	near_tie_erosions	near_tie_flips	near_tie_count	margin_q10_change	near_tie_min_margin_change	has_near_tie_certificate
13	0.0	True	0.4794515461152877	0.9412821671776437	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	True
13	0.005	False	0.47971765809798467	0.9416739674366803	0.5	0.00026611198269699265	0.0003918002590366232	0.0	0.0	0.0	1.0	0.0	33.0	5.422368285101786e-06	-0.00013105804397817167	True
13	0.01	False	0.4799815052647345	0.9420639663639457	0.5	0.0005299591494468125	0.0007817991863020568	0.0	1.0	0.0	4.0	1.0	33.0	1.0837203507363391e-05	-0.000261578420488795	True
13	0.0125	False	0.48011258343390495	0.9422582892083263	0.5	0.0006610373186172747	0.0009761220306826468	0.0	1.0	0.0	4.0	1.0	33.0	1.3541795097826714e-05	-0.00032663768876195487	True
13	0.025	False	0.48075958234335775	0.9432231193688675	0.5	0.0013080362280700752	0.0019409521912238104	0.0	1.0	0.0	12.0	1.0	33.0	2.7036475425568085e-05	-0.0006499361093696976	True
13	0.05	False	0.4820122410393836	0.9451186817033145	0.5	0.002560694924095941	0.0038365145256707978	0.0	1.0	0.0	16.0	1.0	33.0	5.388428311414728e-05	-0.00128665597979305	True
14	0.0	True	0.40143511264374837	0.9394888373083791	0.4722222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	True
14	0.005	False	0.4016723366388446	0.9398879554101605	0.4722222222222222	0.00023722399509623626	0.00039911810178139273	0.0	0.0	7.403714305681079e-05	1.0	0.0	32.0	-1.0086972860801112e-05	-0.00020912284300655948	True
14	0.01	False	0.40190816243766875	0.9402853296490183	0.4722222222222222	0.00047304979392037705	0.0007964923406392765	0.0	0.0	0.0001480632734237535	4.0	0.0	32.0	-2.017674022953837e-05	-0.0004179434333736465	True
14	0.0125	False	0.4020255508866934	0.940483361263466	0.4722222222222222	0.0005904382429450239	0.0009945239550869234	0.0	0.0	0.00018507187938324486	5.0	0.0	32.0	-2.5222670230895614e-05	-0.0005222399666253708	True
14	0.025	False	0.4026072469914993	0.9414669396105313	0.4722222222222222	0.0011721343477509305	0.0019781023021522293	0.0	0.0	0.00037006505218302764	11.0	0.0	32.0	-5.046275734463821e-05	-0.0010425784411514094	True
14	0.05	False	0.4037443991565074	0.9434009550293069	0.4722222222222222	0.0023092865127590234	0.00391211772092781	0.0	0.0	0.000762988213428329	14.0	0.0	32.0	-3.259692945624122e-05	-0.002077470545613802	True
15	0.0	True	0.3161557710327645	0.9424282067660946	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	True
15	0.005	False	0.3166021626589687	0.9428350826156918	0.4861111111111111	0.00044639162620419004	0.00040687584959719914	0.0	0.0	1.3387548496161034e-05	4.0	0.0	33.0	7.316681742701621e-08	-0.0012896180596910778	True
15	0.01	False	0.31704357284200013	0.943239104702513	0.4861111111111111	0.0008878018092356443	0.0008108979364184199	0.0	0.0	2.674678232188199e-05	6.0	0.0	33.0	6.783810258870204e-06	-0.0025745140067678918	True
15	0.0125	False	0.31726241484778295	0.9434400475190934	0.4861111111111111	0.0011066438150184599	0.0010118407529987605	0.0	0.0	3.341576964341187e-05	6.0	0.0	33.0	1.2538012462703918e-05	-0.0032151602049403927	True
15	0.025	False	0.31833808183000734	0.9444341111592437	0.4861111111111111	0.002182310797242848	0.0020059043931490717	0.0	0.0	6.66542358218737e-05	7.0	0.0	33.0	3.1172001678392335e-05	-0.006399894755305002	True
15	0.05	False	0.32039772192816446	0.946369319582502	0.4861111111111111	0.004241950895399971	0.0039411128164074105	0.0	0.0	0.00013259726388629834	13.0	0.0	33.0	3.916003207635752e-05	-0.012672401900256536	True
