experiment_id	split_mode	split	seed	source_to_target_cosine	direct_absolute_target_cosine	direct_transition_improvement	calibrated_absolute_target_cosine	calibrated_transition_improvement	calibrated_absolute_drop_vs_source	direct_delta_cosine	calibrated_delta_cosine	direct_magnitude_ratio	calibrated_magnitude_ratio	target_encoder_anchor_cosine	source_encoder_anchor_cosine	source_effective_rank	target_effective_rank	identity_violation	leakage_flag
F097	compound_holdout	validation	37	0.8767172715051201	0.8271932618935665	-0.049524009611553635	0.25406706010786473	-0.6226502113972554	-0.6226502113972554	-0.8538918347577331	0.16026118407235806	0.34996549284530254	2.4995142169235334	0.7862834495225288	0.9405865891800507	1.000000000000002	1.8379670185614776	0.0	0.0
F097	compound_holdout	test	37	0.8788186418194357	0.7924738349823236	-0.08634480683711206	0.3490360732322665	-0.5297825685871692	-0.5297825685871692	-0.853663138349977	0.2242984108457795	0.3349854185021603	3.3834525836550395	0.787006758367534	0.9405865891800506	1.0000000000000027	2.448643144941805	0.0	0.0
F097	compound_holdout	alternate_test	37	0.8237159936669676	0.7555105677934435	-0.06820542587352411	0.2653719925482497	-0.5583440011187178	-0.5583440011187178	-0.7942184776905946	0.17195185730867213	0.3721867504688404	2.957881161550674	0.7417000954931017	0.9405865891800507	1.000000000000005	1.146623227834778	0.0	0.0
F097	compound_holdout	validation	38	0.8767172715051199	0.8447711722786266	-0.03194609922649328	0.35014742552403433	-0.5265698459810856	-0.5265698459810856	-0.8539837914102023	0.28907695665116145	0.34977557575321544	3.026674963076927	0.7496600112723741	0.8991558611841229	1.000000000000002	1.8379670185614776	0.0	0.0
F097	compound_holdout	test	38	0.8788186418194355	0.8044537693550289	-0.07436487246440654	0.332849127773721	-0.5459695140457145	-0.5459695140457145	-0.8537514763069768	0.25564134298939817	0.33473399702138845	3.8494697450641606	0.727391913062881	0.8991558611841229	1.0000000000000027	2.448643144941805	0.0	0.0
F097	compound_holdout	alternate_test	38	0.8237159936669677	0.8018421061530224	-0.021873887513945273	0.16774578555171626	-0.6559702081152514	-0.6559702081152514	-0.7942956986198892	0.14681663984629675	0.3719557842533619	3.857617411922326	0.7006423735812539	0.899155861184123	1.000000000000005	1.146623227834778	0.0	0.0
F097	compound_holdout	validation	39	0.8767172715051202	0.8697728716479937	-0.006944399857126537	0.304818894425112	-0.5718983770800082	-0.5718983770800082	-0.8538635448209294	0.16684413902148806	0.3497074334378271	1.9943849619553655	0.71663467762839	0.901601054548518	1.000000000000002	1.8379670185614776	0.0	0.0
F097	compound_holdout	test	39	0.8788186418194354	0.8386088393220681	-0.04020980249736727	0.29798101239121666	-0.5808376294282187	-0.5808376294282187	-0.8536179685259359	0.21652758468643424	0.3346652892438457	2.558647410271013	0.7258587764964893	0.9016010545485179	1.0000000000000027	2.448643144941805	0.0	0.0
F097	compound_holdout	alternate_test	39	0.8237159936669677	0.8079451804127027	-0.015770813254264965	0.281857170652443	-0.5418588230145247	-0.5418588230145247	-0.7941838103715211	0.11875738355904132	0.3718604231687725	2.2263034603010867	0.6868202810905382	0.9016010545485179	1.000000000000005	1.146623227834778	0.0	0.0
F098	same_condition_replicate	validation	37	0.9489878958840486	0.9672420066495357	0.018254110765487098	0.28913300453878055	-0.6598548913452681	-0.6598548913452681	-0.9182764958149623	0.22422333393738703	0.256274391291285	2.2710503309128365	0.8449014004921451	0.9224014734682804	1.0000000000000204	11.603436073228346	0.0	0.0
F098	same_condition_replicate	test	37	0.9490206345551009	0.9720173480951738	0.022996713540072898	0.2630388521231367	-0.6859817824319642	-0.6859817824319642	-0.9183223073242126	0.1922598846616429	0.25626114296923974	2.224940882231	0.844819506245419	0.9224014734682805	1.000000000000019	12.005443793958381	0.0	0.0
F098	same_condition_replicate	alternate_test	37	0.9489912106826626	0.9701480256654564	0.02115681498279389	0.33589177185929986	-0.6130994388233627	-0.6130994388233627	-0.9182752367205125	0.25339310892949246	0.2562657242034961	2.162729260947041	0.8044761966161492	0.9224014734682804	1.000000000000016	11.816069953418394	0.0	0.0
F098	same_condition_replicate	validation	38	0.9489878958840487	0.9565546240007872	0.00756672811673839	0.35718480256825436	-0.5918030933157944	-0.5918030933157944	-0.91881602361489	0.2800569578624083	0.25631380451356384	2.515072978004042	0.847824338279013	0.9458322656555425	1.0000000000000204	11.603436073228346	0.0	0.0
F098	same_condition_replicate	test	38	0.9490206345551009	0.9504051154499451	0.0013844808948442113	0.398977189770106	-0.5500434447849949	-0.5500434447849949	-0.9188703912713613	0.33327046129731625	0.25631914654281024	2.591852489159572	0.8534434645623785	0.9458322656555426	1.000000000000019	12.005443793958381	0.0	0.0
F098	same_condition_replicate	alternate_test	38	0.9489912106826625	0.9536535713485242	0.004662360665861766	0.3572854334623694	-0.591705777220293	-0.591705777220293	-0.918823663593597	0.3006219610034725	0.25629987912690405	2.5232464513501123	0.8375294701553465	0.9458322656555425	1.000000000000016	11.816069953418394	0.0	0.0
F098	same_condition_replicate	validation	39	0.9489878958840486	0.9755881022036432	0.026600206319594623	0.3665483594728377	-0.5824395364112109	-0.5824395364112109	-0.9187127333102888	0.2816317164759602	0.25617200663747547	2.5589802569277227	0.8430238004977667	0.9300569814379731	1.0000000000000204	11.603436073228346	0.0	0.0
F098	same_condition_replicate	test	39	0.9490206345551008	0.986996317939071	0.037975683383970234	0.1494028565974732	-0.7996177779576276	-0.7996177779576276	-0.9187541276084856	0.0793560450625288	0.25614481984435333	2.315478206506948	0.8397817159552783	0.9300569814379733	1.000000000000019	12.005443793958381	0.0	0.0
F098	same_condition_replicate	alternate_test	39	0.9489912106826623	0.9872473875308266	0.038256176848164264	0.23426751644907462	-0.7147236942335877	-0.7147236942335877	-0.9187031094407697	0.17139149242434906	0.25613308979299293	2.3816064753166217	0.8234694126248596	0.9300569814379733	1.000000000000016	11.816069953418394	0.0	0.0
