fold_id	scale	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio	floor_gap_transition	floor_gap_delta_cosine	floor_gap_recall	action_negative_gap
0	0.0	0.0	0.0	0.002717391304347826	0.0	0.0	0.0	0.0	0.0	0.0
0	0.001	0.001112623270505573	0.3285484535542378	0.002717391304347826	1.2052771306629615	0.002237676563631367	0.001112623270505573	0.3285484535542378	0.0	0.0
0	0.0025	0.003100182897849644	0.32854845355423784	0.002717391304347826	1.2052771306629615	0.005594191409078418	0.003100182897849644	0.32854845355423784	0.0	0.0
0	0.005	0.0083959363463911	0.32854845355423784	0.002717391304347826	1.2052771306629615	0.011188382818156836	0.0083959363463911	0.32854845355423784	0.0	0.0
0	0.01	0.03567321321668734	0.32854845355423784	0.002717391304347826	1.2052771306629615	0.022376765636313672	0.03567321321668734	0.32854845355423784	0.0	0.0
0	0.025	0.04965180925098779	0.32854845355423784	0.005434782608695652	1.2052771306629613	0.055941914090784174	0.04965180925098779	0.32854845355423784	0.002717391304347826	0.0
0	0.05	0.020988359616502573	0.32854845355423784	0.005434782608695652	1.2052771306629613	0.11188382818156835	0.020988359616502573	0.32854845355423784	0.002717391304347826	0.0
1	0.0	0.0	0.0	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0
1	0.001	0.0004578010260594924	0.3085539046275839	0.0027247956403269754	1.2181689094415973	0.002549192951686954	0.0004578010260594924	0.3085539046275839	0.0	0.0
1	0.0025	0.001113100744273459	0.3085539046275839	0.0027247956403269754	1.218168909441597	0.006372982379217386	0.001113100744273459	0.3085539046275839	0.0	0.0
1	0.005	0.0023361873592332863	0.3085539046275839	0.0027247956403269754	1.218168909441597	0.012745964758434772	0.0023361873592332863	0.3085539046275839	0.0	0.0
1	0.01	0.004654145381780418	0.3085539046275839	0.0027247956403269754	1.218168909441597	0.025491929516869544	0.004654145381780418	0.3085539046275839	0.0	0.0
1	0.025	-0.0003900077323731946	0.3085539046275839	0.0027247956403269754	1.218168909441597	0.06372982379217386	-0.0003900077323731946	0.3085539046275839	0.0	0.0
1	0.05	-0.024501773607120546	0.3085539046275839	0.0027247956403269754	1.218168909441597	0.12745964758434772	-0.024501773607120546	0.3085539046275839	0.0	0.0
2	0.0	0.0	0.0	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0
2	0.001	0.0005496786317117376	0.3357573969473473	0.0027247956403269754	1.2067042237913612	0.0033684020802449985	0.0005496786317117376	0.3357573969473473	0.0	0.0
2	0.0025	0.0011962701699913193	0.3357573969473473	0.0027247956403269754	1.2067042237913612	0.008421005200612498	0.0011962701699913193	0.3357573969473473	0.0	0.0
2	0.005	0.001775844828808649	0.3357573969473473	0.0027247956403269754	1.2067042237913612	0.016842010401224995	0.001775844828808649	0.3357573969473473	0.0	0.0
2	0.01	0.006684691423414274	0.3357573969473473	0.0027247956403269754	1.2067042237913612	0.03368402080244999	0.006684691423414274	0.3357573969473473	0.0	0.0
2	0.025	-0.0030710051548162014	0.3357573969473473	0.005449591280653951	1.2067042237913612	0.08421005200612497	-0.0030710051548162014	0.3357573969473473	0.0027247956403269754	0.0
2	0.05	-0.06946433018534132	0.3357573969473473	0.005449591280653951	1.2067042237913612	0.16842010401224994	-0.06946433018534132	0.3357573969473473	0.0027247956403269754	0.0
3	0.0	0.0	0.0	0.0027247956403269754	0.0	0.0	0.0	0.0	0.0	0.0
3	0.001	0.0005215188418895222	0.26770038667165214	0.0027247956403269754	1.1648936547842939	0.003553242759317807	0.0005215188418895222	0.26770038667165214	0.0	0.0
3	0.0025	0.0014055927504257784	0.26770038667165214	0.0027247956403269754	1.1648936547842939	0.008883106898294519	0.0014055927504257784	0.26770038667165214	0.0	0.0
3	0.005	0.0030456051999803798	0.26770038667165214	0.0	1.1648936547842939	0.017766213796589037	0.0030456051999803798	0.26770038667165214	-0.0027247956403269754	0.0
3	0.01	-0.0011370054393419994	0.26770038667165214	0.0027247956403269754	1.1648936547842939	0.035532427593178074	-0.0011370054393419994	0.26770038667165214	0.0	0.0
3	0.025	-0.032648766013321645	0.26770038667165214	0.0027247956403269754	1.164893654784294	0.08883106898294518	-0.032648766013321645	0.26770038667165214	0.0	0.0
3	0.05	-0.10184230478009021	0.26770038667165214	0.0027247956403269754	1.164893654784294	0.17766213796589037	-0.10184230478009021	0.26770038667165214	0.0	0.0
