baseline	seed_count	mean_transition_improvement	min_transition_improvement	mean_delta_cosine	mean_condition_recall_at_1	min_condition_recall_at_1	mean_delta_rank	mean_magnitude_ratio
pooled_source_only_ridge	5	0.014092323244996619	0.0060462816283750566	0.45051065821860625	0.22222222222222224	0.1111111111111111	9.905100888184375	0.6303566122627159
pooled_full_ridge	5	0.01404860375998504	0.0039016646012234725	0.4497570308229083	0.22222222222222224	0.07407407407407407	10.271098384346484	0.6389509357181515
pooled_environment_centered_ridge	5	0.01183288389502632	0.0024654394219036225	0.43151936596461127	0.3259259259259259	0.25925925925925924	10.47627968402534	0.6634512472073449
per_seed_action_ridge_floor	5	0.011281438877204748	0.0004243423315500173	0.45151513636166707	0.3333333333333333	0.25925925925925924	10.245808787907375	0.7556432505625665
pooled_action_only_ridge	5	0.0008295936554870322	-0.001949557002911567	0.08043993328249559	0.31851851851851853	0.2222222222222222	1.860601841575414	0.1406395414955354
leave_one_seed_out_full_ridge	5	-0.017282973223257597	-0.053226095736994314	0.3345189999081599	0.18518518518518517	0.1111111111111111	8.49033152116512	1.0507550784024455
