seed	baseline	transition_improvement	delta_cosine	condition_recall_at_1	condition_median_rank	delta_rank	magnitude_ratio	source_improvement_hinge_violation_fraction
0	per_seed_action_ridge_floor	0.005661906516194076	0.39796251669473043	0.48148148148148145	2.0	10.283476977293052	0.7744371112179363	0.7407407407407407
0	pooled_full_ridge	0.014825697281282624	0.4023357403350836	0.4074074074074074	3.0	10.076278523167895	0.612116322149953	0.5925925925925926
0	pooled_source_only_ridge	0.013820328719083612	0.39799216498086687	0.3333333333333333	2.0	9.81800335368111	0.6096285681885637	0.5925925925925926
0	pooled_action_only_ridge	0.0009327224434454809	0.0458230793381904	0.2222222222222222	4.0	1.860601841575409	0.11220800993270129	1.0
0	pooled_environment_centered_ridge	0.010687314187608031	0.35305068589121924	0.4444444444444444	2.0	10.845630061789038	0.6279977561770048	0.6296296296296297
0	leave_one_seed_out_full_ridge	0.0020753626079540867	0.3667930829135194	0.25925925925925924	3.0	9.389584746149696	0.7247520411449543	0.8148148148148148
1	per_seed_action_ridge_floor	0.021756478285427833	0.5404280277268804	0.3333333333333333	2.0	9.937518308977577	0.7933582487536444	0.6666666666666666
1	pooled_full_ridge	0.018133492949230588	0.4391014847380391	0.14814814814814814	4.0	10.065492279855949	0.6438547416629571	0.6666666666666666
1	pooled_source_only_ridge	0.0178697716013406	0.4425492884558617	0.1111111111111111	4.0	9.734966640067519	0.6325076244135187	0.7037037037037037
1	pooled_action_only_ridge	0.0003911318805495153	0.04852617911147181	0.2962962962962963	4.0	1.8606018415754115	0.1580576717472942	1.0
1	pooled_environment_centered_ridge	0.016992287804895954	0.4693146267755011	0.25925925925925924	3.0	9.865402834753933	0.6919593628977426	0.7037037037037037
1	leave_one_seed_out_full_ridge	-0.01117150281372622	0.3122312803135247	0.2222222222222222	4.0	8.525130174361855	1.1586190173900062	0.7777777777777778
2	per_seed_action_ridge_floor	0.009402064646795659	0.4018851082029823	0.2962962962962963	5.0	9.632914633777684	0.5918627929859949	0.7777777777777778
2	pooled_full_ridge	0.01771695511119269	0.5294335177430942	0.18518518518518517	2.0	10.01449518623035	0.5337605254160394	0.7037037037037037
2	pooled_source_only_ridge	0.014907713260198118	0.47731678822709284	0.2222222222222222	3.0	9.52500620213498	0.5242825935609655	0.7037037037037037
2	pooled_action_only_ridge	0.004534068551628502	0.37456522665275	0.4074074074074074	2.0	1.8606018415754169	0.14569430541609346	1.0
2	pooled_environment_centered_ridge	0.012633958545035759	0.4674770130312019	0.2962962962962963	4.0	9.829836807362048	0.5663258398724429	0.6666666666666666
2	leave_one_seed_out_full_ridge	-0.002686124725930225	0.45304117285711015	0.14814814814814814	4.0	7.3411023248708664	1.1010537689639597	0.7777777777777778
3	per_seed_action_ridge_floor	0.0004243423315500173	0.4200548145191377	0.25925925925925924	3.0	10.486444270464679	0.8778340372856198	0.7777777777777778
3	pooled_full_ridge	0.0039016646012234725	0.4021506680375471	0.07407407407407407	3.0	10.643014350271505	0.7147007199367512	0.7777777777777778
3	pooled_source_only_ridge	0.0060462816283750566	0.43248737369115564	0.1111111111111111	3.0	10.156738806997843	0.7008231404505305	0.7407407407407407
3	pooled_action_only_ridge	-0.001949557002911567	-0.06444683389333264	0.2962962962962963	2.0	1.8606018415754184	0.16094648244944634	1.0
3	pooled_environment_centered_ridge	0.0024654394219036225	0.3911651357641172	0.25925925925925924	3.0	11.021704919627314	0.7580197072827731	0.8148148148148148
3	leave_one_seed_out_full_ridge	-0.021406505447591307	0.2573092092841333	0.1111111111111111	6.0	9.534845206027777	1.0137050797983898	0.9259259259259259
4	per_seed_action_ridge_floor	0.019162402606056148	0.4972452146646043	0.2962962962962963	2.0	10.888689749023888	0.7407240625696372	0.5925925925925926
4	pooled_full_ridge	0.015665208856995832	0.4757637432607772	0.2962962962962963	2.0	10.556211582206723	0.6903223694250569	0.5925925925925926
4	pooled_source_only_ridge	0.017817521015985712	0.502207675738054	0.3333333333333333	2.0	10.290789438040425	0.6845411347000011	0.5185185185185185
4	pooled_action_only_ridge	0.00023960240472322949	-0.002267984796601635	0.37037037037037035	2.0	1.8606018415754133	0.12629123793214167	1.0
4	pooled_environment_centered_ridge	0.01638541951568823	0.47658936836101706	0.37037037037037035	2.0	10.818823796594359	0.6729535698067615	0.5185185185185185
4	leave_one_seed_out_full_ridge	-0.053226095736994314	0.28322025417251206	0.18518518518518517	5.0	7.6609951544154	1.255645484714918	0.8518518518518519
