seed	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	rowwise_active_fraction	rowwise_selected_base_scale	rowwise_effective_scale	rowwise_risk_score_mean	rna_to_image_recall_at_1	image_to_rna_recall_at_1	target_effective_rank	image_target_effective_rank	floor_init_error	identity_violation	leakage_flag	train_rowwise_selected_scale	train_rowwise_selected_threshold	train_rowwise_selected_active_fraction	train_rowwise_selected_unsafe_count	train_rowwise_floor_transition	train_rowwise_floor_delta_cosine	train_rowwise_floor_recall_at_1	train_rowwise_selected_transition	train_rowwise_selected_delta_cosine	train_rowwise_selected_recall_at_1	train_rowwise_selected_gap_transition	train_rowwise_selected_gap_delta_cosine	train_rowwise_selected_gap_recall	train_rowwise_selected_near_tie_erosions	train_rowwise_selected_near_tie_flips	train_rowwise_selected_broken_count	retrieval_row_count	retrieval_broken_count	retrieval_repaired_count	retrieval_preserved_correct_count	retrieval_still_wrong_count	retrieval_broken_near_tie_fraction	retrieval_broken_mean_floor_margin	retrieval_broken_mean_selected_margin	retrieval_broken_mean_margin_change	retrieval_broken_mean_transition_gain_change	retrieval_broken_mean_delta_cosine_change	retrieval_mean_floor_margin	retrieval_mean_selected_margin	retrieval_mean_margin_change	retrieval_mean_rank_change	retrieval_mean_residual_norm	retrieval_selected_median_rank	retrieval_floor_median_rank	selected_residual_scale
22	0.09150208846793108	0.9067169205076738	0.6296296296296297	7.677462668633178	0.9954866953675534	0.09119475301631949	0.9032337022766634	0.6296296296296297	7.4927423077393	0.0928813758137464	0.9356289908772172	0.8148148148148148	9.410157411637257	0.00030733545161158726	0.0034832182310103876	0.0	0.008253758909488873	0.8518518518518519	0.05	0.0425925925925926	-2.0993550177859	0.48148148148148145	0.4444444444444444	3.791524163650025	5.661813331257743	8.470455665765542e-07	0.0	0.0	0.05	-0.536791483880051	0.8055555555555556	6.0	0.10691580210070713	0.9353264931503902	0.4166666666666667	0.107372876302131	0.9387087482713857	0.4166666666666667	0.00045707420142387933	0.0033822551209955476	0.0	0.0	0.0	0.0	27.0	0.0	0.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005498337455077214	0.006006535252488798	0.0005081977974115836	0.0	0.039995582394635236	1.0	1.0	0.0425925925925926
23	0.4221241364926343	0.8827261651269609	1.0	7.537771181365268	1.110713266295205	0.4219192843909284	0.8824301051468425	1.0	7.46118990037177	0.43371857018680743	0.9009615451828468	1.0	10.080293126309243	0.00020485210170589907	0.0002960599801183905	0.0	0.06905191180503689	0.18518518518518517	0.05	0.009259259259259259	-0.17575182783625876	0.7407407407407407	0.8888888888888888	8.723502176176805	8.001411030434696	7.071852410334145e-07	0.0	0.0	0.05	-0.6056491390179498	0.2222222222222222	28.0	0.5841328862862594	0.9428221205074183	0.4722222222222222	0.5845166348356027	0.9436725001934358	0.4722222222222222	0.00038374854934331015	0.0008503796860175328	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2517312847987645	0.25177813687273515	4.6852073970692234e-05	0.0	0.009623947311281841	1.0	1.0	0.009259259259259259
24	0.2320705531269349	0.9527365867474492	1.0	6.412111080480122	1.0446995310952247	0.2317946174340691	0.9517509821848421	1.0	6.273849090566311	0.2365265146281514	0.9692811826538767	0.8888888888888888	8.23038188326431	0.00027593569286579744	0.0009856045626071008	0.0	0.019346684449591534	0.6296296296296297	0.05	0.031481481481481485	-1.2845319765215892	0.7777777777777778	0.8148148148148148	5.462670159324522	7.021552458141622	8.746724668995398e-07	0.0	0.0	0.05	-0.9049353499195485	0.5555555555555556	16.0	0.25277840396324636	0.9746675382493873	0.5	0.2530191411405573	0.9754898063906947	0.5	0.00024073717731093458	0.0008222681413073696	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029313314501982553	0.029572927761549204	0.0002596132595666522	0.0	0.035921057779101886	1.0	1.0	0.031481481481481485
25	0.18643108154394927	0.8406251916290032	1.0	7.70585791097578	0.9952082936456553	0.18637448929443956	0.8397610586996869	1.0	7.619827987041543	0.20773989707126325	0.9140096613386567	1.0	10.249257058261566	5.6592249509712644e-05	0.000864132929316308	0.0	0.011030007266882969	0.3333333333333333	0.025	0.008333333333333333	-0.6493011968711057	0.8888888888888888	0.9629629629629629	7.013173342879744	7.958940513707374	3.8220388454135445e-07	0.0	0.0	0.025	-0.5437934488931232	0.3055555555555556	24.0	0.20260409279950106	0.9070301246573346	0.4861111111111111	0.20274737962056769	0.9077832237428145	0.4861111111111111	0.00014328682106662383	0.0007530990854799358	0.0	0.0	0.0	0.0	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08812028382051541	0.08828610753962039	0.00016582371910497836	0.0	0.011578435047795148	1.0	1.0	0.008333333333333333
26	0.29030933001773396	0.8057754909590606	0.6296296296296297	8.24406783347456	0.8593691530182695	0.2908084858015245	0.8040092606287692	0.6296296296296297	7.940612210457475	0.2818578681147773	0.8636871498111456	0.6666666666666666	11.553397920936005	-0.0004991557837905614	0.0017662303302914406	0.0	0.017424272720747647	0.4444444444444444	0.05	0.022222222222222223	-0.8048051151519796	0.5925925925925926	0.5555555555555556	7.520820606938229	6.852467653663737	3.911505450648889e-07	0.0	0.0	0.05	-0.40308894641283705	0.5	18.0	0.45701118830244525	0.9102222376145817	0.4861111111111111	0.45859602219095585	0.9125766958277599	0.4861111111111111	0.0015848338885106061	0.0023544582131782565	0.0	0.0	0.0	0.0	27.0	0.0	0.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0673575030536101	0.06827257065977667	0.0009150676061665695	0.0	0.02766096821970637	1.0	1.0	0.022222222222222223
27	0.25608689827618525	0.9082581761182558	0.8518518518518519	7.243750384883581	0.9732920093428652	0.25591798851037617	0.9072029644436762	0.8518518518518519	7.127701761872629	0.2669435266573299	0.9460679459229591	0.9629629629629629	9.666967618277697	0.00016890976580907768	0.0010552116745795592	0.0	0.00802966836336838	0.3333333333333333	0.05	0.016666666666666666	-0.6125757410770546	0.7407407407407407	0.8148148148148148	6.5985484245500725	7.588177585581666	5.928034738644783e-07	0.0	0.0	0.05	-0.9308289711959528	0.3055555555555556	24.0	0.3225770267260718	0.9482886415519682	0.5	0.3227716785171805	0.9492437763785139	0.5	0.00019465179110872421	0.0009551348265456339	0.0	0.0	0.0	0.0	27.0	0.0	0.0	23.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0642690349989075	0.06437566640391575	0.00010663140500823378	0.0	0.017497528570729785	1.0	1.0	0.016666666666666666
