split	operator	transition_source_cosine_improvement	absolute_target_cosine	source_as_target_bio_cosine_to_teacher	delta_cosine	delta_magnitude_ratio	delta_prediction_effective_rank	delta_teacher_effective_rank	source_improvement_hinge_violation_fraction	transition_to_target_map	transition_to_target_median_rank	transition_to_target_recall@1	transition_to_target_recall@5	transition_to_target_recall@10	transition_to_target_same_perturbation_enrichment@10
train	action_ridge_delta	0.07685792923111737	0.97453772092559	0.8976797916944727	0.8482527387662345	0.8535124586198578	11.631244288097243	13.562688934741876	0.1527777777777778	0.6140013663888149	1.0	0.7777777777777778	0.9861111111111112	1.0	2.6666666666666665
train	action_low_rank_ridge	0.07402903673614311	0.9717088284306157	0.8976797916944727	0.8229836430630797	0.8318141431026945	7.045244851364066	13.562688934741876	0.16666666666666666	0.562726470886358	1.0	0.6111111111111112	1.0	1.0	2.566666666666667
eval	action_ridge_delta	0.005661906516194076	0.9087927245462672	0.9031308180300731	0.3979625166947304	0.7744371112179363	10.283476977293052	11.781895734223935	0.7407407407407407	0.39993427495606143	2.0	0.48148148148148145	0.8148148148148148	0.9259259259259259	1.0222222222222224
eval	action_low_rank_ridge	0.004628779569003859	0.9077595975990769	0.9031308180300731	0.3877486776016694	0.7585053440464369	6.768064725485387	11.781895734223935	0.7407407407407407	0.39447613771687845	2.0	0.4074074074074074	0.7777777777777778	0.9629629629629629	1.011111111111111
