seed	split	method	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio
37	validation	source_as_target	0.0	0.0	0.0026246719160104987	0.0	0.0
37	validation	protected_full_ridge_floor	-0.8944231448838149	0.02862647422351296	0.0026246719160104987	1.431378362298184	3340.746665197384
37	validation	no_delta_calibration	-0.03494122121566571	0.04979657846782323	0.0026246719160104987	13.020629059962513	828.3611829795757
37	test	source_as_target	0.0	0.0	0.0024390243902439024	0.0	0.0
37	test	protected_full_ridge_floor	-0.86742561000696	0.020625671255150784	0.0024390243902439024	1.4178455654230657	3370.961028120494
37	test	no_delta_calibration	-0.029634348005884423	0.042895266635115614	0.0	18.383572050567775	853.6745143346903
37	alternate_test	source_as_target	0.0	0.0	0.002583979328165375	0.0	0.0
37	alternate_test	protected_full_ridge_floor	-0.8648566511071928	0.022125502882425662	0.002583979328165375	1.457657820179958	3178.499969872894
37	alternate_test	no_delta_calibration	-0.03407607093112885	0.0431543104754429	0.002583979328165375	15.118316095990243	842.1730452814685
38	validation	source_as_target	0.0	0.0	0.0026246719160104987	0.0	0.0
38	validation	protected_full_ridge_floor	-0.8944231448838149	0.02862647422351296	0.0026246719160104987	1.431378362298184	3340.746665197384
38	validation	no_delta_calibration	-0.06309436367610546	0.0497762020042944	0.0026246719160104987	11.014118830776795	828.5312042181707
38	test	source_as_target	0.0	0.0	0.0024390243902439024	0.0	0.0
38	test	protected_full_ridge_floor	-0.86742561000696	0.020625671255150784	0.0024390243902439024	1.4178455654230657	3370.961028120494
38	test	no_delta_calibration	-0.0633347401273705	0.042896425601607134	0.0024390243902439024	10.449595459088235	853.8765205139773
38	alternate_test	source_as_target	0.0	0.0	0.002583979328165375	0.0	0.0
38	alternate_test	protected_full_ridge_floor	-0.8648566511071928	0.022125502882425662	0.002583979328165375	1.457657820179958	3178.499969872894
38	alternate_test	no_delta_calibration	-0.05350352402797979	0.043152842833332816	0.002583979328165375	11.12635439592827	842.3408308558152
39	validation	source_as_target	0.0	0.0	0.0026246719160104987	0.0	0.0
39	validation	protected_full_ridge_floor	-0.8944231448838149	0.02862647422351296	0.0026246719160104987	1.431378362298184	3340.746665197384
39	validation	no_delta_calibration	-0.037812138129609464	0.04971575558104575	0.0026246719160104987	10.290195698257419	828.4112208186141
39	test	source_as_target	0.0	0.0	0.0024390243902439024	0.0	0.0
39	test	protected_full_ridge_floor	-0.86742561000696	0.020625671255150784	0.0024390243902439024	1.4178455654230657	3370.961028120494
39	test	no_delta_calibration	-0.019914048181725826	0.04283525526203836	0.0024390243902439024	14.954783199297893	853.7177397855046
39	alternate_test	source_as_target	0.0	0.0	0.002583979328165375	0.0	0.0
39	alternate_test	protected_full_ridge_floor	-0.8648566511071928	0.022125502882425662	0.002583979328165375	1.457657820179958	3178.499969872894
39	alternate_test	no_delta_calibration	-0.018070640822520447	0.04308906717219272	0.002583979328165375	18.457379454753777	842.1972182801836
