seed	split	method	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio
37	validation	source_as_target	0.0	0.0	0.037037037037037035	0.0	0.0
37	validation	protected_full_ridge_floor	0.3992492735356634	0.2750207066615371	0.37037037037037035	17.263935228886346	0.6880798547703735
37	validation	F082_no_delta_calibration	0.41760705518276436	0.2968893994069834	0.37037037037037035	17.386537468731234	0.5721928401579743
37	test	source_as_target	0.0	0.0	0.03571428571428571	0.0	0.0
37	test	protected_full_ridge_floor	0.6456963971545485	0.3294504801033935	0.42857142857142855	17.137913563899744	0.6167990136832263
37	test	F082_no_delta_calibration	0.6475939822355204	0.345672163130759	0.42857142857142855	17.931137675378988	0.5013064323406646
37	alternate_test	source_as_target	0.0	0.0	0.01818181818181818	0.0	0.0
37	alternate_test	protected_full_ridge_floor	0.49396906208318525	0.18358093537677697	0.12727272727272726	17.056778737001903	0.46971875704847577
37	alternate_test	F082_no_delta_calibration	0.48501370060406235	0.19151238580492658	0.12727272727272726	17.888862250222314	0.37469719312060595
38	validation	source_as_target	0.0	0.0	0.037037037037037035	0.0	0.0
38	validation	protected_full_ridge_floor	0.3992492735356634	0.2750207066615371	0.37037037037037035	17.263935228886346	0.6880798547703735
38	validation	F082_no_delta_calibration	0.4200175818248056	0.3009427369383467	0.4074074074074074	17.32225251423932	0.582015594189295
38	test	source_as_target	0.0	0.0	0.03571428571428571	0.0	0.0
38	test	protected_full_ridge_floor	0.6456963971545485	0.3294504801033935	0.42857142857142855	17.137913563899744	0.6167990136832263
38	test	F082_no_delta_calibration	0.6563750831227909	0.3581235315295333	0.42857142857142855	17.958558558195943	0.507852018193481
38	alternate_test	source_as_target	0.0	0.0	0.01818181818181818	0.0	0.0
38	alternate_test	protected_full_ridge_floor	0.49396906208318525	0.18358093537677697	0.12727272727272726	17.056778737001903	0.46971875704847577
38	alternate_test	F082_no_delta_calibration	0.5019642395646651	0.21227416585356484	0.12727272727272726	17.916707833474987	0.38021530915420654
39	validation	source_as_target	0.0	0.0	0.037037037037037035	0.0	0.0
39	validation	protected_full_ridge_floor	0.3992492735356634	0.2750207066615371	0.37037037037037035	17.263935228886346	0.6880798547703735
39	validation	F082_no_delta_calibration	0.41004190501331195	0.29742097504712367	0.37037037037037035	17.234230362304388	0.5840215066816726
39	test	source_as_target	0.0	0.0	0.03571428571428571	0.0	0.0
39	test	protected_full_ridge_floor	0.6456963971545485	0.3294504801033935	0.42857142857142855	17.137913563899744	0.6167990136832263
39	test	F082_no_delta_calibration	0.6484819119847574	0.35181728671742973	0.42857142857142855	17.775032711161575	0.5102876625103285
39	alternate_test	source_as_target	0.0	0.0	0.01818181818181818	0.0	0.0
39	alternate_test	protected_full_ridge_floor	0.49396906208318525	0.18358093537677697	0.12727272727272726	17.056778737001903	0.46971875704847577
39	alternate_test	F082_no_delta_calibration	0.49666022712715874	0.20671128482178777	0.10909090909090909	17.72654930436571	0.381883971550841
