seed	benchmark	representation	baseline	status	transition_improvement	delta_cosine	condition_recall_at_1	delta_prediction_effective_rank	delta_magnitude_ratio	same_condition_recall_at_1	effective_rank_z	perturbation_probe_cv	batch_probe_cv
0	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_as_target	completed	0.0	0.0	0.2222222222222222	0.0	0.0	0.8148148148148148	3.0809097228392814	0.19444444444444445	0.25
0	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_only_ridge	completed	0.0061058799256291365	0.4816374758248355	0.2222222222222222	6.087694700118371	0.6046825562253526	0.8148148148148148	3.0809097228392814	0.19444444444444445	0.25
0	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_plus_program_action	completed	0.08236119047343464	0.9650718869625197	0.8888888888888888	4.022517338508554	1.0168782752734478	0.8148148148148148	3.0809097228392814	0.19444444444444445	0.25
0	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	program_action_only	completed	0.07733778858462005	0.9300726663218205	0.9259259259259259	1.5095526416721663	1.015847187623424	0.8148148148148148	3.0809097228392814	0.19444444444444445	0.25
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.25925925925925924	0.0	0.0	0.8148148148148148	6.294907751431719	0.19444444444444445	0.2777777777777778
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.02927740861265825	0.5429111579921749	0.3333333333333333	7.380595736752353	0.6828527894140332	0.8148148148148148	6.294907751431719	0.19444444444444445	0.2777777777777778
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.13977709302603786	0.9049415926639596	0.7777777777777778	7.6969378071982995	0.9813865962362665	0.8148148148148148	6.294907751431719	0.19444444444444445	0.2777777777777778
0	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.11275276873547783	0.7871326726223276	0.7777777777777778	1.702370624832834	0.8478151906197317	0.8148148148148148	6.294907751431719	0.19444444444444445	0.2777777777777778
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	1.0	5.451177519579966	0.6111111111111112	0.09722222222222222
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.02511531376425742	0.34510920705742015	0.3333333333333333	6.631624336716863	0.36957543176686347	1.0	5.451177519579966	0.6111111111111112	0.09722222222222222
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.19032095150929995	0.971812941229745	1.0	3.3286445837867693	0.9547543232053299	1.0	5.451177519579966	0.6111111111111112	0.09722222222222222
0	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.1902385424677695	0.971446180035087	1.0	1.9824669044289693	0.9519569890679598	1.0	5.451177519579966	0.6111111111111112	0.09722222222222222
1	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	0.6666666666666666	2.8787789740035374	0.2222222222222222	0.2361111111111111
1	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_only_ridge	completed	0.033351641667234734	0.3356706229450064	0.3333333333333333	6.09436629595627	0.5953403415133403	0.6666666666666666	2.8787789740035374	0.2222222222222222	0.2361111111111111
1	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_plus_program_action	completed	0.17332654834287683	0.9252360836537562	0.5185185185185185	3.9754523297172257	1.0155484000629256	0.6666666666666666	2.8787789740035374	0.2222222222222222	0.2361111111111111
1	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	program_action_only	completed	0.16253248345406807	0.8923227887825367	0.5185185185185185	1.2517215658253378	1.141290634952072	0.6666666666666666	2.8787789740035374	0.2222222222222222	0.2361111111111111
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	0.6296296296296297	6.714994897701779	0.1388888888888889	0.2777777777777778
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.0393473756899735	0.5625581257069255	0.3333333333333333	7.335634899123783	0.6511396785229889	0.6296296296296297	6.714994897701779	0.1388888888888889	0.2777777777777778
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.11022206870829988	0.8900379511214758	0.6296296296296297	7.709554722167933	0.9550482266977768	0.6296296296296297	6.714994897701779	0.1388888888888889	0.2777777777777778
1	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.07657020593619916	0.7557214054079874	0.6666666666666666	1.6410067177807999	0.8040391319531458	0.6296296296296297	6.714994897701779	0.1388888888888889	0.2777777777777778
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	1.0	5.749908354769602	0.5555555555555556	0.1388888888888889
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.03332404712898719	0.39789889498182524	0.3333333333333333	6.766764894281757	0.4334911011150187	1.0	5.749908354769602	0.5555555555555556	0.1388888888888889
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.17612808792797915	0.9549995836621555	1.0	3.7009134208432632	0.9655386377500115	1.0	5.749908354769602	0.5555555555555556	0.1388888888888889
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.17548265013278538	0.954271044956526	1.0	1.998874427942829	0.9616796796245342	1.0	5.749908354769602	0.5555555555555556	0.1388888888888889
2	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_as_target	completed	0.0	0.0	0.25925925925925924	0.0	0.0	0.9629629629629629	3.2705812852518314	0.25	0.18055555555555555
