representation	baseline	seed_count	mean_transition_improvement	min_transition_improvement	mean_delta_cosine	min_delta_cosine	mean_condition_recall_at_1	min_condition_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_same_condition_recall_at_1	mean_effective_rank_z	mean_perturbation_probe_cv	mean_batch_probe_cv
observed_rna_train_pca	source_plus_program_action	5	0.2807934818144681	0.10372015262959243	0.9013989661117551	0.8900379511214758	0.8814814814814815	0.6296296296296297	7.657517866786312	0.9922856494415846	0.8518518518518519	7.991993529808421	0.30277777777777776	0.23888888888888887
observed_rna_train_pca	program_action_only	5	0.23438994675751967	0.07657020593619916	0.7899362691730354	0.7557214054079874	0.837037037037037	0.6666666666666666	1.7429692536626562	0.8681031927019125	0.8518518518518519	7.991993529808421	0.30277777777777776	0.23888888888888887
observed_rna_train_pca	source_only_ridge	5	0.07829559014850092	0.02927740861265825	0.5599042975660975	0.4876140654466471	0.3333333333333333	0.3333333333333333	7.348208030697805	0.6911800224091256	0.8518518518518519	7.991993529808421	0.30277777777777776	0.23888888888888887
observed_rna_train_pca	source_as_target	5	0.0	0.0	0.0	0.0	0.3037037037037037	0.25925925925925924	0.0	0.0	0.8518518518518519	7.991993529808421	0.30277777777777776	0.23888888888888887
pca_distilled_rna_encoder	source_plus_program_action	5	0.25177575357409065	0.036333809651112874	0.927747393435381	0.8640465257523906	0.8222222222222222	0.5185185185185185	4.978301937978268	1.002090610896985	0.8592592592592592	4.598510415718995	0.2638888888888889	0.2
pca_distilled_rna_encoder	program_action_only	5	0.23155884752243017	0.03533643301846196	0.8821302704127703	0.8335974937203696	0.7925925925925925	0.5185185185185185	1.4810482059609231	0.9931708863347872	0.8592592592592592	4.598510415718995	0.2638888888888889	0.2
pca_distilled_rna_encoder	source_only_ridge	5	0.04739361579819915	-0.0005468945057073869	0.3793210881284459	0.20376569778247824	0.28888888888888886	0.2222222222222222	6.725440750921949	0.5648305848978339	0.8592592592592592	4.598510415718995	0.2638888888888889	0.2
pca_distilled_rna_encoder	source_as_target	5	0.0	0.0	0.0	0.0	0.26666666666666666	0.2222222222222222	0.0	0.0	0.8592592592592592	4.598510415718995	0.2638888888888889	0.2
true_synthetic_z_bio	source_plus_program_action	5	0.15556172697338594	0.1252167257592387	0.9631851472491324	0.9549995836621555	1.0	1.0	3.5375183149621514	0.9728785289331497	1.0	5.666920781350162	0.5722222222222222	0.12222222222222223
true_synthetic_z_bio	program_action_only	5	0.15546574125344373	0.12507697719503433	0.9635274402366057	0.954271044956526	1.0	1.0	1.978065909983501	0.9693707663603378	1.0	5.666920781350162	0.5722222222222222	0.12222222222222223
true_synthetic_z_bio	source_only_ridge	5	0.02851220795131265	0.020930454773517137	0.4040576135216812	0.34510920705742015	0.3333333333333333	0.3333333333333333	6.638632100329502	0.4688286784860578	1.0	5.666920781350162	0.5722222222222222	0.12222222222222223
true_synthetic_z_bio	source_as_target	5	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	1.0	5.666920781350162	0.5722222222222222	0.12222222222222223
