dataset	seed	eval_split	reference	state	status	n	dim	batch_probe_balanced_accuracy	batch_probe_majority_accuracy	batch_probe_resub_balanced_accuracy	effective_rank	std_mean	checkpoint
synth_micro	2	test	zero_step_bioaction_encoder	transition_predicted_latent	ok	24.0	32.0	1.0	0.5	1.0	7.448775719821525	0.11381964385509491	
synth_micro	2	test	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	24.0	32.0	0.20833333333333331	0.5	0.875	19.635581684360375	0.2158714234828949	
synth_micro	2	test	zero_step_bioaction_encoder	image_ema_teacher_target	ok	24.0	32.0	0.8333333333333333	0.5	0.9583333333333333	11.659596108964088	0.12258865684270859	
synth_micro	2	test	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	24.0	32.0	0.5	0.5	0.9166666666666666	18.989592469519852	0.12815627455711365	
synth_micro	2	test	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	24.0	32.0	0.5	0.5	0.9166666666666666	18.989592469519852	0.12815627455711365	
synth_micro	2	test	EXP003_familyA_synth_micro	checkpoint	checkpoint_available_for_seed0_only								outputs/autoresearch_bioaction_jepa_v1/experiments/EXP003_familyA_minimal_synth_micro_seed0_s32_cuda/checkpoint.pt
synth_micro	2	test	EXP005_familyF_strong_batch_invariant	checkpoint	checkpoint_available_for_seed0_only								outputs/autoresearch_bioaction_jepa_v1/experiments/EXP005_familyF_batch_invariant_strong_synth_micro_seed0_s32_cuda/checkpoint.pt
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	rna_online_z_shared	ok	81.0	32.0	0.6790123456790124	0.3333333333333333	0.9135802469135802	26.462438156691636	0.20320379734039307	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	image_online_z_shared	ok	81.0	32.0	0.8271604938271605	0.3333333333333333	1.0	7.5209793139629095	0.16967564821243286	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	joint_online_z_shared	ok	81.0	32.0	0.5925925925925926	0.3333333333333333	0.8641975308641975	22.587241764744462	0.14173464477062225	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	transition_predicted_latent	ok	81.0	32.0	0.5925925925925926	0.3333333333333333	0.8888888888888888	22.669303078441487	0.14148476719856262	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	81.0	32.0	0.35802469135802467	0.3333333333333333	0.7407407407407408	24.822771891699464	0.18408934772014618	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	image_ema_teacher_target	ok	81.0	32.0	0.4197530864197531	0.3333333333333333	0.9012345679012346	10.060796257114228	0.17316533625125885	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	81.0	32.0	0.2962962962962963	0.3333333333333333	0.691358024691358	21.015443252253597	0.13747207820415497	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	81.0	32.0	0.2962962962962963	0.3333333333333333	0.691358024691358	21.015443252253597	0.13747207820415497	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	rna_online_z_shared	ok	81.0	32.0	0.6543209876543209	0.3333333333333333	0.9259259259259259	27.034140152822385	0.18795360624790192	
