dataset	seed	eval_split	audit	representation	train_n	eval_n	train_batch_classes	eval_batch_classes	eval_majority_accuracy	status	accuracy	balanced_accuracy	balanced_accuracy_ci_low	balanced_accuracy_ci_high	per_class_recall_json
synth_micro	2	test	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	32	32	2	2	0.5	ok	0.5	0.5	0.3414678523231155	0.6489423076923077	"{""batch_0"": 0.5, ""batch_1"": 0.5}"
synth_micro	2	test	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	32	32	2	2	0.5	ok	0.96875	0.96875	0.8691176470588236	1.0	"{""batch_0"": 0.9375, ""batch_1"": 1.0}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	raw_rna_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.7037037037037037	0.7037037037037036	0.6036589105339105	0.8163193661177531	"{""batch_0"": 0.5185185185185185, ""batch_1"": 0.7407407407407407, ""batch_2"": 0.8518518518518519}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	raw_count_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.8888888888888888	0.8888888888888888	0.8187791375291376	0.9458723401641357	"{""batch_0"": 0.7407407407407407, ""batch_1"": 1.0, ""batch_2"": 0.9259259259259259}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	raw_image_pooled_pixels	243	81	3	3	0.3333333333333333	ok	0.9012345679012346	0.9012345679012346	0.8403390522875818	0.9562726574500768	"{""batch_0"": 0.7777777777777778, ""batch_1"": 0.9259259259259259, ""batch_2"": 1.0}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_rna_latent	243	81	3	3	0.3333333333333333	ok	0.345679012345679	0.345679012345679	0.23657032279314888	0.4340994814364379	"{""batch_0"": 0.037037037037037035, ""batch_1"": 0.37037037037037035, ""batch_2"": 0.6296296296296297}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_image_latent	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.2437209395542729	0.4218186438318015	"{""batch_0"": 0.37037037037037035, ""batch_1"": 0.5555555555555556, ""batch_2"": 0.07407407407407407}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	random_gaussian_16d	243	81	3	3	0.3333333333333333	ok	0.30864197530864196	0.30864197530864196	0.19265079365079366	0.4118969250711887	"{""batch_0"": 0.3333333333333333, ""batch_1"": 0.2222222222222222, ""batch_2"": 0.37037037037037035}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	metadata_only_excluding_batch	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	243	81	3	3	0.3333333333333333	ok	0.345679012345679	0.345679012345679	0.2404615686561552	0.44924332064736855	"{""batch_0"": 0.6296296296296297, ""batch_1"": 0.1111111111111111, ""batch_2"": 0.2962962962962963}"
