representation	seed_policy_count	mean_eval_cell_image_latent_cosine	mean_real_transition	mean_real_delta_cosine	mean_real_recall_at_1	mean_real_delta_rank	mean_abs_transition_optimism	mean_abs_delta_optimism	max_abs_transition_optimism	max_abs_delta_optimism	mean_eval_effective_rank_z	mean_train_perturbation_probe_cv	mean_train_batch_probe_cv
image_train_pca	9	1.0	0.23617088653404206	0.9651967046519121	1.0	3.938511271441266	0.014696945177998494	0.049570270387477335	0.027852848302330396	0.14868730077098713	6.944036289249385	0.47685185185185186	0.30864197530864196
source_delta_rank_predicted_image_latent	9	0.929403518576838	0.13754278775995007	0.9914210368241309	1.0	3.0991653075695873	0.02546826440952853	0.053772275939447035	0.06984284656453021	0.19683492799672753	6.625698160116899	0.31790123456790126	0.2916666666666667
observed_rna_train_pca	9	0.021238804382752434	0.34965717745838854	0.9193703863700935	0.8765432098765431	7.275552102071973	0.06930811709065236	0.08390419514577224	0.23173865483323217	0.21088456814634915	7.888215441683916	0.22067901234567902	0.27469135802469136
