seed	split	method	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio
37	validation	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	validation	protected_full_ridge_floor	0.12346197597852825	0.23357613053255583	0.11764705882352941	10.126893531593339	1.2713960946819913
37	validation	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	validation	F082_no_delta_calibration	0.11948403569491928	0.2198905513259287	0.058823529411764705	11.40441337764529	0.9567883908744342
37	test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	test	protected_full_ridge_floor	0.379337087846365	0.35542961134323503	0.35294117647058826	9.741670033842711	1.200993310831222
37	test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	test	F082_no_delta_calibration	0.3102579912325271	0.2789930822186492	0.11764705882352941	11.37990436405992	0.8422114514872525
37	alternate_test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	alternate_test	protected_full_ridge_floor	0.13069965863734165	0.1803733774998865	0.11764705882352941	10.49449986057863	0.8073859335581554
37	alternate_test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	alternate_test	F082_no_delta_calibration	0.10289286395759459	0.13851021241288958	0.17647058823529413	10.631509947979174	0.7734940831310408
38	validation	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	validation	protected_full_ridge_floor	0.12346197597852825	0.23357613053255583	0.11764705882352941	10.126893531593339	1.2713960946819913
38	validation	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	validation	F082_no_delta_calibration	0.11579160567594396	0.22485576996081247	0.23529411764705882	11.323643277363765	0.896777869175438
38	test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	test	protected_full_ridge_floor	0.379337087846365	0.35542961134323503	0.35294117647058826	9.741670033842711	1.200993310831222
38	test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	test	F082_no_delta_calibration	0.28059135810171665	0.2755823848666331	0.29411764705882354	10.86656287083274	0.872080283855777
38	alternate_test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	alternate_test	protected_full_ridge_floor	0.13069965863734165	0.1803733774998865	0.11764705882352941	10.49449986057863	0.8073859335581554
38	alternate_test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	alternate_test	F082_no_delta_calibration	0.0805145129722672	0.13633555119189977	0.11764705882352941	11.179243373503958	0.7651306442854393
39	validation	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	validation	protected_full_ridge_floor	0.12346197597852825	0.23357613053255583	0.11764705882352941	10.126893531593339	1.2713960946819913
39	validation	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	validation	F082_no_delta_calibration	0.17825269275088412	0.26994835387966726	0.058823529411764705	11.54976763763909	0.9530289971765936
39	test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	test	protected_full_ridge_floor	0.379337087846365	0.35542961134323503	0.35294117647058826	9.741670033842711	1.200993310831222
39	test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	test	F082_no_delta_calibration	0.29175461167743866	0.28003258619220034	0.11764705882352941	10.933965563833084	0.8738221232450405
39	alternate_test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	alternate_test	protected_full_ridge_floor	0.13069965863734165	0.1803733774998865	0.11764705882352941	10.49449986057863	0.8073859335581554
39	alternate_test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	alternate_test	F082_no_delta_calibration	0.10940264640451781	0.16580968179586875	0.0	11.533821072174371	0.8112889901267751
