policy	benchmark	seed	representation	representation_class	eval_cell_zbio_cosine	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	eval_effective_rank_z	train_perturbation_probe_cv	train_batch_probe_cv	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	observed_rna_train_pca	train_only_recovered	0.0	0.2979410545684839	0.9067807330091505	0.8518518518518519	7.70478025659292	0.9827771394678969	10.419980242794294	0.3194444444444444	0.3333333333333333	0.31179185299459994	0.17471089870055298	0.8223874444782017	0.7399265951285809	0.9583333333333333	0.7777777777777778	8.0	0.013850798426116029	-0.08439328853094885	0.1064814814814814	0.013850798426116029	0.08439328853094885
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	true_z_bio	oracle	1.0	0.20414153263248616	0.961578364064651	1.0	3.7998635756806007	0.9982948783436649	5.695130998143124	0.5555555555555556	0.16666666666666666	0.21383736110594526	0.1410556179281098	0.9603780522388969	0.9341535827518075	1.0	1.0	8.0	0.009695828473459095	-0.0012003118257540857	0.0	0.009695828473459095	0.0012003118257540857
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	observed_rna_to_zbio_ridge	train_only_recovered	0.7337000780606144	0.09935442821225254	0.7780785727749668	0.7777777777777778	4.618813214215626	1.0440709623426552	6.2225363527385396	0.4305555555555556	0.20833333333333334	0.16260654306688305	0.11312169627416517	0.9553306381089395	0.9342726898957733	1.0	1.0	8.0	0.0632521148546305	0.17725206533397264	0.2222222222222222	0.0632521148546305	0.17725206533397264
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	batch_residualized_rna_to_zbio_ridge	train_only_recovered	0.7334058641743295	0.09849727723045419	0.7771859371049243	0.6666666666666666	4.55573945349464	1.0477805728915481	6.218486374608327	0.4444444444444444	0.16666666666666666	0.16198280344251714	0.11171451863965887	0.9553928831735723	0.9331102821307972	1.0	1.0	8.0	0.06348552621206295	0.17820694606864795	0.33333333333333337	0.06348552621206295	0.17820694606864795
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	clean_rna_to_zbio_ridge	oracle	0.9359550713913204	0.12485408096049336	0.9197381940624653	1.0	2.78092381287198	0.9381255919091858	4.162268294763844	0.3888888888888889	0.2222222222222222	0.16310982058934234	0.053094604599002185	0.9354805303873265	0.880813005848736	1.0	1.0	8.0	0.038255739628848984	0.015742336324861217	0.0	0.038255739628848984	0.015742336324861217
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	image_to_zbio_ridge	train_only_recovered	0.9990920484739081	0.20813075999508737	0.9658622843353878	1.0	3.7683736528429024	0.9946486290726377	5.6110914812925525	0.5416666666666666	0.16666666666666666	0.21379845062877062	0.14021493212910782	0.9624909973221252	0.9383753111317072	1.0	1.0	8.0	0.005667690633683248	-0.003371287013262614	0.0	0.005667690633683248	0.003371287013262614
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	rna_image_to_zbio_ridge	train_only_recovered	0.9976293517514379	0.2088297944237702	0.9671462771369048	1.0	3.764404275165268	0.9963668846240835	5.62446144718511	0.5555555555555556	0.16666666666666666	0.2138673247975343	0.14075752410065423	0.9616584787935967	0.9370748972461997	1.0	1.0	8.0	0.0050375303737640875	-0.005487798343308148	0.0	0.0050375303737640875	0.005487798343308148
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	observed_rna_train_pca	train_only_recovered	0.0	0.48038628824064467	0.9620954604092028	0.7777777777777778	6.259806432823871	1.0157868605057996	6.86177081706093	0.2361111111111111	0.125	0.4287086036868126	0.2579602833368499	0.9143270000281749	0.8376958043351049	0.8888888888888888	0.6666666666666666	8.0	-0.05167768455383209	-0.04776846038102789	0.11111111111111105	0.05167768455383209	0.04776846038102789
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	true_z_bio	oracle	1.0	0.12992713657889596	0.9741802761352759	1.0	3.4470628007667514	0.9962843186047164	5.196190696982907	0.5416666666666666	0.1111111111111111	0.1289060960973285	0.07663642379277068	0.9690300473324998	0.9542754143985215	1.0	1.0	8.0	-0.0010210404815674534	-0.005150228802776158	0.0	0.0010210404815674534	0.005150228802776158
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	observed_rna_to_zbio_ridge	train_only_recovered	0.515725431141375	0.17465379487922708	0.6761283874268964	0.8888888888888888	4.212159486928874	0.8556517503329351	5.220747422542585	0.3888888888888889	0.16666666666666666	0.15665665441380625	0.07030085311004126	0.9287204346560927	0.8981271749095181	1.0	1.0	8.0	-0.017997140465420836	0.25259204722919626	0.11111111111111116	0.017997140465420836	0.25259204722919626
