seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	margin_q10_change	mean_margin_change	near_tie_count
0	0.0	True	0.14541942888185247	0.9490979256830906	0.4583333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0
0	0.025	False	0.14572493484177698	0.950692166300441	0.4583333333333333	0.00030550595992451246	0.001594240617350362	0.0	0.0	12.0	-2.91804491572734e-05	9.39674985970313e-06	33.0
0	0.05	False	0.14602303274858908	0.9522508117505547	0.4583333333333333	0.0006036038667366073	0.0031528860674641113	0.0	0.0	18.0	-3.7405603589268964e-05	1.87624878760059e-05	33.0
0	0.1	False	0.14659698590485482	0.9552601884947676	0.4583333333333333	0.0011775570230023458	0.006162262811676977	0.0	0.0	21.0	-5.388571443163407e-05	3.637386954895911e-05	33.0
0	0.15	False	0.14714125049288354	0.9581238928733344	0.4583333333333333	0.0017218216110310713	0.009025967190243844	0.0	0.0	23.0	-7.040754652654085e-05	5.189563534690097e-05	33.0
0	0.2	False	0.14765578732268236	0.9608399101283673	0.4583333333333333	0.002236358440829894	0.011741984445276743	0.0	0.0	25.0	-8.69735090773816e-05	6.730062926631968e-05	33.0
0	0.25	False	0.14814055595091338	0.9634063681846197	0.4583333333333333	0.0027211270690609135	0.014308442501529073	0.0	0.0	25.0	-0.00010413534283439942	8.258852512781695e-05	33.0
0	0.5	False	0.15011638617485032	0.9739384983023327	0.4583333333333333	0.00469695729299785	0.024840572619242107	0.0	1.0	27.0	-0.000304438039787347	0.00015605157309595151	33.0
0	0.75	False	0.15134143549160692	0.9805123696858913	0.5	0.005922006609754449	0.03141444400280069	0.041666666666666685	4.0	28.0	-0.00048228497690907537	0.00021257276554131744	33.0
0	1.0	False	0.15181008759504783	0.9829744735516456	0.5	0.006390658713195357	0.033876547868554985	0.041666666666666685	7.0	29.0	-0.0012256982729678123	0.00021463873818013433	33.0
