heldout_perturbation_ids	label_col	recall_at_1	recall_at_5	map	median_rank
1,2,3	condition_key	0.2222222222222222	0.7037037037037037	0.33219676403790954	3.0
1,2,3	condition_batch_label	0.07407407407407407	0.4074074074074074	0.2571280714976841	8.0
1,2,3	perturbation_label	0.2962962962962963	0.8148148148148148	0.40087286444254216	2.0
1,2,3	cell_line_label	0.7407407407407407	1.0	0.6360925969675507	1.0
1,2,3	batch_label	0.25925925925925924	1.0	0.40258601543694655	2.0
1,2,4	condition_key	0.2222222222222222	0.7407407407407407	0.33652606157048204	4.0
1,2,4	condition_batch_label	0.14814814814814814	0.48148148148148145	0.29207614429405404	6.0
1,2,4	perturbation_label	0.3333333333333333	0.7777777777777778	0.4144166072334253	2.0
1,2,4	cell_line_label	0.7407407407407407	1.0	0.6220910591083081	1.0
1,2,4	batch_label	0.2962962962962963	1.0	0.41558246003713295	2.0
1,2,5	condition_key	0.18518518518518517	0.5555555555555556	0.29755418532594313	4.0
1,2,5	condition_batch_label	0.07407407407407407	0.3333333333333333	0.2185930798403565	9.0
1,2,5	perturbation_label	0.2962962962962963	0.8888888888888888	0.4016239596673008	2.0
1,2,5	cell_line_label	0.7407407407407407	1.0	0.5763667931188857	1.0
1,2,5	batch_label	0.25925925925925924	0.9259259259259259	0.4114543453832841	2.0
1,2,6	condition_key	0.2222222222222222	0.5925925925925926	0.34146749598980103	2.0
1,2,6	condition_batch_label	0.07407407407407407	0.3333333333333333	0.19812582567053288	9.0
1,2,6	perturbation_label	0.3333333333333333	0.7407407407407407	0.40748773340238803	2.0
1,2,6	cell_line_label	0.8148148148148148	1.0	0.6489405331664313	1.0
1,2,6	batch_label	0.37037037037037035	0.9259259259259259	0.40182977102838213	2.0
1,2,7	condition_key	0.25925925925925924	0.7037037037037037	0.3400905271925248	3.0
1,2,7	condition_batch_label	0.1111111111111111	0.4444444444444444	0.28986320129163734	7.0
1,2,7	perturbation_label	0.37037037037037035	0.8148148148148148	0.4155470198515762	2.0
1,2,7	cell_line_label	0.7407407407407407	1.0	0.6144904337765023	1.0
1,2,7	batch_label	0.37037037037037035	0.9629629629629629	0.4314659178289195	2.0
1,2,8	condition_key	0.2222222222222222	0.5185185185185185	0.318502506852716	5.0
1,2,8	condition_batch_label	0.07407407407407407	0.4074074074074074	0.22459574033648105	8.0
1,2,8	perturbation_label	0.2962962962962963	0.6296296296296297	0.420223997356502	3.0
1,2,8	cell_line_label	0.7407407407407407	1.0	0.5696934577696738	1.0
1,2,8	batch_label	0.48148148148148145	0.9629629629629629	0.42332727023633443	2.0
1,3,4	condition_key	0.37037037037037035	0.8518518518518519	0.3995660619172457	2.0
1,3,4	condition_batch_label	0.14814814814814814	0.4074074074074074	0.3057150635335227	6.0
1,3,4	perturbation_label	0.37037037037037035	0.8888888888888888	0.4087361057985687	2.0
1,3,4	cell_line_label	0.9629629629629629	1.0	0.7350970891003489	1.0
1,3,4	batch_label	0.18518518518518517	0.9629629629629629	0.38302324273914584	3.0
1,3,5	condition_key	0.14814814814814814	0.8888888888888888	0.34933137775327794	2.0
1,3,5	condition_batch_label	0.037037037037037035	0.48148148148148145	0.25550545133878466	6.0
1,3,5	perturbation_label	0.14814814814814814	1.0	0.38842399206497447	2.0
