label_col	mean_recall_at_1	min_recall_at_1	mean_recall_at_5	mean_map	median_median_rank
cell_line_label	0.8313492063492064	0.37037037037037035	0.9907407407407407	0.6621251173973229	1.0
perturbation_label	0.32010582010582006	0.1111111111111111	0.8214285714285714	0.41521306474553615	2.0
batch_label	0.3161375661375661	0.14814814814814814	0.9490740740740741	0.4106337384277912	2.0
condition_key	0.26587301587301587	0.1111111111111111	0.7162698412698412	0.35647907535398715	3.0
condition_batch_label	0.08465608465608465	0.0	0.3981481481481481	0.24130037467656854	8.0
