seed	predictor	program_level_effect_recovery	direction_accuracy	logfc_correlation	pseudobulk_correlation	top50_de_overlap
0	source_as_target	0.0	0.0	0.0	0.5773061778716502	0.3941666666666667
0	condition_train_mean_delta	0.25783115839123494	0.5667820069204152	0.20739049900901635	0.5967008417461215	0.4208333333333334
0	metadata_ridge	0.24718157941094773	0.5615916955017302	0.2073904990090166	0.5967008417461217	0.41999999999999993
0	metadata_no_batch_ridge	0.2438951463714556	0.5695501730103806	0.20739049900901618	0.5967008417461215	0.42250000000000004
0	source_program_metadata_ridge	0.2100721177419764	0.5294117647058824	0.22879866556567055	0.5989614613220308	0.4108333333333334
0	source_program_no_batch_metadata_ridge	0.22214466869860486	0.554325259515571	0.2279671943005983	0.6059909814941884	0.4091666666666667
0	oracle_observed_delta	0.9999999999999765	0.6650519031141868	0.2621052520669873	0.6317670785218227	0.4133333333333334
1	source_as_target	0.0	0.0	0.0	0.5638032045618241	0.39166666666666666
1	condition_train_mean_delta	0.03529003157337322	0.5100579611319468	0.10543570962829013	0.5292588189283841	0.3875
1	metadata_ridge	0.15068718563209782	0.5233549266962155	0.1054357096282893	0.5292588189283843	0.40666666666666673
1	metadata_no_batch_ridge	0.17374177684610043	0.5236958745311967	0.10543570962828892	0.5292588189283843	0.4175
1	source_program_metadata_ridge	0.4779000890412119	0.5819979543129901	0.2597843871217731	0.5260884563490014	0.4091666666666667
1	source_program_no_batch_metadata_ridge	0.5119849534092733	0.5850664848278213	0.27997846978065594	0.5345834589760509	0.39749999999999996
1	oracle_observed_delta	0.9999999999999745	0.640981929764746	0.30221837149175534	0.5746651604215081	0.43
2	source_as_target	0.0	0.0	0.0	0.7548504165937446	0.4058333333333333
2	condition_train_mean_delta	0.28678182776628913	0.5467032967032966	0.14057115277771084	0.7741761552474621	0.41083333333333333
2	metadata_ridge	0.18874329711008925	0.5322802197802198	0.14057115277771193	0.7741761552474623	0.4033333333333333
2	metadata_no_batch_ridge	0.18994102730268986	0.5370879120879121	0.14057115277770982	0.7741761552474621	0.4025
2	source_program_metadata_ridge	0.5530028022513562	0.6576236263736264	0.16723912045627623	0.799626219415443	0.42750000000000005
2	source_program_no_batch_metadata_ridge	0.5129613365296091	0.6061126373626373	0.25182145139384277	0.7326510249869226	0.4208333333333334
2	oracle_observed_delta	0.9999999999999793	0.7043269230769231	0.39851898955140574	0.8012902295272467	0.425
