outer_heldout_perturbation_ids	selected_source_neighborhood_fraction	selected_delta_score_weight	selected_by_inner	source_neighborhood_fraction	source_space	source_neighborhood_k	delta_score_weight	condition_recall_at_1	condition_recall_at_5	condition_median_rank	perturbation_recall_at_1	perturbation_recall_at_5	perturbation_median_rank
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.0	0.3333333333333333	0.8888888888888888	3.0	0.3333333333333333	0.9629629629629629	3.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.05	0.37037037037037035	0.8888888888888888	2.0	0.4074074074074074	0.9259259259259259	2.0
1,2,3	0.3333333333333333	0.1	True	0.3333333333333333	z_bio_online	9	0.1	0.4074074074074074	0.8888888888888888	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.2	0.5555555555555556	0.8888888888888888	1.0	0.5555555555555556	0.8888888888888888	1.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.35	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.5	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.65	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	0.8	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.3333333333333333	z_bio_online	9	1.0	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.0	0.3333333333333333	0.9629629629629629	3.0	0.37037037037037035	0.9629629629629629	3.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.05	0.37037037037037035	0.9259259259259259	2.0	0.4444444444444444	0.9629629629629629	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.1	0.4074074074074074	0.9259259259259259	2.0	0.4444444444444444	0.9629629629629629	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.2	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.35	0.4444444444444444	0.8148148148148148	2.0	0.4444444444444444	0.8518518518518519	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.5	0.4444444444444444	0.7777777777777778	2.0	0.4444444444444444	0.8148148148148148	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.65	0.37037037037037035	0.7407407407407407	2.0	0.4074074074074074	0.7777777777777778	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	0.8	0.37037037037037035	0.7407407407407407	2.0	0.4444444444444444	0.7777777777777778	2.0
1,2,3	0.3333333333333333	0.1	False	0.5	z_bio_online	14	1.0	0.37037037037037035	0.7407407407407407	3.0	0.4444444444444444	0.7777777777777778	2.0
1,2,3	0.3333333333333333	0.1	False	0.6666666666666666	z_bio_online	18	0.0	0.3333333333333333	0.8518518518518519	3.0	0.37037037037037035	0.8888888888888888	3.0
1,2,3	0.3333333333333333	0.1	False	0.6666666666666666	z_bio_online	18	0.05	0.37037037037037035	0.8888888888888888	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,3	0.3333333333333333	0.1	False	0.6666666666666666	z_bio_online	18	0.1	0.4074074074074074	0.9259259259259259	2.0	0.4444444444444444	0.9259259259259259	2.0
1,2,3	0.3333333333333333	0.1	False	0.6666666666666666	z_bio_online	18	0.2	0.48148148148148145	0.8888888888888888	2.0	0.48148148148148145	0.8888888888888888	2.0
1,2,3	0.3333333333333333	0.1	False	0.6666666666666666	z_bio_online	18	0.35	0.4444444444444444	0.8148148148148148	2.0	0.4444444444444444	0.8518518518518519	2.0
1,2,3	0.3333333333333333	0.1	False	0.6666666666666666	z_bio_online	18	0.5	0.4074074074074074	0.7407407407407407	2.0	0.4074074074074074	0.7777777777777778	2.0
