seed	policy	split	perturbation_id	program_id	same_program_train_count	different_program_train_count	same_program_cosine	different_program_cosine	program_cosine_margin	direction_norm
34	extrapolative_index	train_inner_candidate	1	1	1	6	0.9955596327781677	0.160750612616539	0.8348090201616287	3.5218727588653564
34	extrapolative_index	train_inner_candidate	2	2	1	6	0.9919381737709045	-0.01511562243103981	1.0070537962019444	3.1930644512176514
34	extrapolative_index	train_inner_candidate	3	3	1	6	0.9850529432296753	0.5134321451187134	0.4716207981109619	2.5443031787872314
34	extrapolative_index	train_inner_candidate	4	0	1	6	0.982292115688324	-0.11828798800706863	1.1005801036953926	3.056731939315796
34	extrapolative_index	train_inner_candidate	5	1	1	6	0.9955596327781677	0.18601800501346588	0.8095416277647018	3.561344623565674
34	extrapolative_index	train_inner_candidate	6	2	1	6	0.9919381737709045	0.012247594073414803	0.9796905796974897	3.325486421585083
34	extrapolative_index	train_inner_candidate	7	3	1	6	0.9850529432296753	0.5443170666694641	0.4407358765602112	2.4933526515960693
34	extrapolative_index	train_inner_candidate	8	0	1	6	0.982292115688324	-0.13041332364082336	1.1127054393291473	2.939872980117798
34	extrapolative_index	real_heldout	9	1	2	6	0.9957888722419739	0.16899310052394867	0.8267957717180252	3.5103328227996826
34	extrapolative_index	real_heldout	10	2	2	6	0.9921684265136719	0.04274650290608406	0.9494219236075878	3.2080588340759277
34	extrapolative_index	real_heldout	11	3	2	6	0.9896055459976196	0.5035260319709778	0.48607951402664185	2.5694544315338135
35	extrapolative_index	train_inner_candidate	1	1	1	6	0.9742693901062012	-0.12411535531282425	1.0983847454190254	2.4832396507263184
35	extrapolative_index	train_inner_candidate	2	2	1	6	0.996906578540802	-0.13232076168060303	1.129227340221405	3.5837435722351074
35	extrapolative_index	train_inner_candidate	3	3	1	6	0.9967427849769592	-0.28997477889060974	1.286717563867569	3.6062161922454834
35	extrapolative_index	train_inner_candidate	4	0	1	6	0.9891145825386047	0.10473742336034775	0.884377159178257	3.3269386291503906
