policy	benchmark	seed	heldout_perturbations	representation	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	9,10,11	true_z_bio	0.20414153263248616	0.961578364064651	1.0	3.7998635756806007	0.9982948783436649	0.21383736110594526	0.1410556179281098	0.9603780522388969	0.9341535827518075	1.0	1.0	8.0	0.009695828473459095	-0.0012003118257540857	0.0	0.009695828473459095	0.0012003118257540857
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	34	9,10,11	observed_rna_pca	0.2979410545684839	0.9067807330091505	0.8518518518518519	7.70478025659292	0.9827771394678969	0.31179185299459994	0.17471089870055298	0.8223874444782017	0.7399265951285809	0.9583333333333333	0.7777777777777778	8.0	0.013850798426116029	-0.08439328853094885	0.1064814814814814	0.013850798426116029	0.08439328853094885
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	9,10,11	true_z_bio	0.12992713657889596	0.9741802761352759	1.0	3.4470628007667514	0.9962843186047164	0.1289060960973285	0.07663642379277068	0.9690300473324998	0.9542754143985215	1.0	1.0	8.0	-0.0010210404815674534	-0.005150228802776158	0.0	0.0010210404815674534	0.005150228802776158
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	35	9,10,11	observed_rna_pca	0.48038628824064467	0.9620954604092028	0.7777777777777778	6.259806432823871	1.0157868605057996	0.4287086036868126	0.2579602833368499	0.9143270000281749	0.8376958043351049	0.8888888888888888	0.6666666666666666	8.0	-0.05167768455383209	-0.04776846038102789	0.11111111111111105	0.05167768455383209	0.04776846038102789
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	9,10,11	true_z_bio	0.23105596762817895	0.9679848236154103	1.0	3.376767332150346	0.9356740536443914	0.2113837364407273	0.15058624547099514	0.9596580044277598	0.9510713127802664	1.0	1.0	8.0	-0.01967223118745165	-0.008326819187650436	0.0	0.01967223118745165	0.008326819187650436
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	9,10,11	observed_rna_pca	0.24517145362870812	0.8746763093761786	0.8518518518518519	7.370497838372967	1.0685504399734471	0.24221425491077292	0.08870060328010126	0.8312840130232974	0.706037381858269	0.9861111111111112	0.8888888888888888	8.0	-0.0029571987179352055	-0.04339229635288122	0.1342592592592593	0.0029571987179352055	0.04339229635288122
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	9,10,11	true_z_bio	0.11913652329578538	0.9405297099030325	1.0	3.732648205705066	0.9777518224287249	0.1292617046304882	0.08445301491569705	0.9499889353525581	0.9065997740470662	1.0	1.0	8.0	0.010125181334702818	0.009459225449525599	0.0	0.010125181334702818	0.009459225449525599
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	9,10,11	observed_rna_pca	0.08535756104268287	0.8709109773245904	1.0	8.626369489698364	1.0963717787449125	0.1196172749031752	0.06125171998010074	0.821329470194921	0.6936734617820898	1.0	1.0	8.0	0.03425971386049233	-0.049581507129669466	0.0	0.03425971386049233	0.049581507129669466
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	9,10,11	true_z_bio	0.18619671504233132	0.978099019736979	1.0	3.384694476258965	0.9806841380165614	0.16138152180836135	0.07491604885118026	0.9688315629317865	0.9330872131214463	1.0	1.0	8.0	-0.024815193233969968	-0.009267456805192475	0.0	0.024815193233969968	0.009267456805192475
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	9,10,11	observed_rna_pca	0.3699424376479329	0.955032434206475	0.8888888888888888	6.3262667956779355	1.0407202527625226	0.34178933698700187	0.15496411353536044	0.905205712688842	0.8418440323619346	1.0	1.0	8.0	-0.02815310066093102	-0.04982672151763301	0.11111111111111116	0.02815310066093102	0.04982672151763301
random_perturbation	synth_program_aligned_random_holdout_lite	34	1,4,11	true_z_bio	0.2087789940794576	0.9603311570589659	1.0	3.649001092304624	0.9718147458156864	0.1662946031809508	-0.1438966849035744	0.8266137481970246	-0.13433692952991005	1.0	1.0	8.0	-0.04248439089850681	-0.13371740886194128	0.0	0.04248439089850681	0.13371740886194128
random_perturbation	synth_program_aligned_random_holdout_lite	34	1,4,11	observed_rna_pca	0.44094243327744587	0.9304301484033725	0.8148148148148148	7.111705605318644	0.9678487378583097	0.2092037784442137	-0.07501994658836268	0.7195455802570233	0.03303515731866259	1.0	1.0	8.0	-0.23173865483323217	-0.21088456814634915	0.18518518518518523	0.23173865483323217	0.21088456814634915
random_perturbation	synth_program_aligned_random_holdout_lite	35	1,4,11	true_z_bio	0.1278731693451704	0.9668560561687881	1.0	3.599783503695205	0.9969337335717081	0.11134545917311522	-0.02339417930586301	0.8641687798345583	0.09000134214054976	1.0	1.0	8.0	-0.016527710172055177	-0.1026872763342298	0.0	0.016527710172055177	0.1026872763342298
random_perturbation	synth_program_aligned_random_holdout_lite	35	1,4,11	observed_rna_pca	0.48161649063700857	0.9484582090250627	0.8888888888888888	6.793838838382618	0.9973128210010748	0.39583950755735664	-0.060712406971692494	0.8738241115768848	0.5045354949081239	0.7916666666666666	0.6666666666666666	8.0	-0.08577698307965193	-0.07463409744817795	-0.09722222222222221	0.08577698307965193	0.07463409744817795
random_perturbation	synth_program_aligned_random_holdout_lite	36	1,4,11	true_z_bio	0.19119187713128127	0.9632560333588684	1.0	3.719275490091132	0.9898947863136336	0.18387270517992294	-0.1218161773692908	0.8134807649080901	-0.23359622739422312	1.0	1.0	8.0	-0.007319171951358339	-0.14977526845077838	0.0	0.007319171951358339	0.14977526845077838
random_perturbation	synth_program_aligned_random_holdout_lite	36	1,4,11	observed_rna_pca	0.20546449876162742	0.899092091668573	0.8888888888888888	8.313355626373696	1.0569945809142065	0.1649070139501681	0.08965648675391838	0.7790470283200339	0.5816785640542999	1.0	1.0	8.0	-0.04055748481145932	-0.12004506334853904	0.11111111111111116	0.04055748481145932	0.12004506334853904
random_perturbation	synth_program_aligned_random_holdout_lite	37	1,4,11	true_z_bio	0.13608534788977492	0.9512506983756644	1.0	3.4107236660920073	1.0041162945069482	0.09273958670119462	-0.09218429647815832	0.7685755628272206	-0.45829802997028757	1.0	1.0	8.0	-0.0433457611885803	-0.18267513554844383	0.0	0.0433457611885803	0.18267513554844383
random_perturbation	synth_program_aligned_random_holdout_lite	37	1,4,11	observed_rna_pca	0.11069176798525099	0.8907236841780336	1.0	7.403037218078961	1.0804697761827007	0.07183022524659663	-0.06206317327106973	0.67078792045925	-0.1745449049799851	1.0	1.0	8.0	-0.03886154273865436	-0.21993576371878365	0.0	0.03886154273865436	0.21993576371878365
random_perturbation	synth_program_aligned_random_holdout_lite	38	1,4,11	true_z_bio	0.14978544424147575	0.9655164134242123	1.0	3.4198520614800456	1.0262119846230153	0.154912547541748	-0.07345044234612984	0.8504222796652992	-0.04391155459850387	1.0	1.0	8.0	0.0051271033002722455	-0.1150941337589132	0.0	0.0051271033002722455	0.1150941337589132
random_perturbation	synth_program_aligned_random_holdout_lite	38	1,4,11	observed_rna_pca	0.34154894285290105	0.9465461562830187	1.0	7.072589957744184	1.052923145105601	0.31820341260775026	-0.06912746868412095	0.8290276921816482	0.183103473667409	1.0	1.0	8.0	-0.023345530245150792	-0.11751846410137057	0.0	0.023345530245150792	0.11751846410137057
stratified_program	synth_program_aligned_stratified_holdout_lite	34	5,6,7	true_z_bio	0.20633410120579943	0.9694380148085924	1.0	3.611687923699861	1.009894294760272	0.21211043439707217	0.1452907516888499	0.9565684370024716	0.9440626960689958	1.0	1.0	8.0	0.005776333191272742	-0.012869577806120747	0.0	0.005776333191272742	0.012869577806120747
stratified_program	synth_program_aligned_stratified_holdout_lite	34	5,6,7	observed_rna_pca	0.2408949407365648	0.8945632546726583	1.0	7.836600029552756	1.107825610252968	0.3536406902738766	0.21962026243660887	0.848052711900558	0.8004168050036176	1.0	1.0	8.0	0.11274574953731181	-0.046510542772100316	0.0	0.11274574953731181	0.046510542772100316
stratified_program	synth_program_aligned_stratified_holdout_lite	35	5,6,7	true_z_bio	0.13295578597492314	0.9784366942054358	1.0	3.405942401556463	0.9637549853280355	0.1274879894228183	0.07555546913188893	0.9647088991257995	0.9380488892844697	1.0	1.0	8.0	-0.005467796552104831	-0.013727795079636285	0.0	0.005467796552104831	0.013727795079636285
stratified_program	synth_program_aligned_stratified_holdout_lite	35	5,6,7	observed_rna_pca	0.5180757704883505	0.9690441674043012	0.8518518518518519	6.337577887598266	0.9979603580092944	0.4353117476121261	0.252419765835014	0.9149243518377421	0.8459234347026834	0.9444444444444444	0.6666666666666666	8.0	-0.08276402287622442	-0.05411981556655909	0.09259259259259256	0.08276402287622442	0.05411981556655909
stratified_program	synth_program_aligned_stratified_holdout_lite	36	5,6,7	true_z_bio	0.1984932798802546	0.9655403043099015	1.0	3.4686345574740596	1.0233466173577686	0.22382310359954272	0.1715101306211714	0.9605097164107854	0.9525745118309479	1.0	1.0	8.0	0.02532982371928813	-0.005030587899116035	0.0	0.02532982371928813	0.005030587899116035
stratified_program	synth_program_aligned_stratified_holdout_lite	36	5,6,7	observed_rna_pca	0.2364216667866631	0.8891931033623423	0.9629629629629629	7.751806403632023	0.9162248357729053	0.23471718980655487	0.16241387489264422	0.8158034795969755	0.6679860856317422	1.0	1.0	8.0	-0.0017044769801082271	-0.07338962376536673	0.03703703703703709	0.0017044769801082271	0.07338962376536673
stratified_program	synth_program_aligned_stratified_holdout_lite	37	5,6,7	true_z_bio	0.12829989566864453	0.9478283746877664	1.0	3.8798615232423166	0.920334250470982	0.12551779320092343	0.06987809281351691	0.9449700446581146	0.8870487378425042	1.0	1.0	8.0	-0.0027821024677210926	-0.0028583300296517455	0.0	0.0027821024677210926	0.0028583300296517455
stratified_program	synth_program_aligned_stratified_holdout_lite	37	5,6,7	observed_rna_pca	0.09874874055303806	0.8677123642879541	1.0	8.253989878656181	1.0156688277415404	0.10668176182740048	0.017200632923638468	0.7974031822630191	0.5993869688712339	1.0	1.0	8.0	0.00793302127436242	-0.07030918202493497	0.0	0.00793302127436242	0.07030918202493497
stratified_program	synth_program_aligned_stratified_holdout_lite	38	5,6,7	true_z_bio	0.1927122538256475	0.9820040134035397	1.0	3.3657415049082076	0.9836352807894667	0.1582205137433838	0.0751911962956178	0.9658479789609661	0.9336918548314483	1.0	1.0	8.0	-0.03449174008226369	-0.01615603444257363	0.0	0.03449174008226369	0.01615603444257363
stratified_program	synth_program_aligned_stratified_holdout_lite	38	5,6,7	observed_rna_pca	0.43672248288035576	0.9629631825926218	0.9259259259259259	6.243296994054901	0.9700521760712897	0.31695633729383654	0.15965719819457003	0.8940005877356687	0.8355812961932928	1.0	1.0	8.0	-0.11976614558651921	-0.06896259485695311	0.07407407407407407	0.11976614558651921	0.06896259485695311
