seed	split	perturbation_id	program_id	same_program_train_count	different_program_train_count	same_program_cosine	different_program_cosine	program_cosine_margin	direction_norm
34	train_inner_candidate	1	1	1	6	0.9955596327781677	0.160750612616539	0.8348090201616287	3.5218727588653564
34	train_inner_candidate	2	2	1	6	0.9919381737709045	-0.01511562243103981	1.0070537962019444	3.1930644512176514
34	train_inner_candidate	3	3	1	6	0.9850529432296753	0.5134321451187134	0.4716207981109619	2.5443031787872314
34	train_inner_candidate	4	0	1	6	0.982292115688324	-0.11828798800706863	1.1005801036953926	3.056731939315796
34	train_inner_candidate	5	1	1	6	0.9955596327781677	0.18601800501346588	0.8095416277647018	3.561344623565674
34	train_inner_candidate	6	2	1	6	0.9919381737709045	0.012247594073414803	0.9796905796974897	3.325486421585083
34	train_inner_candidate	7	3	1	6	0.9850529432296753	0.5443170666694641	0.4407358765602112	2.4933526515960693
34	train_inner_candidate	8	0	1	6	0.982292115688324	-0.13041332364082336	1.1127054393291473	2.939872980117798
34	real_heldout	9	1	2	6	0.9957888722419739	0.16899310052394867	0.8267957717180252	3.5103328227996826
34	real_heldout	10	2	2	6	0.9921684265136719	0.04274650290608406	0.9494219236075878	3.2080588340759277
34	real_heldout	11	3	2	6	0.9896055459976196	0.5035260319709778	0.48607951402664185	2.5694544315338135
35	train_inner_candidate	1	1	1	6	0.9742693901062012	-0.12411535531282425	1.0983847454190254	2.4832396507263184
35	train_inner_candidate	2	2	1	6	0.996906578540802	-0.13232076168060303	1.129227340221405	3.5837435722351074
35	train_inner_candidate	3	3	1	6	0.9967427849769592	-0.28997477889060974	1.286717563867569	3.6062161922454834
35	train_inner_candidate	4	0	1	6	0.9891145825386047	0.10473742336034775	0.884377159178257	3.3269386291503906
35	train_inner_candidate	5	1	1	6	0.9742693901062012	-0.06020507961511612	1.0344744697213173	2.557969093322754
35	train_inner_candidate	6	2	1	6	0.996906578540802	-0.16355334222316742	1.1604599207639694	3.6445109844207764
35	train_inner_candidate	7	3	1	6	0.9967427849769592	-0.29549723863601685	1.292240023612976	3.543766736984253
35	train_inner_candidate	8	0	1	6	0.9891145825386047	0.05202415958046913	0.9370904229581356	3.35257887840271
35	real_heldout	9	1	2	6	0.9936683177947998	-0.06320574879646301	1.0568740665912628	2.4529478549957275
35	real_heldout	10	2	2	6	0.993265688419342	-0.11101867258548737	1.1042843610048294	3.606421947479248
35	real_heldout	11	3	2	6	0.9941967725753784	-0.31235066056251526	1.3065474331378937	3.540158748626709
36	train_inner_candidate	1	1	1	6	0.9941856861114502	-0.10684824734926224	1.1010339334607124	2.9363760948181152
36	train_inner_candidate	2	2	1	6	0.9920668601989746	-0.4028811454772949	1.3949480056762695	3.6348063945770264
36	train_inner_candidate	3	3	1	6	0.9905215501785278	-0.17639793455600739	1.1669194847345352	2.875741720199585
36	train_inner_candidate	4	0	1	6	0.9840802550315857	-0.2644403576850891	1.2485206127166748	3.1559360027313232
36	train_inner_candidate	5	1	1	6	0.9941856861114502	-0.08514095842838287	1.079326644539833	2.8751626014709473
36	train_inner_candidate	6	2	1	6	0.9920668601989746	-0.3653777539730072	1.3574446141719818	3.521937370300293
36	train_inner_candidate	7	3	1	6	0.9905215501785278	-0.17017610371112823	1.160697653889656	2.8479504585266113
36	train_inner_candidate	8	0	1	6	0.9840802550315857	-0.26228395104408264	1.2463642060756683	3.2593576908111572
36	real_heldout	9	1	2	6	0.9941622614860535	-0.11591071635484695	1.1100729778409004	2.9946048259735107
36	real_heldout	10	2	2	6	0.9949300289154053	-0.3783339262008667	1.373263955116272	3.669063091278076
36	real_heldout	11	3	2	6	0.9917068481445312	-0.17472736537456512	1.1664342135190964	2.901888847351074
