policy	benchmark	seed	current_floor_transition	current_floor_delta_cosine	current_floor_recall_at_1	current_floor_delta_rank	current_floor_magnitude_ratio	oracle_transition	oracle_delta_cosine	oracle_recall_at_1	oracle_delta_rank	oracle_magnitude_ratio	source_effective_rank	target_effective_rank	true_delta_effective_rank	calibrated_transition_improvement	calibrated_delta_cosine	calibrated_recall_at_1	calibrated_delta_rank	calibrated_magnitude_ratio	candidate_minus_current_floor_transition	candidate_minus_current_floor_delta_cosine	candidate_minus_current_floor_recall	candidate_minus_true_delta_rank
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	0.12572415424036706	0.9101208433549985	1.0	5.031078836605924	1.003358906587831	0.15164140738108672	1.0	1.0	8.421497874411479	1.0	3.3839706198947126	6.978735824405894	8.421497874411479	0.1249141288233928	0.904736562880966	1.0	7.443545162822543	1.0165223638262415	-0.0008100254169742666	-0.005384280474032499	0.0	-0.9779527115889355
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	0.24578428587134027	0.9521366926731347	1.0	4.643451622292271	1.0050528837757862	0.26815879728195136	1.0	1.0	7.116460943239058	1.0	3.5738469480918464	7.4824566794729375	7.116460943239058	0.2463023001829782	0.9539890922390422	1.0	6.791438180918598	1.0128021767364297	0.000518014311637921	0.0018523995659074366	0.0	-0.3250227623204607
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	39	0.1899444523174715	0.9484935654613088	1.0	4.457918067259118	0.9547167083493018	0.2101307511363101	1.0	1.0	7.71069646369414	1.0	3.2052432071988664	7.051433863136122	7.71069646369414	0.1897493449902402	0.9475604241945916	1.0	6.664745148036687	0.9641050814458594	-0.00019510732723129753	-0.0009331412667171746	0.0	-1.0459513156574536
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	40	0.23706540728764322	0.9564486606097338	1.0	4.750226988857033	0.9900265938768927	0.2599846056042316	1.0	1.0	7.541600148495958	1.0	3.4080917717728103	7.144800550273548	7.541600148495958	0.236176125771352	0.9530116828727858	1.0	6.835688783181301	0.9952619138382108	-0.0008892815162912238	-0.003436977736947955	0.0	-0.7059113653146563
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	41	0.20462233893694678	0.9447488732301098	1.0	4.614525878104825	1.0094118080912422	0.22815761953996083	1.0	1.0	6.993381948743158	1.0	3.4939571894301054	7.033838548635067	6.993381948743158	0.2043271701754121	0.9446241771838748	1.0	6.848182753157886	1.0185800130650646	-0.00029516876153468097	-0.00012469604623499553	0.0	-0.14519919558527228
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	42	0.23894916079468673	0.9219067134686346	1.0	5.226301420861783	1.0641775656104824	0.2848510464345295	1.0	1.0	7.958835467794492	1.0	4.128836684653812	7.830080716144653	7.958835467794492	0.2363427030552879	0.9192916525088484	1.0	7.167053397458891	1.068922654716026	-0.0026064577393988264	-0.002615060959786253	0.0	-0.7917820703356009
random_perturbation	synth_program_aligned_random_holdout_lite	37	0.16493448199200747	0.9241632303722759	1.0	4.6140692149474924	1.0298395317694355	0.18886686626115118	1.0	1.0	7.453390633467314	1.0	3.3838932400821458	6.8922137167839725	7.453390633467314	0.1640933872491649	0.9187599443228276	1.0	7.093784935360705	1.0428025927657156	-0.0008410947428425797	-0.005403286049448286	0.0	-0.35960569810660914
random_perturbation	synth_program_aligned_random_holdout_lite	38	0.2137683246249644	0.9359953371271585	1.0	4.613530370050899	1.0524717804047083	0.24055678035920453	1.0	1.0	7.646266210630106	1.0	3.5709329893045645	7.422600062201654	7.646266210630106	0.2137950863803357	0.9361066794686086	1.0	7.023657517993768	1.0636626721208209	2.6761755371307316e-05	0.00011134234145004918	0.0	-0.6226086926363381
random_perturbation	synth_program_aligned_random_holdout_lite	39	0.19325375729217478	0.9455829709849178	1.0	4.358832551741056	1.0017380479652584	0.21740092320457907	1.0	1.0	7.928032299182136	1.0	3.206815011825058	7.065660090286324	7.928032299182136	0.1893494905444223	0.938841846986014	1.0	6.637622792730137	1.011265221235596	-0.0039042667477524884	-0.0067411239989038085	0.0	-1.290409506451999
random_perturbation	synth_program_aligned_random_holdout_lite	40	0.2264783825563951	0.9498256050141294	1.0	4.742770242749142	0.9703822299540874	0.24929820823953114	1.0	1.0	7.70636683400529	1.0	3.4055302256766025	7.167934655663061	7.70636683400529	0.2252565836266231	0.9469997832404636	1.0	6.893392755349221	0.9772630370259736	-0.0012217989297720055	-0.0028258217736657487	0.0	-0.8129740786560689
