transition_source_cosine_improvement	absolute_target_cosine	source_as_target_bio_cosine_to_teacher	delta_cosine	delta_magnitude_ratio	delta_prediction_effective_rank	delta_prediction_spectral_entropy	delta_teacher_effective_rank	source_improvement_hinge_violation_fraction	transition_to_target_map	transition_to_target_median_rank	transition_to_target_recall@1	transition_to_target_recall@5	transition_to_target_recall@10	transition_to_target_same_perturbation_enrichment@10
0.0031889208728633272	0.9021813469800362	0.8989924261071727	0.36544946252006993	0.7481515211929956	9.58764566551625	1.6545507905384054	10.668130215688382	0.7777777777777778	0.41546418670917007	2.0	0.48148148148148145	0.7407407407407407	0.8888888888888888	0.9654545454545455
0.004539258017147303	0.9107960422292093	0.9062567842120621	0.35391575985138896	0.7606279788749991	9.053932209651213	1.5784538731961562	10.158543471247917	0.7777777777777778	0.36823766408647735	6.0	0.37037037037037035	0.4444444444444444	0.7407407407407407	1.0166666666666668
0.0038122500852960034	0.9008005658560738	0.8969883157707776	0.46118368044022984	0.866434905131887	9.048192862699798	1.63403393913978	10.162177502841296	0.7037037037037037	0.47959181089383296	1.0	0.5555555555555556	0.7037037037037037	0.9259259259259259	1.0824242424242425
0.013136430017374396	0.9231159734223695	0.909979543404995	0.4615927883031399	0.834814468031424	8.178530756950437	1.553162461993816	9.184242567292259	0.6296296296296297	0.4596583127806486	3.0	0.37037037037037035	0.6666666666666666	0.8888888888888888	0.9839285714285714
-0.005699727090035662	0.9043806493176457	0.9100803764076816	0.33693836530032	0.8285181515317965	9.226170531542063	1.639182308809585	10.460374545237789	0.7777777777777778	0.36874079624079625	4.0	0.2222222222222222	0.6296296296296297	0.8518518518518519	1.053939393939394
-0.00030926942845042627	0.9196437615041785	0.919953030932629	0.4092222554040598	0.7431577274350748	8.547853259911488	1.5185941805858385	8.65366121140352	0.8518518518518519	0.5219480673503393	5.0	0.4444444444444444	0.5555555555555556	0.7777777777777778	1.348809523809524
0.030077674695545724	0.9230407253816121	0.8929630506860664	0.5448209970271718	0.7972025889086353	8.962468762009868	1.5777201715063565	9.326715584861958	0.5925925925925926	0.5407854067265053	1.0	0.5925925925925926	0.5925925925925926	0.8148148148148148	1.0483516483516484
0.005546287372404961	0.9242948924784343	0.9187486051060293	0.48816162517514056	0.8876908632680107	8.48039615596085	1.4883025503203362	9.991849107925502	0.7777777777777778	0.629427748177748	1.0	0.6666666666666666	0.7407407407407407	0.8518518518518519	1.0861538461538462
-0.005728737654945843	0.9080025097727714	0.9137312474277174	0.34298560816129203	0.7890313718543377	8.757681722406359	1.5105038093300134	9.835688893256945	0.7777777777777778	0.45200749776730165	3.0	0.4444444444444444	0.8148148148148148	0.8518518518518519	1.105357142857143
0.026473133252349536	0.9096834875889263	0.8832103543365768	0.3723170126929276	0.6255728947985774	7.532172278742578	1.4853572288371135	7.839091488790526	0.6296296296296297	0.4542393776033022	4.0	0.4444444444444444	0.5185185185185185	0.7407407407407407	0.9958333333333333
